kemid|fee_mthd|fee_mthd_seq|chrg_fee_to_kemid|pct_chrg_fee_to_inc|pct_chrg_fee_to_prin|acr_fee|acrd_fee_to_dt|waive_fee|waived_fee_ytd|waived_fee_to_dt|fee_impl_dt|fee_term_dt|ver_nbr|obj_id|
032A017014|SHMF1|1.0|032A017014|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C2060AE0404F8189D81C0B|
032AS06149|SHMF1|1.0|032AS06149|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C3060AE0404F8189D81C0B|
032AS06198|SHMF1|1.0|032AS06198|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20080522000000|1.0|8529CD4865C4060AE0404F8189D81C0B|
032AS08053|SHMF1|1.0|032AS08053|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C5060AE0404F8189D81C0B|
032AS11040|SHMF1|1.0|032AS11040|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C6060AE0404F8189D81C0B|
032B011354|SHMF1|1.0|032B011354|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C7060AE0404F8189D81C0B|
032D008242|SHMF1|1.0|032D008242|1.0|0.0|N|0.0|N|0.0|0.0|20061231000000||1.0|8529CD4865C8060AE0404F8189D81C0B|
032L006015|SHMF1|1.0|032L006015|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865C9060AE0404F8189D81C0B|
032L006098|SHMF1|1.0|032L006098|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865CA060AE0404F8189D81C0B|
032P002085|SHMF1|1.0|032P002085|1.0|0.0|N|0.0|N|0.0|0.0|20070930000000||1.0|8529CD4865CB060AE0404F8189D81C0B|
032P002101|SHMF1|1.0|032P002101|1.0|0.0|N|0.0|N|0.0|0.0|20080630000000||1.0|8529CD4865CC060AE0404F8189D81C0B|
032P011045|SHMF1|1.0|032P011045|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865CD060AE0404F8189D81C0B|
032P011094|SHMF1|1.0|032P011094|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20060810000000|1.0|8529CD4865CE060AE0404F8189D81C0B|
037A014184|SHMF1|1.0|037A014184|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865CF060AE0404F8189D81C0B|
037A017013|SHMF1|1.0|037A017013|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D0060AE0404F8189D81C0B|
037AS12302|SHMF1|1.0|037AS12302|1.0|0.0|N|0.0|N|0.0|0.0|20060930000000||1.0|8529CD4865D1060AE0404F8189D81C0B|
037AS34082|SHMF1|1.0|037AS34082|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D2060AE0404F8189D81C0B|
037AS35022|SHMF1|1.0|037AS35022|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D3060AE0404F8189D81C0B|
037AS36012|SHMF1|1.0|037AS36012|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D4060AE0404F8189D81C0B|
037AS38026|SHMF1|1.0|037AS38026|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D5060AE0404F8189D81C0B|
037AS54239|SHMF1|1.0|037AS54239|1.0|0.0|N|0.0|N|0.0|0.0|20070928000000||1.0|8529CD4865D6060AE0404F8189D81C0B|
037B011AG1|SHMF1|1.0|037B011AG1|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D7060AE0404F8189D81C0B|
037B012161|SHMF1|1.0|037B012161|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865D8060AE0404F8189D81C0B|
037E009701|SHMF1|1.0|037E009701|1.0|0.0|N|0.0|N|0.0|0.0|20070630000000||1.0|8529CD4865D9060AE0404F8189D81C0B|
037E009727|SHMF1|1.0|037E009727|1.0|0.0|N|0.0|N|0.0|0.0|20081231000000||1.0|8529CD4865DA060AE0404F8189D81C0B|
037F002010|SHMF1|1.0|037F002010|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865DB060AE0404F8189D81C0B|
037G003785|SHMF1|1.0|037G003785|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865DC060AE0404F8189D81C0B|
037G030812|SHMF1|1.0|037G030812|1.0|0.0|N|0.0|N|0.0|0.0|20040331000000||1.0|8529CD4865DD060AE0404F8189D81C0B|
037H004261|SHMF1|1.0|037H004261|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865DE060AE0404F8189D81C0B|
037I002512|SHMF1|1.0|037I002512|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865DF060AE0404F8189D81C0B|
037K008284|SHMF1|1.0|037K008284|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E0060AE0404F8189D81C0B|
037L006493|SHMF1|1.0|037L006493|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E1060AE0404F8189D81C0B|
037L006709|SHMF1|1.0|037L006709|1.0|0.0|N|0.0|N|0.0|0.0|20060930000000||1.0|8529CD4865E2060AE0404F8189D81C0B|
037MDER022|SHMF1|1.0|037MDER022|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E3060AE0404F8189D81C0B|
037MDSL103|SHMF1|1.0|037MDSL103|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E4060AE0404F8189D81C0B|
037MMED197|SHMF1|1.0|037MMED197|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E5060AE0404F8189D81C0B|
037MPHC132|SHMF1|1.0|037MPHC132|1.0|0.0|N|0.0|N|0.0|0.0|20060630000000||1.0|8529CD4865E6060AE0404F8189D81C0B|
037O009148|SHMF1|1.0|037O009148|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E7060AE0404F8189D81C0B|
037P003108|SHMF1|1.0|037P003108|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E8060AE0404F8189D81C0B|
037P004148|SHMF1|1.0|037P004148|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865E9060AE0404F8189D81C0B|
037P011291|SHMF1|1.0|037P011291|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865EA060AE0404F8189D81C0B|
037RQ04222|SHMF1|1.0|037RQ04222|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865EB060AE0404F8189D81C0B|
037RT04333|SHMF1|1.0|037RT04333|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865EC060AE0404F8189D81C0B|
037S012056|SHMF1|1.0|037S012056|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865ED060AE0404F8189D81C0B|
037SC00501|SHMF1|1.0|037SC00501|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865EE060AE0404F8189D81C0B|
037V009140|SHMF1|1.0|037V009140|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865EF060AE0404F8189D81C0B|
037V010080|SHMF1|1.0|037V010080|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F0060AE0404F8189D81C0B|
037WHMM024|SHMF1|1.0|037WHMM024|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F1060AE0404F8189D81C0B|
037X002044|SHMF1|1.0|037X002044|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F2060AE0404F8189D81C0B|
038A017011|SHMF1|1.0|038A017011|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F3060AE0404F8189D81C0B|
038AS00057|SHMF1|1.0|038AS00057|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F4060AE0404F8189D81C0B|
038AS06237|SHMF1|1.0|038AS06237|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F5060AE0404F8189D81C0B|
038AS17028|SHMF1|1.0|038AS17028|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F6060AE0404F8189D81C0B|
038AS53023|SHMF1|1.0|038AS53023|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F7060AE0404F8189D81C0B|
038B011179|SHMF1|1.0|038B011179|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F8060AE0404F8189D81C0B|
038CC00118|SHMF1|1.0|038CC00118|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865F9060AE0404F8189D81C0B|
038D008041|SHMF1|1.0|038D008041|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FA060AE0404F8189D81C0B|
038E009022|SHMF1|1.0|038E009022|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FB060AE0404F8189D81C0B|
038F002075|SHMF1|1.0|038F002075|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FC060AE0404F8189D81C0B|
038G003452|SHMF1|1.0|038G003452|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FD060AE0404F8189D81C0B|
038IU09022|SHMF1|1.0|038IU09022|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FE060AE0404F8189D81C0B|
038K008027|SHMF1|1.0|038K008027|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD4865FF060AE0404F8189D81C0B|
038L006228|SHMF1|1.0|038L006228|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486600060AE0404F8189D81C0B|
038MCCC134|SHMF1|1.0|038MCCC134|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486601060AE0404F8189D81C0B|
038MDSL325|SHMF1|1.0|038MDSL325|1.0|0.0|N|0.0|N|0.0|0.0|20070331000000||1.0|8529CD486602060AE0404F8189D81C0B|
038MPHC072|SHMF1|1.0|038MPHC072|1.0|0.0|N|0.0|N|0.0|0.0|20080331000000||1.0|8529CD486603060AE0404F8189D81C0B|
038MSCI011|SHMF1|1.0|038MSCI011|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486604060AE0404F8189D81C0B|
038N008222|SHMF1|1.0|038N008222|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486605060AE0404F8189D81C0B|
038P003213|SHMF1|1.0|038P003213|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20060907000000|1.0|8529CD486606060AE0404F8189D81C0B|
038P011463|SHMF1|1.0|038P011463|1.0|0.0|N|0.0|N|0.0|0.0|19840331000000||1.0|8529CD486607060AE0404F8189D81C0B|
038RPS1012|SHMF1|1.0|038RPS1012|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486608060AE0404F8189D81C0B|
038RQ04162|SHMF1|1.0|038RQ04162|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD486609060AE0404F8189D81C0B|
038RR04087|SHMF1|1.0|038RR04087|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD48660A060AE0404F8189D81C0B|
038RT04091|SHMF1|1.0|038RT04091|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD48660B060AE0404F8189D81C0B|
038RV04351|SHMF1|1.0|038RV04351|1.0|0.0|N|0.0|N|0.0|0.0|20060930000000||1.0|8529CD48660C060AE0404F8189D81C0B|
038SC01010|SHMF1|1.0|038SC01010|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD48660D060AE0404F8189D81C0B|
046G007720|SHMF1|1.0|046G007720|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000||1.0|8529CD48660E060AE0404F8189D81C0B|
046G007CD0|SHMF1|1.0|046G007CD0|1.0|0.0|N|0.0|N|0.0|0.0|20060331000000|20070725000000|1.0|8529CD48660F060AE0404F8189D81C0B|
099PLTF013|SHMF1|1.0|099PLTF013|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20070713000000|1.0|8529CD486610060AE0404F8189D81C0B|
099PLTF021|SHMF1|1.0|099PLTF021|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20070713000000|1.0|8529CD486611060AE0404F8189D81C0B|
099PLTF997|SHMF1|1.0|099PLTF997|1.0|0.0|N|0.0|N|0.0|0.0|20070331000000|20070713000000|1.0|8529CD486612060AE0404F8189D81C0B|
909BTIP011|SHMF1|1.0|909BTIP011|1.0|0.0|N|0.0|N|0.0|0.0|20050930000000|20070412000000|1.0|8529CD486613060AE0404F8189D81C0B|
