kemid|ip_ind_cd|chrt_cd|acct_nbr|ver_nbr|obj_id|row_actv_ind|
032A017014|I|BL|1024700|1.0|8529CD484CC5060AE0404F8189D81C0B|Y|
032A017014|P|BL|1024700|1.0|8529CD484CC6060AE0404F8189D81C0B|Y|
032AS06149|I|BL|1024700|1.0|8529CD484CC7060AE0404F8189D81C0B|Y|
032AS06149|P|BL|1024700|1.0|8529CD484CC8060AE0404F8189D81C0B|Y|
032AS06198|I|BL|1024700|1.0|8529CD484CC9060AE0404F8189D81C0B|Y|
032AS06198|P|BL|1024700|1.0|8529CD484CCA060AE0404F8189D81C0B|Y|
032AS08053|I|BL|1024700|1.0|8529CD484CCB060AE0404F8189D81C0B|Y|
032AS08053|P|BL|1024700|1.0|8529CD484CCC060AE0404F8189D81C0B|Y|
032AS11040|I|BL|1024700|1.0|8529CD484CCD060AE0404F8189D81C0B|Y|
032AS11040|P|BL|1024700|1.0|8529CD484CCE060AE0404F8189D81C0B|Y|
032B011354|I|BL|1024700|1.0|8529CD484CCF060AE0404F8189D81C0B|Y|
032B011354|P|BL|1024700|1.0|8529CD484CD0060AE0404F8189D81C0B|Y|
032D008242|I|IN|1292016|1.0|8529CD484CD1060AE0404F8189D81C0B|Y|
032D008242|P|IN|1292016|1.0|8529CD484CD2060AE0404F8189D81C0B|Y|
032L006015|I|BL|1024700|1.0|8529CD484CD3060AE0404F8189D81C0B|Y|
032L006015|P|BL|1024700|1.0|8529CD484CD4060AE0404F8189D81C0B|Y|
032L006098|I|BL|1024700|1.0|8529CD484CD5060AE0404F8189D81C0B|Y|
032L006098|P|BL|1024700|1.0|8529CD484CD6060AE0404F8189D81C0B|Y|
032P002085|I|IN|1292016|1.0|8529CD484CD7060AE0404F8189D81C0B|Y|
032P002085|P|IN|1292016|1.0|8529CD484CD8060AE0404F8189D81C0B|Y|
032P002101|I|IN|1292016|1.0|8529CD484CD9060AE0404F8189D81C0B|Y|
032P002101|P|IN|1292016|1.0|8529CD484CDA060AE0404F8189D81C0B|Y|
032P011045|I|IN|1292016|1.0|8529CD484CDB060AE0404F8189D81C0B|Y|
032P011045|P|IN|1292016|1.0|8529CD484CDC060AE0404F8189D81C0B|Y|
032P011094|I|IN|1292016|1.0|8529CD484CDD060AE0404F8189D81C0B|Y|
032P011094|P|IN|1292016|1.0|8529CD484CDE060AE0404F8189D81C0B|Y|
037A014184|I|BL|1024700|1.0|8529CD484CDF060AE0404F8189D81C0B|Y|
037A014184|P|BL|1024700|1.0|8529CD484CE0060AE0404F8189D81C0B|Y|
037A017013|I|BL|1024700|1.0|8529CD484CE1060AE0404F8189D81C0B|Y|
037A017013|P|BL|1024700|1.0|8529CD484CE2060AE0404F8189D81C0B|Y|
037AS12302|I|BL|1024700|1.0|8529CD484CE3060AE0404F8189D81C0B|Y|
037AS12302|P|BL|1024700|1.0|8529CD484CE4060AE0404F8189D81C0B|Y|
037AS34082|I|BL|1024700|1.0|8529CD484CE5060AE0404F8189D81C0B|Y|
037AS34082|P|BL|1024700|1.0|8529CD484CE6060AE0404F8189D81C0B|Y|
037AS35022|I|BL|1024700|1.0|8529CD484CE7060AE0404F8189D81C0B|Y|
037AS35022|P|BL|1024700|1.0|8529CD484CE8060AE0404F8189D81C0B|Y|
037AS36012|I|BL|1024700|1.0|8529CD484CE9060AE0404F8189D81C0B|Y|
037AS36012|P|BL|1024700|1.0|8529CD484CEA060AE0404F8189D81C0B|Y|
037AS38026|I|BL|1024700|1.0|8529CD484CEB060AE0404F8189D81C0B|Y|
037AS38026|P|BL|1024700|1.0|8529CD484CEC060AE0404F8189D81C0B|Y|
037AS54239|I|BL|1024700|1.0|8529CD484CED060AE0404F8189D81C0B|Y|
037AS54239|P|BL|1024700|1.0|8529CD484CEE060AE0404F8189D81C0B|Y|
037B011AG1|I|BL|1024700|1.0|8529CD484CEF060AE0404F8189D81C0B|Y|
037B011AG1|P|BL|1024700|1.0|8529CD484CF0060AE0404F8189D81C0B|Y|
037B012161|I|IN|1292016|1.0|8529CD484CF1060AE0404F8189D81C0B|Y|
037B012161|P|IN|1292016|1.0|8529CD484CF2060AE0404F8189D81C0B|Y|
037E009701|I|BL|1024700|1.0|8529CD484CF3060AE0404F8189D81C0B|Y|
037E009701|P|BL|1024700|1.0|8529CD484CF4060AE0404F8189D81C0B|Y|
037E009727|I|BL|1024700|1.0|8529CD484CF5060AE0404F8189D81C0B|Y|
037E009727|P|BL|1024700|1.0|8529CD484CF6060AE0404F8189D81C0B|Y|
037F002010|I|BL|1024700|1.0|8529CD484CF7060AE0404F8189D81C0B|Y|
037F002010|P|BL|1024700|1.0|8529CD484CF8060AE0404F8189D81C0B|Y|
037G003785|I|UA|6815067|1.0|8529CD484CF9060AE0404F8189D81C0B|Y|
037G003785|P|UA|6815067|1.0|8529CD484CFA060AE0404F8189D81C0B|Y|
037G003BD9|I|UA|6815067|1.0|8529CD484CFB060AE0404F8189D81C0B|Y|
037G003BD9|P|UA|6815067|1.0|8529CD484CFC060AE0404F8189D81C0B|Y|
037G030812|I|UA|6815067|1.0|8529CD484CFD060AE0404F8189D81C0B|Y|
037G030812|P|UA|6815067|1.0|8529CD484CFE060AE0404F8189D81C0B|Y|
037H004261|I|BL|1024700|1.0|8529CD484CFF060AE0404F8189D81C0B|Y|
037H004261|P|BL|1024700|1.0|8529CD484D00060AE0404F8189D81C0B|Y|
037I002512|I|BL|1024700|1.0|8529CD484D01060AE0404F8189D81C0B|Y|
037I002512|P|BL|1024700|1.0|8529CD484D02060AE0404F8189D81C0B|Y|
037K008284|I|IN|1292016|1.0|8529CD484D03060AE0404F8189D81C0B|Y|
037K008284|P|IN|1292016|1.0|8529CD484D04060AE0404F8189D81C0B|Y|
037L006493|I|BL|1024700|1.0|8529CD484D05060AE0404F8189D81C0B|Y|
037L006493|P|BL|1024700|1.0|8529CD484D06060AE0404F8189D81C0B|Y|
037L006709|I|BL|1024700|1.0|8529CD484D07060AE0404F8189D81C0B|Y|
037L006709|P|BL|1024700|1.0|8529CD484D08060AE0404F8189D81C0B|Y|
037MDER022|I|IN|1292016|1.0|8529CD484D09060AE0404F8189D81C0B|Y|
037MDER022|P|IN|1292016|1.0|8529CD484D0A060AE0404F8189D81C0B|Y|
037MDSL103|I|IN|1292016|1.0|8529CD484D0B060AE0404F8189D81C0B|Y|
037MDSL103|P|IN|1292016|1.0|8529CD484D0C060AE0404F8189D81C0B|Y|
037MMED197|I|IN|1292016|1.0|8529CD484D0D060AE0404F8189D81C0B|Y|
037MMED197|P|IN|1292016|1.0|8529CD484D0E060AE0404F8189D81C0B|Y|
037MPHC132|I|IN|1292016|1.0|8529CD484D0F060AE0404F8189D81C0B|Y|
037MPHC132|P|IN|1292016|1.0|8529CD484D10060AE0404F8189D81C0B|Y|
037O009148|I|BL|1024700|1.0|8529CD484D11060AE0404F8189D81C0B|Y|
037O009148|P|BL|1024700|1.0|8529CD484D12060AE0404F8189D81C0B|Y|
037P003108|I|IN|1292016|1.0|8529CD484D13060AE0404F8189D81C0B|Y|
037P003108|P|IN|1292016|1.0|8529CD484D14060AE0404F8189D81C0B|Y|
037P004148|I|IN|1292016|1.0|8529CD484D15060AE0404F8189D81C0B|Y|
037P004148|P|IN|1292016|1.0|8529CD484D16060AE0404F8189D81C0B|Y|
037P011291|I|IN|1292016|1.0|8529CD484D17060AE0404F8189D81C0B|Y|
037P011291|P|IN|1292016|1.0|8529CD484D18060AE0404F8189D81C0B|Y|
037RQ04222|I|UA|6815067|1.0|8529CD484D19060AE0404F8189D81C0B|Y|
037RQ04222|P|UA|6815067|1.0|8529CD484D1A060AE0404F8189D81C0B|Y|
037RT04333|I|UA|6815067|1.0|8529CD484D1B060AE0404F8189D81C0B|Y|
037RT04333|P|UA|6815067|1.0|8529CD484D1C060AE0404F8189D81C0B|Y|
037S012056|I|BL|1024700|1.0|8529CD484D1D060AE0404F8189D81C0B|Y|
037S012056|P|BL|1024700|1.0|8529CD484D1E060AE0404F8189D81C0B|Y|
037SC00501|I|BL|1024700|1.0|8529CD484D1F060AE0404F8189D81C0B|Y|
037SC00501|P|BL|1024700|1.0|8529CD484D20060AE0404F8189D81C0B|Y|
037V009140|I|BL|1024700|1.0|8529CD484D21060AE0404F8189D81C0B|Y|
037V009140|P|BL|1024700|1.0|8529CD484D22060AE0404F8189D81C0B|Y|
037V010080|I|BL|1024700|1.0|8529CD484D23060AE0404F8189D81C0B|Y|
037V010080|P|BL|1024700|1.0|8529CD484D24060AE0404F8189D81C0B|Y|
037WHMM024|I|BL|1024700|1.0|8529CD484D25060AE0404F8189D81C0B|Y|
037WHMM024|P|BL|1024700|1.0|8529CD484D26060AE0404F8189D81C0B|Y|
037X002044|I|BL|1024700|1.0|8529CD484D27060AE0404F8189D81C0B|Y|
037X002044|P|BL|1024700|1.0|8529CD484D28060AE0404F8189D81C0B|Y|
038A017011|I|BL|1024700|1.0|8529CD484D29060AE0404F8189D81C0B|Y|
038A017011|P|BL|1024700|1.0|8529CD484D2A060AE0404F8189D81C0B|Y|
038AS00057|I|BL|1024700|1.0|8529CD484D2B060AE0404F8189D81C0B|Y|
038AS00057|P|BL|1024700|1.0|8529CD484D2C060AE0404F8189D81C0B|Y|
038AS06237|I|BL|1024700|1.0|8529CD484D2D060AE0404F8189D81C0B|Y|
038AS06237|P|BL|1024700|1.0|8529CD484D2E060AE0404F8189D81C0B|Y|
038AS17028|I|BL|1024700|1.0|8529CD484D2F060AE0404F8189D81C0B|Y|
038AS17028|P|BL|1024700|1.0|8529CD484D30060AE0404F8189D81C0B|Y|
038AS53023|I|BL|1024700|1.0|8529CD484D31060AE0404F8189D81C0B|Y|
038AS53023|P|BL|1024700|1.0|8529CD484D32060AE0404F8189D81C0B|Y|
038B011179|I|BL|1024700|1.0|8529CD484D33060AE0404F8189D81C0B|Y|
038B011179|P|BL|1024700|1.0|8529CD484D34060AE0404F8189D81C0B|Y|
038CC00118|I|BL|1024700|1.0|8529CD484D35060AE0404F8189D81C0B|Y|
038CC00118|P|BL|1024700|1.0|8529CD484D36060AE0404F8189D81C0B|Y|
038D008041|I|IN|1292016|1.0|8529CD484D37060AE0404F8189D81C0B|Y|
038D008041|P|IN|1292016|1.0|8529CD484D38060AE0404F8189D81C0B|Y|
038E009022|I|BL|1024700|1.0|8529CD484D39060AE0404F8189D81C0B|Y|
038E009022|P|BL|1024700|1.0|8529CD484D3A060AE0404F8189D81C0B|Y|
038F002075|I|BL|1024700|1.0|8529CD484D3B060AE0404F8189D81C0B|Y|
038F002075|P|BL|1024700|1.0|8529CD484D3C060AE0404F8189D81C0B|Y|
038G003452|I|UA|6815067|1.0|8529CD484D3D060AE0404F8189D81C0B|Y|
038G003452|P|UA|6815067|1.0|8529CD484D3E060AE0404F8189D81C0B|Y|
038IU09022|I|BL|1024700|1.0|8529CD484D3F060AE0404F8189D81C0B|Y|
038IU09022|P|BL|1024700|1.0|8529CD484D40060AE0404F8189D81C0B|Y|
038K008027|I|IN|1292016|1.0|8529CD484D41060AE0404F8189D81C0B|Y|
038K008027|P|IN|1292016|1.0|8529CD484D42060AE0404F8189D81C0B|Y|
038L006228|I|BL|1024700|1.0|8529CD484D43060AE0404F8189D81C0B|Y|
038L006228|P|BL|1024700|1.0|8529CD484D44060AE0404F8189D81C0B|Y|
038MCCC134|I|IN|1292016|1.0|8529CD484D45060AE0404F8189D81C0B|Y|
038MCCC134|P|IN|1292016|1.0|8529CD484D46060AE0404F8189D81C0B|Y|
038MDSL325|I|IN|1292016|1.0|8529CD484D47060AE0404F8189D81C0B|Y|
038MDSL325|P|IN|1292016|1.0|8529CD484D48060AE0404F8189D81C0B|Y|
038MPHC072|I|IN|1292016|1.0|8529CD484D49060AE0404F8189D81C0B|Y|
038MPHC072|P|IN|1292016|1.0|8529CD484D4A060AE0404F8189D81C0B|Y|
038MSCI011|I|IN|1292016|1.0|8529CD484D4B060AE0404F8189D81C0B|Y|
038MSCI011|P|IN|1292016|1.0|8529CD484D4C060AE0404F8189D81C0B|Y|
038N008222|I|IN|1292016|1.0|8529CD484D4D060AE0404F8189D81C0B|Y|
038N008222|P|IN|1292016|1.0|8529CD484D4E060AE0404F8189D81C0B|Y|
038P003213|I|IN|1292016|1.0|8529CD484D4F060AE0404F8189D81C0B|Y|
038P003213|P|IN|1292016|1.0|8529CD484D50060AE0404F8189D81C0B|Y|
038P011463|I|IN|1292016|1.0|8529CD484D51060AE0404F8189D81C0B|Y|
038P011463|P|IN|1292016|1.0|8529CD484D52060AE0404F8189D81C0B|Y|
038RPS1012|I|BA|6040000|1.0|8529CD484D53060AE0404F8189D81C0B|Y|
038RPS1012|P|BA|6040000|1.0|8529CD484D54060AE0404F8189D81C0B|Y|
038RQ04162|I|UA|6815067|1.0|8529CD484D55060AE0404F8189D81C0B|Y|
038RQ04162|P|UA|6815067|1.0|8529CD484D56060AE0404F8189D81C0B|Y|
038RR04087|I|UA|6815067|1.0|8529CD484D57060AE0404F8189D81C0B|Y|
038RR04087|P|UA|6815067|1.0|8529CD484D58060AE0404F8189D81C0B|Y|
038RT04091|I|UA|6815067|1.0|8529CD484D59060AE0404F8189D81C0B|Y|
038RT04091|P|UA|6815067|1.0|8529CD484D5A060AE0404F8189D81C0B|Y|
038RV04351|I|UA|6815067|1.0|8529CD484D5B060AE0404F8189D81C0B|Y|
038RV04351|P|UA|6815067|1.0|8529CD484D5C060AE0404F8189D81C0B|Y|
038SC01010|I|IN|1292016|1.0|8529CD484D5D060AE0404F8189D81C0B|Y|
038SC01010|P|IN|1292016|1.0|8529CD484D5E060AE0404F8189D81C0B|Y|
046G007720|I|UA|6815067|1.0|8529CD484D5F060AE0404F8189D81C0B|Y|
046G007720|P|UA|6815067|1.0|8529CD484D60060AE0404F8189D81C0B|Y|
046G007CD0|I|UA|6815067|1.0|8529CD484D61060AE0404F8189D81C0B|Y|
046G007CD0|P|UA|6815067|1.0|8529CD484D62060AE0404F8189D81C0B|Y|
099PLTF013|I|UA|6815067|1.0|8529CD484D63060AE0404F8189D81C0B|Y|
099PLTF013|P|UA|6815067|1.0|8529CD484D64060AE0404F8189D81C0B|Y|
099PLTF021|I|UA|6815067|1.0|8529CD484D65060AE0404F8189D81C0B|Y|
099PLTF021|P|UA|6815067|1.0|8529CD484D66060AE0404F8189D81C0B|Y|
099PLTF997|I|UA|6815067|1.0|8529CD484D67060AE0404F8189D81C0B|Y|
099PLTF997|P|UA|6815067|1.0|8529CD484D68060AE0404F8189D81C0B|Y|
099PMKT010|I|UA|6815067|1.0|8529CD484D71060AE0404F8189D81C0B|Y|
099PMKT010|P|UA|6815067|1.0|8529CD484D72060AE0404F8189D81C0B|Y|
099PSTF018|I|UA|6815067|1.0|8529CD484D6D060AE0404F8189D81C0B|Y|
099PSTF018|P|UA|6815067|1.0|8529CD484D6E060AE0404F8189D81C0B|Y|
099PSTF034|I|UA|6815067|1.0|8529CD484D6F060AE0404F8189D81C0B|Y|
099PSTF034|P|UA|6815067|1.0|8529CD484D70060AE0404F8189D81C0B|Y|
909BTIP011|I|UA|6815067|1.0|8529CD484D69060AE0404F8189D81C0B|Y|
909BTIP011|P|UA|6815067|1.0|8529CD484D6A060AE0404F8189D81C0B|Y|
909ETIP018|I|UA|6815067|1.0|8529CD484D6B060AE0404F8189D81C0B|Y|
909ETIP018|P|UA|6815067|1.0|8529CD484D6C060AE0404F8189D81C0B|Y|
