typ_restr_cd|typ_restr_desc|perm|row_actv_ind|obj_id|ver_nbr|
AGY|Agency|N|Y|8529CD484B42060AE0404F8189D81C0B|1.0|
NA|Not Applicable|N|Y|8529CD48484E060AE0404F8189D81C0B|1.0|
NON|None Allowed|N|Y|8529CD484B44060AE0404F8189D81C0B|1.0|
OBS|Off Balance Sheet|N|Y|8529CD484B45060AE0404F8189D81C0B|1.0|
OP|Operations|N|Y|8529CD484B46060AE0404F8189D81C0B|1.0|
P|Permanently Restricted|Y|Y|8529CD48484F060AE0404F8189D81C0B|1.0|
PRF|Permanently Restricted - IUF|Y|Y|8529CD484B47060AE0404F8189D81C0B|1.0|
PRU|Permanently Restricted - IU|Y|Y|8529CD484B48060AE0404F8189D81C0B|1.0|
T|Temporarily Restricted|N|Y|8529CD484850060AE0404F8189D81C0B|1.0|
TRF|Temporarily Restricted - IUF|N|Y|8529CD484B49060AE0404F8189D81C0B|1.0|
TRU|Temporarily Restricted - IU|N|Y|8529CD484B4A060AE0404F8189D81C0B|1.0|
U|Unrestricted|N|Y|8529CD48484D060AE0404F8189D81C0B|1.0|
