agrmnt_typ_cd|agrmnt_typ_cd_desc|row_actv_ind|obj_id|ver_nbr|
1|Grant Agreement|Y|8529CD4848F4060AE0404F8189D81C0B|1.0|
A|Account Agreement|Y|8529CD4848F5060AE0404F8189D81C0B|1.0|
B|Fund Description|Y|8529CD4848F6060AE0404F8189D81C0B|1.0|
C|Account Form|Y|8529CD4848F7060AE0404F8189D81C0B|1.0|
D|Account Administration Agreement|Y|8529CD4848F8060AE0404F8189D81C0B|1.0|
E|Agreement|Y|8529CD4848F9060AE0404F8189D81C0B|1.0|
F|Fund Administration Agreement|Y|8529CD4848FA060AE0404F8189D81C0B|1.0|
G|Gift Agreement|Y|8529CD4848FB060AE0404F8189D81C0B|1.0|
H|Last Will and Testament|Y|8529CD4848FC060AE0404F8189D81C0B|1.0|
I|Instructions for the Administration of|Y|8529CD4848FD060AE0404F8189D81C0B|1.0|
J|Letter of Agreement|Y|8529CD4848FE060AE0404F8189D81C0B|1.0|
K|Pledge Agreement|Y|8529CD4848FF060AE0404F8189D81C0B|1.0|
L|Letter|Y|8529CD484900060AE0404F8189D81C0B|1.0|
M|Memo of Understanding|Y|8529CD484901060AE0404F8189D81C0B|1.0|
N|Construction Agreement|Y|8529CD484902060AE0404F8189D81C0B|1.0|
O|Donor Intent Memo|Y|8529CD484903060AE0404F8189D81C0B|1.0|
P|Proposal|Y|8529CD484904060AE0404F8189D81C0B|1.0|
Q|Procedures|Y|8529CD484905060AE0404F8189D81C0B|1.0|
R|Resolution|Y|8529CD484906060AE0404F8189D81C0B|1.0|
S|Solicitation|Y|8529CD484907060AE0404F8189D81C0B|1.0|
T|Trust Agreement|Y|8529CD484908060AE0404F8189D81C0B|1.0|
U|Court Order|Y|8529CD484909060AE0404F8189D81C0B|1.0|
V|Donor Advised Fund Agreement|Y|8529CD48490A060AE0404F8189D81C0B|1.0|
W|Warranty Deed|Y|8529CD48490B060AE0404F8189D81C0B|1.0|
X|None|Y|8529CD48490C060AE0404F8189D81C0B|1.0|
Y|Agency Agreement|Y|8529CD48490D060AE0404F8189D81C0B|1.0|
Z|Not Applicable|Y|8529CD48490E060AE0404F8189D81C0B|1.0|
