kemid|me_dt_id|hist_inc_csh|hist_prin_csh|obj_id|ver_nbr|
032A017014|1.0|0.22|0.0|8529CD485A56060AE0404F8189D81C0B|1.0|
032A017014|2.0|0.18|0.0|8529CD485AA2060AE0404F8189D81C0B|1.0|
032A017014|3.0|0.42|0.0|8529CD485AED060AE0404F8189D81C0B|1.0|
032A017014|4.0|0.7|0.0|8529CD485B38060AE0404F8189D81C0B|1.0|
032A017014|5.0|0.66|0.0|8529CD485B84060AE0404F8189D81C0B|1.0|
032A017014|6.0|0.56|0.0|8529CD485BD0060AE0404F8189D81C0B|1.0|
032A017014|7.0|0.84|0.0|8529CD485C1D060AE0404F8189D81C0B|1.0|
032A017014|8.0|0.2|0.0|8529CD485C6A060AE0404F8189D81C0B|1.0|
032A017014|9.0|0.68|0.0|8529CD485CB8060AE0404F8189D81C0B|1.0|
032A017014|10.0|0.09|0.0|8529CD485D06060AE0404F8189D81C0B|1.0|
032A017014|11.0|0.32|0.0|8529CD485D54060AE0404F8189D81C0B|1.0|
032A017014|12.0|0.18|0.0|8529CD485DA2060AE0404F8189D81C0B|1.0|
032A017014|13.0|-5349626.81|0.0|8529CD485DEF060AE0404F8189D81C0B|1.0|
032A017014|14.0|0.26|0.0|8529CD485E3D060AE0404F8189D81C0B|1.0|
032A017014|15.0|0.21|0.0|8529CD485E8B060AE0404F8189D81C0B|1.0|
032A017014|16.0|0.82|0.0|8529CD485ED9060AE0404F8189D81C0B|1.0|
032A017014|17.0|0.81|0.0|8529CD485F27060AE0404F8189D81C0B|1.0|
032A017014|18.0|0.66|0.0|8529CD485F75060AE0404F8189D81C0B|1.0|
032A017014|19.0|0.29|0.0|8529CD485FC3060AE0404F8189D81C0B|1.0|
032A017014|20.0|0.04|0.0|8529CD486013060AE0404F8189D81C0B|1.0|
032A017014|21.0|0.44|0.0|8529CD486063060AE0404F8189D81C0B|1.0|
032A017014|22.0|0.93|0.0|8529CD4860B3060AE0404F8189D81C0B|1.0|
032A017014|23.0|0.8|0.0|8529CD486102060AE0404F8189D81C0B|1.0|
032A017014|24.0|0.85|0.0|8529CD486151060AE0404F8189D81C0B|1.0|
032A017014|25.0|-1919491.18|0.0|8529CD4861A0060AE0404F8189D81C0B|1.0|
032A017014|26.0|0.5|0.0|8529CD4861EF060AE0404F8189D81C0B|1.0|
