typ_cd|typ_desc|typ_csh_sweep_mdl_id|typ_inc_aci_mdl_id|typ_prin_aci_mdl_id|row_actv_ind|obj_id|ver_nbr|
011|Quasi Endowment-Budget|1.0||1.0|Y|8529CD484B62060AE0404F8189D81C0B|1.0|
013|Quasi Endowment-Undecided|1.0||1.0|Y|8529CD484B63060AE0404F8189D81C0B|1.0|
017|Permanent Endowment Funds - IUF|1.0||1.0|Y|8529CD484B64060AE0404F8189D81C0B|1.0|
027|Permanent Trust Principal - IUF (custodial)||||Y|8529CD484B4C060AE0404F8189D81C0B|1.0|
032|Discretionary Accounts - Unrestricted IU|1.0|||Y|8529CD484B65060AE0404F8189D81C0B|1.0|
037|Permanent Endowment - IU|1.0||1.0|Y|8529CD484B66060AE0404F8189D81C0B|1.0|
038|Expendable Endowment (& Income) - IU|1.0||1.0|Y|8529CD484B67060AE0404F8189D81C0B|1.0|
042|Trusts Held for Expendable Endowments (& Income)- IU (custodial)||||Y|8529CD484B4B060AE0404F8189D81C0B|1.0|
046|Gift Annuities Held for Expendable Endowments (& Income) - IU (custodial)|1.0||1.0|Y|8529CD484B68060AE0404F8189D81C0B|1.0|
047|Permanent Trust Principal - IU (custodial)||||Y|8529CD484B4D060AE0404F8189D81C0B|1.0|
049|Donor Foundation Unrestricted Trusts - IUF (custodial)||||Y|8529CD484B4E060AE0404F8189D81C0B|1.0|
070|Real Estate Administration IU||||Y|8529CD484B4F060AE0404F8189D81C0B|1.0|
099|Pooled Funds||||Y|8529CD484B50060AE0404F8189D81C0B|1.0|
909|TIPS||||Y|8529CD484B51060AE0404F8189D81C0B|1.0|
