clctn_actvy_typ_cd|obj_id|ver_nbr|actvy_desc|actv_ind|
CFPI|EDC0BE4713E53031E040E00ABCD64EE1|1.0|Call From Project Director|Y|
CFSR|EDC0BE4713E63031E040E00ABCD64EE1|1.0|Call From Sponsor|Y|
CMTS|EDC0BE4713E73031E040E00ABCD64EE1|1.0|Call Made to Sponsor|Y|
ERFS|EDC0BE4713E83031E040E00ABCD64EE1|1.0|Email Received From Sponsor|Y|
ESTS|EDC0BE4713E93031E040E00ABCD64EE1|1.0|Email Sent To Sponsor|Y|
FRFS|EDC0BE4713EA3031E040E00ABCD64EE1|1.0|Fax Received From Sponsor|Y|
FRSS|EDC0BE4713EB3031E040E00ABCD64EE1|1.0|Financial Report Sent To Sponsor|Y|
LRFS|EDC0BE4713EC3031E040E00ABCD64EE1|1.0|Letter Received From Sponsor|Y|
LSTS|EDC0BE4713ED3031E040E00ABCD64EE1|1.0|Letter Sent To Sponsor|Y|
RTCL|EDC0BE4713F33031E040E00ABCD64EE1|1.0|Referral To Collections|Y|
SCTR|EDC0BE4713F23031E040E00ABCD64EE1|1.0|Special Collection Team Review|Y|
TODO|EDC0BE4713EE3031E040E00ABCD64EE1|1.0|My To Do Activity|Y|
TTSC|EDC0BE4713F03031E040E00ABCD64EE1|1.0|Transfer To Special Collection|Y|
TTST|EDC0BE4713F13031E040E00ABCD64EE1|1.0|Transferred To State|Y|
