clctn_status_cd|obj_id|ver_nbr|status_desc|actv_ind|
CMPL|EDC0BE4714063031E040E00ABCD64EE1|1.0|Complete|Y|
JMRD|EDC0BE4714033031E040E00ABCD64EE1|1.0|Judgement Rendered|Y|
PMRD|EDC0BE4714003031E040E00ABCD64EE1|1.0|Payment Recovered|Y|
RDPP|EDC0BE4714013031E040E00ABCD64EE1|1.0|Recovered Payment Pending|Y|
RTCC|EDC0BE4713FD3031E040E00ABCD64EE1|1.0|Referred to Central Collections|Y|
RTOA|EDC0BE4713FE3031E040E00ABCD64EE1|1.0|Referred to Outside Agency|Y|
RTRA|EDC0BE4714053031E040E00ABCD64EE1|1.0|Referred to Research Administration|Y|
RTSA|EDC0BE4713FF3031E040E00ABCD64EE1|1.0|Referred to State Agency|Y|
RTWO|EDC0BE4714043031E040E00ABCD64EE1|1.0|Referred to AR for Write-off|Y|
SPBK|EDC0BE4714023031E040E00ABCD64EE1|1.0|Sponsor in Bankruptcy|Y|
