ctgry_cd|fin_coa_cd|fin_object_cd|ver_nbr|obj_id|actv_ind|
EMPB|BA|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_001|Y|
EMPB|BL|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_002|Y|
EMPB|EA|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_003|Y|
EMPB|IN|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_004|Y|
EMPB|KO|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_005|Y|
EMPB|NW|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_006|Y|
EMPB|SB|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_007|Y|
EMPB|SE|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_008|Y|
EMPB|UA|5600|1.0|AR_CST_CTGRY_FIN_OBJ_CD_009|Y|
EQIP|BA|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_010|Y|
EQIP|BL|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_011|Y|
EQIP|EA|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_012|Y|
EQIP|FW|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_013|Y|
EQIP|IA|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_014|Y|
EQIP|IN|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_015|Y|
EQIP|KO|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_016|Y|
EQIP|NW|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_017|Y|
EQIP|SB|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_018|Y|
EQIP|SE|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_019|Y|
EQIP|UA|5200|1.0|AR_CST_CTGRY_FIN_OBJ_CD_020|Y|
MSS|BA|4000|1.0|AR_CST_CTGRY_FIN_OBJ_CD_060|Y|
MSS|BA|4001|1.0|AR_CST_CTGRY_FIN_OBJ_CD_061|Y|
MSS|BA|4008|1.0|AR_CST_CTGRY_FIN_OBJ_CD_062|Y|
MSS|BA|4010|1.0|AR_CST_CTGRY_FIN_OBJ_CD_063|Y|
MSS|BA|4012|1.0|AR_CST_CTGRY_FIN_OBJ_CD_064|Y|
MSS|BA|4013|1.0|AR_CST_CTGRY_FIN_OBJ_CD_065|Y|
MSS|BA|4014|1.0|AR_CST_CTGRY_FIN_OBJ_CD_066|Y|
MSS|BA|4015|1.0|AR_CST_CTGRY_FIN_OBJ_CD_067|Y|
MSS|BA|4016|1.0|AR_CST_CTGRY_FIN_OBJ_CD_068|Y|
MSS|BA|4017|1.0|AR_CST_CTGRY_FIN_OBJ_CD_069|Y|
MSS|BA|4020|1.0|AR_CST_CTGRY_FIN_OBJ_CD_070|Y|
MSS|BA|4021|1.0|AR_CST_CTGRY_FIN_OBJ_CD_071|Y|
MSS|BA|4022|1.0|AR_CST_CTGRY_FIN_OBJ_CD_072|Y|
MSS|BA|4023|1.0|AR_CST_CTGRY_FIN_OBJ_CD_073|Y|
MSS|BA|4024|1.0|AR_CST_CTGRY_FIN_OBJ_CD_074|Y|
MSS|BA|4025|1.0|AR_CST_CTGRY_FIN_OBJ_CD_075|Y|
MSS|BA|4026|1.0|AR_CST_CTGRY_FIN_OBJ_CD_076|Y|
MSS|BA|4027|1.0|AR_CST_CTGRY_FIN_OBJ_CD_077|Y|
MSS|BA|4028|1.0|AR_CST_CTGRY_FIN_OBJ_CD_078|Y|
MSS|BA|4035|1.0|AR_CST_CTGRY_FIN_OBJ_CD_079|Y|
MSS|BA|4036|1.0|AR_CST_CTGRY_FIN_OBJ_CD_080|Y|
MSS|BA|4037|1.0|AR_CST_CTGRY_FIN_OBJ_CD_081|Y|
MSS|BA|4040|1.0|AR_CST_CTGRY_FIN_OBJ_CD_082|Y|
MSS|BA|4041|1.0|AR_CST_CTGRY_FIN_OBJ_CD_083|Y|
MSS|BA|4042|1.0|AR_CST_CTGRY_FIN_OBJ_CD_084|Y|
MSS|BA|4050|1.0|AR_CST_CTGRY_FIN_OBJ_CD_085|Y|
MSS|BL|4000|1.0|AR_CST_CTGRY_FIN_OBJ_CD_086|Y|
MSS|BL|4001|1.0|AR_CST_CTGRY_FIN_OBJ_CD_087|Y|
