cust_nbr|obj_id|ver_nbr|cust_nm|cust_parent_co_nbr|cust_typ_cd|cust_addr_chg_dt|cust_rec_add_dt|cust_lst_actv_dt|cust_active_cd|cust_phone_nbr|cust_800_phone_nbr|cust_cntct_nm|cust_cntct_phn_nbr|cust_fax_nbr|cust_birth_dt|cust_tax_exmpt_ind|cust_crdt_lmt_amt|cust_crdt_aprv_nm|cust_email_addr|cust_tax_typ_cd|cust_tax_nbr|bnkrptcy_typ_cd|bnkrptcy_dt|bnkrptcy_review_dt|stop_wrk_ind|stop_wrk_reason_txt|cust_inv_tmplt_cd|
3MC17500|48A7ED7FBDD8FC83E0404F8189D860FE|1.0|ENGEL COMPANY|||20070411134628|20040819150539||Y|123-456-7890|||||||||||||||N|||
40/21715|48A7ED7FBE73FC83E0404F8189D860FE|1.0|STADLER CORPORATION|||20061213163415|20061213163415||N||||||||||||||||N|||
AAR21716|48A7ED7FBE71FC83E0404F8189D860FE|1.0|KEENEY CORPORATION|||20061213163157|20061213163157||Y||||||||||||||||N|||
ABB2|48A7ED7FBD5BFC83E0404F8189D860FE|1.0|WOODS CORPORATION|||20040902075748||19990724000000|Y|123-456-7890|800-999-8888|DELLA Y WOODS|222-333-4444|555-666-7777||F|||||||||N|||
ABE17378|48A7ED7FBDC0FC83E0404F8189D860FE|1.0|KNOTTS CORPORATION|||20040728121229|20040727160223||Y||||||||||||||||N|||
ABG20222|48A7ED7FBE28FC83E0404F8189D860FE|1.0|SHARMA CORPORATION|||20070906143921|20060118161652||Y||||||||||||||||N|||
ACC17233|48A7ED7FBDA8FC83E0404F8189D860FE|1.0|DAVY CORPORATION|||20061208095527|20040708084949||Y||||||||||||||||N|||
ACC23402|48A7ED7FBE92FC83E0404F8189D860FE|1.0|NUNEZ CORPORATION|||20070910080344|20070910080344||Y||||||||||||||||N|||
ACE21725|48A7ED7FBE77FC83E0404F8189D860FE|1.0|KENDALL COMPANY|||20061214130918|20061214130918||Y||||||||||||||||N|||
ACN17421|48A7ED7FBDD4FC83E0404F8189D860FE|1.0|LANTZ CORPORATION|||20070906124531|20040729104514||Y||||||||||||||||N|||
AER17927|48A7ED7FBDF5FC83E0404F8189D860FE|1.0|DELOZIER CORPORATION|||20070909173221|20041014091632||Y||||||||||||||||N|||
ALA17234|48A7ED7FBDA4FC83E0404F8189D860FE|1.0|VELIZ COMPANY|||20040708080651|20040708080651||Y|123-456-7890|||||||||||||||N|||
ALD17235|48A7ED7FBDA6FC83E0404F8189D860FE|1.0|KUHLMAN CORPORATION|||20040708084745|20040708084745||Y|123-456-7890|||||||||||||||N|||
ALL128|48A7ED7FBD5CFC83E0404F8189D860FE|1.0|BEERS CORPORATION|||20070925143831||19990724000000|Y|||||||F|||||||||N|||
