fin_coa_cd|account_nbr|sub_acct_nbr|obj_id|ver_nbr|sub_acct_typ_cd|icr_typ_cd|fin_series_id|icr_fin_coa_cd|icr_account_nbr|off_cmp_cd|cst_shr_coa_cd|cst_shrsrcacct_nbr|cst_srcsubacct_nbr|
BA|6044900|ARREC|0C4EE51FD8482018E043814FD8812018|1.0|EX|||||N||||
BA|9012025|26871|0C4EE51FD93E2018E043814FD8812018|1.0|EX|||||N||||
BA|9019993|1545|0C4EE51FD94C2018E043814FD8812018|1.0|EX|||||N||||
BA|9019995|37962|0C4EE51FD93B2018E043814FD8812018|1.0|EX|||||N||||
BA|9019996|26993|0C4EE51FD93A2018E043814FD8812018|1.0|EX|||||N||||
BA|9020174|27179|0C4EE51FD93D2018E043814FD8812018|1.0|EX|||||N||||
BA|9020175|27178|0C4EE51FD93C2018E043814FD8812018|1.0|EX|||||N||||
BA|9020204|41077|0C4EE51FD9382018E043814FD8812018|1.0|EX|||||N||||
BA|9020224|05551|0C4EE51FD9392018E043814FD8812018|1.0|EX|||||N||||
BA|9020391|26876|0C4EE51FD9412018E043814FD8812018|1.0|EX|||||N||||
BA|9020650|26875|0C4EE51FD9432018E043814FD8812018|1.0|EX|||||N||||
BA|9020805|26878|0C4EE51FD9452018E043814FD8812018|1.0|EX|||||N||||
BA|9020857|26870|0C4EE51FD93F2018E043814FD8812018|1.0|EX|||||N||||
BA|9020857|26873|0C4EE51FD9422018E043814FD8812018|1.0|EX|||||N||||
BA|9020860|26877|0C4EE51FD9402018E043814FD8812018|1.0|EX|||||N||||
BA|9021004|37710|0C4EE51FD9442018E043814FD8812018|1.0|EX|||||N||||
BA|9021104|05552|0C4EE51FD9462018E043814FD8812018|1.0|EX|||||N||||
BL|0211401|CS001|1D6B2432099B5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211402|CS001|1D6B2432099D5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211403|CS001|1D6B2432099F5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211404|CS001|1D6B243209A15024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211405|CS001|1D6B243209A35024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211406|CS001|1D6B243209A55024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211407|CS001|1D6B243209A75024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211408|CS001|1D6B243209A95024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211409|CS001|1D6B243209AB5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211601|CS001|1D6B243209B65024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211602|CS001|1D6B243209B85024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211603|CS001|1D6B243209BA5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211604|CS001|1D6B243209BC5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211605|CS001|1D6B243209BE5024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211606|CS001|1D6B243209C05024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211607|CS001|1D6B243209C25024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211608|CS001|1D6B243209C45024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211609|CS001|1D6B243209C65024E043814FD8815024|1.0|CS||000|||N|BL|1031400||
BL|0211701|CGB3|FBBBD9835D7B54EAE040E00ABCD67423|1.0|CS|||||N||||
BL|0211703|CGB|8B69D3AF16A34D91B82F125835EC11B2|1.0|EX|||||N||||
BL|0211703|CGB2|4B60620B83F94B6B9EA1556C283D2675|1.0|EX|||||N||||
BL|1031400|ACWT|0C4EE51FD8492018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ADV|0C4EE51FD84A2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AHD|0C4EE51FD84B2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AHT|0C4EE51FD84C2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AKT|0C4EE51FD84D2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ALT|0C4EE51FD84E2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AMCT|0C4EE51FD84F2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AMD|0C4EE51FD8502018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AMT|0C4EE51FD8512018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|APD|0C4EE51FD9212018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|APT|0C4EE51FD91F2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AQD|0C4EE51FD8522018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|AQT|0C4EE51FD8532018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ARD|0C4EE51FD9152018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ART|0C4EE51FD9142018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BBD|0C4EE51FD8542018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BBT|0C4EE51FD8552018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BLDG|0C4EE51FD8562018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BOD|0C4EE51FD8572018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BOT|0C4EE51FD8582018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|BUS|0C4EE51FD8592018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CGD|0C4EE51FD85A2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CGT|0C4EE51FD85B2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CHD|0C4EE51FD9262018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CHR|0C4EE51FD85C2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CHT|0C4EE51FD85D2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CLE|0C4EE51FD85E2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CLO|0C4EE51FD85F2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CLT|0C4EE51FD8602018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|COLL|0C4EE51FD8612018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CWD|0C4EE51FD8622018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CWT|0C4EE51FD8632018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CYD|0C4EE51FD94B2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|CYT|0C4EE51FD94A2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DDT|0C4EE51FD8642018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DHT|0C4EE51FD8652018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DMT|0C4EE51FD8662018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DPD|0C4EE51FD8672018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DPT|0C4EE51FD8682018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DRD|0C4EE51FD8692018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DRT|0C4EE51FD86A2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DSD|0C4EE51FD86B2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|DST|0C4EE51FD86C2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|EHID|0C4EE51FD86D2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|EHIT|0C4EE51FD86E2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ESD|0C4EE51FD9222018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|EST|0C4EE51FD91E2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ETD|0C4EE51FD86F2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|ETT|0C4EE51FD8702018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GBD|0C4EE51FD8712018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GBRIT|0C4EE51FD8722018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GBRT|0C4EE51FD8732018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GBT|0C4EE51FD8742018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GFD|0C4EE51FD8752018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GFT|0C4EE51FD8762018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GRA|0C4EE51FD8772018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GRANT|0C4EE51FD8782018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GRD|0C4EE51FD8792018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|GRT|0C4EE51FD87A2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|HLD|0C4EE51FD87B2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|HLT|0C4EE51FD87C2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JAD|0C4EE51FD87D2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JAST|0C4EE51FD87E2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JAT|0C4EE51FD87F2018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JBD|0C4EE51FD8802018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JBEYT|0C4EE51FD8812018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JBT|0C4EE51FD8822018E043814FD8812018|1.0|EX|||||N||||
BL|1031400|JBUD|0C4EE51FD8832018E043814FD8812018|1.0|EX|||||N||||
