fin_coa_cd|account_nbr|fdoc_typ_cd|acct_dlgt_unvl_id|obj_id|ver_nbr|fdoc_aprv_from_amt|acct_dlgt_prmrt_cd|acct_dlgt_actv_cd|acct_dlgt_start_dt|fdoc_aprv_to_amt|
BA|6044900|AV|1233208366|0393A3CC8C31A502E043814FD881A502|1.0||Y|N|20020318000000||
BA|6044900|AV|5400901960|0393A3CC9133A502E043814FD881A502|1.0||Y|Y|20040930000000||
BA|6044900|BC|1233208366|A70A0DC6-0F59-937C-9009-B08EAAD43F14|1.0||N|Y|20080122000000||
BA|6044900|KFS|1233208366|0393A3CC8C2DA502E043814FD881A502|1.0||Y|N|20020318000000||
BA|6044906|AV|1233208366|0393A3CC8C53A502E043814FD881A502|1.0||Y|N|20020318000000||
BA|6044906|AV|5400901960|0393A3CC9134A502E043814FD881A502|1.0||Y|Y|20040930000000||
BA|6044906|BC|1233208366|22FE3C8F-0485-7397-40D9-E159380971F2|1.0||N|Y|20080122000000||
BA|6044906|KFS|1233208366|0393A3CC8C2FA502E043814FD881A502|1.0||Y|N|20020318000000||
BA|6044913|AV|1233208366|0393A3CC8C54A502E043814FD881A502|1.0||Y|N|20020318000000||
BA|6044913|AV|5400901960|0393A3CC9135A502E043814FD881A502|1.0||Y|Y|20040930000000||
BA|6044913|KFS|1233208366|0393A3CC8C2EA502E043814FD881A502|1.0||Y|N|20020318000000||
BA|9012025|AA|5397206164|0393A3CC8EF3A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|ACCT|5397206164|0393A3CC8EECA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|ADEL|5397206164|0393A3CC8EEDA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|AR|5397206164|0393A3CC8EF4A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|AT|5397206164|0393A3CC8EF5A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|AV|5397206164|0393A3CC8EE1A502E043814FD881A502|1.0||Y|Y|20031017000000||
BA|9012025|BA|5397206164|0393A3CC8EE4A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|BT|5397206164|0393A3CC8EF1A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|CRM|5397206164|0393A3CC8EF8A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|DI|5397206164|0393A3CC8EE6A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|DV|5397206164|0393A3CC8EE5A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|ELR|5397206164|0393A3CC8EF6A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|FR|5397206164|0393A3CC8EF7A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|GEC|5397206164|0393A3CC8EE7A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|IB|5397206164|0393A3CC8EE8A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|KFS|2966509283|0393A3CC8DF7A502E043814FD881A502|1.0||N|N|20031017000000||
BA|9012025|KFS|5397206164|0393A3CC8DF6A502E043814FD881A502|1.0||N|N|20030729000000||
BA|9012025|ND|5397206164|0393A3CC8EE9A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|PE|5397206164|0393A3CC8EEAA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|SACC|5397206164|0393A3CC8EEEA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|SOBJ|5397206164|0393A3CC8EEFA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|ST|5397206164|0393A3CC8EF2A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9012025|TF|5397206164|0393A3CC8EEBA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|AA|5397206164|0393A3CC913CA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|ACCT|5397206164|0393A3CC913DA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|ADEL|5397206164|0393A3CC913EA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|AR|5397206164|0393A3CC913FA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|AT|5397206164|0393A3CC9140A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|AV|5397206164|0393A3CC9141A502E043814FD881A502|1.0||Y|Y|20031017000000||
BA|9019993|BA|5397206164|0393A3CC9142A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|BT|5397206164|0393A3CC9145A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|CRM|5397206164|0393A3CC9146A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|DI|5397206164|0393A3CC9147A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|DV|5397206164|0393A3CC9148A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|ELR|5397206164|0393A3CC9149A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|FR|5397206164|0393A3CC914BA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|GEC|5397206164|0393A3CC914CA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|IB|5397206164|0393A3CC914DA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|KFS|2253805465|0393A3CC9154A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|ND|5397206164|0393A3CC914EA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|PE|5397206164|0393A3CC914FA502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|SACC|5397206164|0393A3CC9150A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|SOBJ|5397206164|0393A3CC9151A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|ST|5397206164|0393A3CC9152A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019993|TF|5397206164|0393A3CC9153A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019995|AA|5397206164|0393A3CC90C2A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019995|ACCT|5397206164|0393A3CC90C3A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019995|ADEL|5397206164|0393A3CC90C4A502E043814FD881A502|1.0||N|Y|20031017000000||
BA|9019995|AR|5397206164|0393A3CC90C5A502E043814FD881A502|1.0||N|Y|20031017000000||
