fin_aicpa_func_cd|obj_id|ver_nbr|fin_aicpa_func_nm|row_actv_ind|
AS|0DF1FAB5ADCE03D2E043814FD88103D2|1.0|ACADEMIC SUPPORT|Y|
AUX|0DF1FAB5ADCF03D2E043814FD88103D2|1.0|AUXILIARY & SERVICE|Y|
IN|0DF1FAB5ADD003D2E043814FD88103D2|1.0|INSTRUCTIONAL|Y|
IS|0DF1FAB5ADD103D2E043814FD88103D2|1.0|INSTITUTIONAL SUPPORT|Y|
NA|0DF1FAB5ADD203D2E043814FD88103D2|1.0|NOT APPLICABLE TO ACCOUNT|Y|
PP|0DF1FAB5ADD303D2E043814FD88103D2|1.0|OPERATION AND MAINTENANCE OF PLANT|Y|
PS|0DF1FAB5ADD403D2E043814FD88103D2|1.0|PUBLIC SERVICE|Y|
RE|0DF1FAB5ADD503D2E043814FD88103D2|1.0|RESEARCH|Y|
S&F|0DF1FAB5ADD603D2E043814FD88103D2|1.0|SCHOLARSHIPS & FELLOWSHIPS|Y|
SS|0DF1FAB5ADD703D2E043814FD88103D2|1.0|STUDENT SERVICES|Y|
