fin_balance_typ_cd|obj_id|ver_nbr|fin_balance_typ_nm|fin_baltyp_shrt_nm|fin_offst_gnrtn_cd|fin_baltyp_enc_cd|row_actv_ind|
A2|014F3DAF83BCA448E043814FD28EA448|1.0|A21 BALANCES - LABOR LEDGER ONLY|A21 BALANCES|Y|N|Y|
AC|014F3DAF83BDA448E043814FD28EA448|1.0|ACTUALS (BALANCE SHEET)|ACTUALS|Y|N|Y|
BB|014F3DAF83BFA448E043814FD28EA448|1.0|ADJUSTED BASE BUDGET|ADJ BSE BUDG|N|N|Y|
CB|014F3DAF83C1A448E043814FD28EA448|1.0|CURRENT BUDGET|CURRENT BUDG|N|N|Y|
CE|014F3DAF83C2A448E043814FD28EA448|1.0|COST SHARE ENCUMBRANCES|CST SHR ENCS|Y|Y|Y|
EX|014F3DAF83C3A448E043814FD28EA448|1.0|EXTERNAL ENCUMBRANCE|EXTERNAL ENC|Y|Y|Y|
IE|014F3DAF83C4A448E043814FD28EA448|1.0|INTERNAL ENCUMBRANCE|INTERNAL ENC|Y|Y|Y|
MB|014F3DAF83C6A448E043814FD28EA448|1.0|MONTHLY BUDGET|MONTHLY BUDG|N|N|Y|
NB|014F3DAF83C7A448E043814FD28EA448|1.0|CLOSE NOMINAL BALANCE|NOMINAL BAL|Y|N|Y|
PE|014F3DAF83C8A448E043814FD28EA448|1.0|PRE-ENCUMBRANCE|PRE-ENCUM|Y|Y|Y|
RE|014F3DAF83C9A448E043814FD28EA448|1.0|YEAR END BUDGET REVERSION|BUDG REVERT|N|N|Y|
TR|014F3DAF83CAA448E043814FD28EA448|1.0|TRANSFERS|TRANSFERS|Y|N|Y|
