fin_coa_cd|obj_id|ver_nbr|fin_coa_desc|fin_coa_active_cd|fin_cash_obj_cd|fin_ap_obj_cd|incbdgt_elimobj_cd|expbdgt_elimobj_cd|rpts_to_fin_coa_cd|fin_ar_obj_cd|fin_int_enc_obj_cd|fin_ext_enc_obj_cd|fin_pre_enc_obj_cd|icr_inc_fin_obj_cd|icr_exp_fin_obj_cd|fnd_bal_obj_cd|
BA|014F3DAF7489A448E043814FD28EA448|1.0|BLOOMINGTON AUX|Y|8000|9041|1209|1209|BL|8118|9891|9892|9890|1803|5500|9899|
BL|014F3DAF748AA448E043814FD28EA448|1.0|BLOOMINGTON|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
EA|014F3DAF748BA448E043814FD28EA448|1.0|EAST|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
FW|014F3DAF748CA448E043814FD28EA448|1.0|FORT WAYNE|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
HO|014F3DAF748DA448E043814FD28EA448|1.0|HOSPITALS|Y|8000|9041|1209|1209|IN|8100|9891|9892|9890|1803|5500|9899|
IA|014F3DAF748EA448E043814FD28EA448|1.0|INDI AUXILIARY|Y|8000|9041|1209|1209|IN|8118|9891|9892|9890|1803|5500|9899|
IN|014F3DAF748FA448E043814FD28EA448|1.0|INDIANAPOLIS|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
IU|014F3DAF7490A448E043814FD28EA448|1.0|INDIANA UNIV|Y|8000|9041| | |IU|8118|9891|9892|9890|1702|3702|9899|
KO|014F3DAF7491A448E043814FD28EA448|1.0|KOKOMO|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
NW|014F3DAF7492A448E043814FD28EA448|1.0|NORTHWEST|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
SB|014F3DAF7493A448E043814FD28EA448|1.0|SOUTH BEND|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
SE|014F3DAF7494A448E043814FD28EA448|1.0|SOUTHEAST|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
UA|014F3DAF7495A448E043814FD28EA448|1.0|UNIV ADMIN|Y|8000|9041|1209|1209|IU|8118|9891|9892|9890|1803|5500|9899|
