fin_fed_func_cd|obj_id|ver_nbr|fin_fed_func_nm|row_actv_ind|
GA|0DF1CCE1765BB5BCE043814FD881B5BC|1.0|GENERAL ADMINISTRATION|Y|
IUR|0DF1CCE1765CB5BCE043814FD881B5BC|1.0|INSTRUCTION AND UNSPONSORED RESEARCH|Y|
LIB|0DF1CCE1765DB5BCE043814FD881B5BC|1.0|LIBRARY SERVICES|Y|
NA|0DF1CCE1765EB5BCE043814FD881B5BC|1.0|NOT APPLICABLE TO ACCOUNT|Y|
OIA|0DF1CCE1765FB5BCE043814FD881B5BC|1.0|OTHER INSTITUTIONAL ACTIVITIES|Y|
PP|0DF1CCE17660B5BCE043814FD881B5BC|1.0|PHYSICAL PLANT|Y|
SA|0DF1CCE17661B5BCE043814FD881B5BC|1.0|STUDENT AID|Y|
SAS|0DF1CCE17662B5BCE043814FD881B5BC|1.0|STUDENT ADMINISTRATION AND SERVICES|Y|
SPA|0DF1CCE17663B5BCE043814FD881B5BC|1.0|SPONSORED PROGRAM ADMIN.|Y|
SPS|0DF1CCE17664B5BCE043814FD881B5BC|1.0|SPONSORED PUBLIC SERVICE|Y|
SR|0DF1CCE17665B5BCE043814FD881B5BC|1.0|SPONSORED RESEARCH|Y|
