fund_grp_cd|obj_id|ver_nbr|dobj_maint_cd_actv_ind|fund_grp_nm|fin_report_sort_cd|fnd_grp_ba_rstr_lvl_cd|
AE|01AFB744FDC89556E043814FD8819556|1.0|Y|AUXILIARY ENTERPRISES|05|F|
AF|01AFB744FDC99556E043814FD8819556|1.0|Y|AGENCY FUNDS|10|F|
CG|01AFB744FDCA9556E043814FD8819556|1.0|Y|CONTRACT & GRANTS|04|F|
CL|01AFB744FDCB9556E043814FD8819556|1.0|Y|CLEARING & ROTATING|06|F|
DS|01AFB744FDCC9556E043814FD8819556|1.0|Y|DESIGNATED FUNDS|02|F|
EN|01AFB744FDCD9556E043814FD8819556|1.0|Y|ENDOWMENTS|08|F|
GF|196D4AE5469A6008E043814FD8816008|1.0|Y|GENERAL FUNDS|01|C|
LF|01AFB744FDCF9556E043814FD8819556|1.0|Y|LOAN FUNDS|07|F|
OF|01AFB744FDD09556E043814FD8819556|1.0|Y|OTHER FUNDS|11|F|
PF|01AFB744FDD19556E043814FD8819556|1.0|Y|PLANT FUNDS|09|F|
RF|01AFB744FDD29556E043814FD8819556|1.0|Y|RESTRICTED FUNDS|03|F|
