univ_fiscal_yr|fin_series_id|awrd_icr_entry_nbr|obj_id|ver_nbr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|trn_debit_crdt_cd|awrd_icr_rate_pct|acct_icr_rate_actv_ind|
2009.0|000|1.0|82E474DA-CD8F-0324-AF18-F436D5EBA754|1.0|@|@|@|5500|---|D|0.0|Y|
2009.0|000|2.0|1BB0C24F-EE06-3DAC-7CEB-D88A46285BA5|1.0|#|#|-----|1803|---|C|0.0|Y|
2009.0|001|1.0|18D91228-2BCE-8E10-7A96-38C521E91307|1.0|@|@|@|5500|---|D|3.13|Y|
2009.0|001|2.0|2278F543-D2F3-8A70-E023-1730ED5583F1|1.0|#|#|-----|1803|---|C|3.13|Y|
2009.0|002|1.0|0F8B69E0-3FD7-FBE5-52AE-D77E543DAC0D|1.0|@|@|@|5500|---|D|3.8|Y|
2009.0|002|2.0|163C52B4-8E4C-ED65-1DE8-58CFEBFAE6A9|1.0|#|#|-----|1803|---|C|2.0|Y|
2009.0|002|3.0|0B496D9C-481E-29E1-76B0-3D9ED3CF1CF0|1.0|BL|1031400|-----|1803|---|C|1.8|Y|
2009.0|003|1.0|ECB90EA3-40F8-9287-B453-C438B0CD871F|1.0|@|@|@|5500|---|D|4.0|Y|
2009.0|003|2.0|BB2E0600-4898-032E-4F87-373FA04BE87F|1.0|#|#|-----|1803|---|C|4.0|Y|
2009.0|004|1.0|58540C26-40FF-6F8F-662D-05B3EE3FDDA9|1.0|@|@|@|5500|---|D|4.92|Y|
2009.0|004|2.0|887F0A97-5D30-2883-7550-D683EDB80EEB|1.0|#|#|-----|1803|---|C|4.92|Y|
2009.0|005|1.0|6DE9DEBA-D480-AEFC-5F85-3032499AF08F|1.0|@|@|@|5500|---|D|5.0|Y|
2009.0|005|2.0|1F81F0E5-6A10-6A8A-2378-B46C8978C44F|1.0|#|#|-----|1803|---|C|5.0|Y|
2009.0|006|1.0|5DBE51F1-2967-C9B7-FFBA-4A47B47448EE|1.0|@|@|@|5500|---|D|5.28|Y|
2009.0|006|2.0|8DEC188A-2933-9F70-CDB8-57AE185988EC|1.0|#|#|-----|1803|---|C|5.28|Y|
2009.0|007|1.0|6B2D2089-A837-1FE1-4B0E-EEAACB98845E|1.0|@|@|@|5500|---|D|5.54|Y|
2009.0|007|2.0|CFF969C5-7DD8-8F3E-FBA2-4EB876AD62F5|1.0|#|#|-----|1803|---|C|5.54|Y|
2009.0|008|1.0|09813408-5D54-CFD1-A431-A5BDB35D0A04|1.0|@|@|@|5500|---|D|6.0|Y|
2009.0|008|2.0|FB13B486-DAB7-0B3A-6E5F-CF623E13DC5D|1.0|#|#|-----|1803|---|C|6.0|Y|
2009.0|009|1.0|AAE8AD91-FE21-769B-34FD-28957009D938|1.0|@|@|@|5500|---|D|6.4|Y|
2009.0|009|2.0|CB39B141-6392-9E17-A8A4-D6553B86164C|1.0|#|#|-----|1803|---|C|6.4|Y|
2009.0|010|1.0|CEC912B4-38FA-5E89-A4FB-0CF7E8138C73|1.0|@|@|@|5500|---|D|7.0|Y|
2009.0|010|2.0|278CFBC1-19B9-62A8-831C-5AB025FAA237|1.0|#|#|-----|1803|---|C|7.0|Y|
2009.0|011|1.0|7924D15B-2F7B-E4FD-927B-000A39B1A6E7|1.0|@|@|@|5500|---|D|7.45|Y|
2009.0|011|2.0|DA5CBC67-6142-9363-2E46-AC67C1DE858D|1.0|#|#|-----|1803|---|C|7.45|Y|
