acct_icr_typ_cd|fin_coa_cd|fin_object_cd|obj_id|ver_nbr|acct_icr_excl_typ_actv_ind|
11|IU|3543|0C4EE51FD96C2018E043814FD8812018|1.0|Y|
11|IU|3544|0C4EE51FD96D2018E043814FD8812018|1.0|Y|
11|IU|3702|0C4EE51FD96E2018E043814FD8812018|1.0|Y|
11|IU|3703|0C4EE51FD96F2018E043814FD8812018|1.0|Y|
11|IU|3705|0C4EE51FD9702018E043814FD8812018|1.0|Y|
11|IU|3706|0C4EE51FD9712018E043814FD8812018|1.0|Y|
11|IU|3708|0C4EE51FD9722018E043814FD8812018|1.0|Y|
11|IU|3709|0C4EE51FD9732018E043814FD8812018|1.0|Y|
11|IU|3710|0C4EE51FD9742018E043814FD8812018|1.0|Y|
11|IU|5199|0C4EE51FD9752018E043814FD8812018|1.0|Y|
11|IU|5510|0C4EE51FD9762018E043814FD8812018|1.0|Y|
11|IU|5512|0C4EE51FD9772018E043814FD8812018|1.0|Y|
11|IU|5514|0C4EE51FD9782018E043814FD8812018|1.0|Y|
11|IU|5516|0C4EE51FD9792018E043814FD8812018|1.0|Y|
11|IU|5518|0C4EE51FD97A2018E043814FD8812018|1.0|Y|
11|IU|5520|0C4EE51FD97B2018E043814FD8812018|1.0|Y|
11|IU|5530|0C4EE51FD97C2018E043814FD8812018|1.0|Y|
11|IU|5540|0C4EE51FD97D2018E043814FD8812018|1.0|Y|
11|IU|5546|0C4EE51FD97E2018E043814FD8812018|1.0|Y|
11|IU|5548|0C4EE51FD97F2018E043814FD8812018|1.0|Y|
11|IU|5549|0C4EE51FD9802018E043814FD8812018|1.0|Y|
11|IU|5553|0C4EE51FD9812018E043814FD8812018|1.0|Y|
11|IU|5555|0C4EE51FD9822018E043814FD8812018|1.0|Y|
11|IU|5557|0C4EE51FD9832018E043814FD8812018|1.0|Y|
11|IU|5560|0C4EE51FD9842018E043814FD8812018|1.0|Y|
11|IU|5562|0C4EE51FD9852018E043814FD8812018|1.0|Y|
