fin_coa_cd|fin_cons_obj_cd|obj_id|ver_nbr|fin_cons_obj_nm|fin_conobj_shrt_nm|fin_conobj_actv_cd|fin_report_sort_cd|
BA|ASEX|014F3DAF7384A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
BA|ASRE|014F3DAF7385A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
BA|ASST|014F3DAF7386A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
BA|CMPN|014F3DAF7387A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
BA|CPTL|014F3DAF7388A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
BA|FDBL|014F3DAF7389A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
BA|GENX|014F3DAF738AA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
BA|IDEX|014F3DAF738BA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
BA|IDIN|014F3DAF738CA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
BA|LIAB|014F3DAF738DA448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
BA|OTRE|014F3DAF738EA448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
BA|RSRX|014F3DAF738FA448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
BA|SAPR|014F3DAF7390A448E043814FD28EA448|1.0|STATE APPROPRIATION|STATE APPROP|Y|02|
BA|SCHL|014F3DAF7391A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
BA|STFE|014F3DAF7392A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
BA|TFEX|014F3DAF7393A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
BA|TFIN|014F3DAF7394A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
BA|TRSF|014F3DAF7395A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
BA|TRVL|014F3DAF7396A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
BL|ASEX|014F3DAF7397A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
BL|ASRE|014F3DAF7398A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
BL|ASST|014F3DAF7399A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
BL|CMPN|014F3DAF739AA448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
BL|CPTL|014F3DAF739BA448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
BL|FDBL|014F3DAF739CA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
BL|GENX|014F3DAF739DA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
BL|IDEX|014F3DAF739EA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
BL|IDIN|014F3DAF739FA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
BL|LIAB|014F3DAF73A0A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
BL|OTRE|014F3DAF73A1A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
BL|RSRX|014F3DAF73A2A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
BL|SAPR|014F3DAF73A3A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
BL|SCHL|014F3DAF73A4A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
BL|STFE|014F3DAF73A5A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
BL|TFEX|014F3DAF73A6A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
BL|TFIN|014F3DAF73A7A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
BL|TRSF|014F3DAF73A8A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
BL|TRVL|014F3DAF73A9A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
EA|ASEX|014F3DAF73AAA448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
EA|ASRE|014F3DAF73ABA448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
EA|ASST|014F3DAF73ACA448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
EA|CMPN|014F3DAF73ADA448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
EA|CPTL|014F3DAF73AEA448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
EA|FDBL|014F3DAF73AFA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
EA|GENX|014F3DAF73B0A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
EA|IDEX|014F3DAF73B1A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
EA|IDIN|014F3DAF73B2A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
EA|LIAB|014F3DAF73B3A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
EA|OTRE|014F3DAF73B4A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
EA|RSRX|014F3DAF73B5A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
EA|SAPR|014F3DAF73B6A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
EA|SCHL|014F3DAF73B7A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
EA|STFE|014F3DAF73B8A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
EA|TFEX|014F3DAF73B9A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
EA|TFIN|014F3DAF73BAA448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
EA|TRSF|014F3DAF73BBA448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
EA|TRVL|014F3DAF73BCA448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
FW|ASEX|014F3DAF73BDA448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
FW|ASRE|014F3DAF73BEA448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
FW|ASST|014F3DAF73BFA448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
FW|CMPN|014F3DAF73C0A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
FW|CPTL|014F3DAF73C1A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
FW|FDBL|014F3DAF73C2A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
FW|GENX|014F3DAF73C3A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
FW|IDEX|014F3DAF73C4A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
FW|IDIN|014F3DAF73C5A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
FW|LIAB|014F3DAF73C6A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
FW|OTRE|014F3DAF73C7A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
FW|RSRX|014F3DAF73C8A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
FW|SAPR|014F3DAF73C9A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
FW|SCHL|014F3DAF73CAA448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
FW|STFE|014F3DAF73CBA448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
FW|TFEX|014F3DAF73CCA448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
FW|TFIN|014F3DAF73CDA448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
FW|TRSF|014F3DAF73CEA448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
FW|TRVL|014F3DAF73CFA448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
HO|ASEX|014F3DAF73D0A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
HO|ASRE|014F3DAF73D1A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
HO|ASST|014F3DAF73D2A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
HO|CMPN|014F3DAF73D3A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
HO|CPTL|014F3DAF73D4A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
HO|FDBL|014F3DAF73D5A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
HO|GENX|014F3DAF73D6A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
HO|IDEX|014F3DAF73D7A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
HO|IDIN|014F3DAF73D8A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
HO|LIAB|014F3DAF73D9A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
HO|OTRE|014F3DAF73DAA448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
HO|RSRX|014F3DAF73DBA448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
HO|SAPR|014F3DAF73DCA448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
HO|SCHL|014F3DAF73DDA448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
HO|STFE|014F3DAF73DEA448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
HO|TFEX|014F3DAF73DFA448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
HO|TFIN|014F3DAF73E0A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
HO|TRSF|014F3DAF73E1A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
HO|TRVL|014F3DAF73E2A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
IA|ASEX|014F3DAF73E3A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
IA|ASRE|014F3DAF73E4A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
IA|ASST|014F3DAF73E5A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
IA|CMPN|014F3DAF73E6A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
IA|CPTL|014F3DAF73E7A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
IA|FDBL|014F3DAF73E8A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
IA|GENX|014F3DAF73E9A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
IA|IDEX|014F3DAF73EAA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
IA|IDIN|014F3DAF73EBA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
IA|LIAB|014F3DAF73ECA448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
IA|OTRE|014F3DAF73EDA448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
IA|RSRX|014F3DAF73EEA448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
IA|SAPR|014F3DAF73EFA448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
IA|SCHL|014F3DAF73F0A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
IA|STFE|014F3DAF73F1A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
IA|TFEX|014F3DAF73F2A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
IA|TFIN|014F3DAF73F3A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
IA|TRSF|014F3DAF73F4A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
IA|TRVL|014F3DAF73F5A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
IN|ASEX|014F3DAF73F6A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
IN|ASRE|014F3DAF73F7A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
IN|ASST|014F3DAF73F8A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
IN|CMPN|014F3DAF73F9A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
IN|CPTL|014F3DAF73FAA448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
IN|FDBL|014F3DAF73FBA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
IN|GENX|014F3DAF73FCA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
IN|IDEX|014F3DAF73FDA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
IN|IDIN|014F3DAF73FEA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
IN|LIAB|014F3DAF73FFA448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
IN|OTRE|014F3DAF7400A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
IN|RSRX|014F3DAF7401A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
IN|SAPR|014F3DAF7402A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
IN|SCHL|014F3DAF7403A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
IN|STFE|014F3DAF7404A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
IN|TFEX|014F3DAF7405A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
IN|TFIN|014F3DAF7406A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
IN|TRSF|014F3DAF7407A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
IN|TRVL|014F3DAF7408A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
IU|ASEX|014F3DAF7409A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
IU|ASRE|014F3DAF740AA448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
IU|ASST|014F3DAF740BA448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
IU|AUXE|014F3DAF747BA448E043814FD28EA448|1.0|AUXILIARY ENTERPRISES|AUX ENT|N|18|
IU|CMPN|014F3DAF740CA448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
IU|CPTL|014F3DAF740DA448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
IU|FDBL|014F3DAF740EA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
IU|GENX|014F3DAF740FA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
IU|IDEX|014F3DAF7410A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
