fin_coa_cd|org_cd|obj_id|ver_nbr|descrshort|company|setid_location|location|tax_location_cd|manager_unvl_id|manager_posn|budget_yr_end_dt|budget_lvl|gl_expense|eeo4_function|accident_ins|si_accident_num|hazard|estabid|riskcd|fte_edit_indc|dept_tenure_flg|tl_distrib_info|use_budgets|use_encumbrances|use_distribution|budget_deptid|dist_prorate_optn|hp_stats_dept_cd|hp_stats_faculty|accounting_owner|country_grp|iu_org_mail_drp_cd|iu_org_address_2|iu_org_address_3|iu_campus_cd|iu_campus_bldg|iu_campus_room|iu_posn_allow_fl|iu_tenure_allow_fl|iu_title_allow_fl|iu_occ_un_allow_fl|org_fscl_aprvr_uid|last_update_date|
BA|ASDR|11400DC3F385041EE043814FD881041E|1.0|BA-ASDR|IU||||||||||||||||||||||||||||||BL||||||||20030707000000|
BA|AUTM|11400DC3EE36041EE043814FD881041E|1.0|BA-AUTM|IU|IUBLA|BL|BL|2642509031||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-AUTM|||||||||BL|||Y|N|Y|Y|2642509031|20040811000000|
BA|BHDR|11400DC3F391041EE043814FD881041E|1.0|BA-BHDR|IU||||||||||||||||||||||||||||||BL||||||||20030918000000|
BA|BKST|11400DC3EE37041EE043814FD881041E|1.0|BA-BKST|IU|IUBLA|BL|BL|3246604444||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-BKST|||||||||BL|||Y|N|N|Y|6219307217|20050131000000|
BA|BRAD|11400DC3EE38041EE043814FD881041E|1.0|BA-BRAD|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-BRAD|||||||BRADFORD WOODS||BL|||Y|N|Y|Y|5009908085|20041202000000|
BA|BRFD|11400DC3F387041EE043814FD881041E|1.0|BA-BRFD|IU||||||||||||||||||||||||||||||BL||||||||20030707000000|
BA|BUSS|11400DC3F376041EE043814FD881041E|1.0|BA-BUSS|IU||||5598104606||||||||||||||||||||||||||BL|||Y|||Y|5598104606|20031009000000|
BA|CAGE|11400DC3F367041EE043814FD881041E|1.0|BA-CAGE|IU||||||||||||||||||||||||||||||BL||||||||20030320000000|
BA|CARD|11400DC3F3A5041EE043814FD881041E|1.0|BA-CARD|IU||||||||||||||||||||||||||||||BL||||||||20040106000000|
BA|CONF|11400DC3EE39041EE043814FD881041E|1.0|BA-CONF|IU|IUBLA|BL|BL|5384207659||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-CONF|||||||||BL|||Y|N|N|Y|1701107778|20040810000000|
BA|COPR|11400DC3F368041EE043814FD881041E|1.0|BA-COPR|IU||||||||||||||||||||||||||||||BL||||||||20030320000000|
BA|DDDR|11400DC3F3A1041EE043814FD881041E|1.0|BA-DDDR|IU||||||||||||||||||||||||||||||BL||||||||20031009000000|
BA|DSBL|11400DC3F39C041EE043814FD881041E|1.0|BA-DSBL|IU||||||||||||||||||||||||||||||BL||||||||20040401000000|
BA|HALL|11400DC3EE3A041EE043814FD881041E|1.0|BA-HALL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BA-HALL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BA|HTAC|11400DC3F369041EE043814FD881041E|1.0|BA-HTAC|IU||||||||||||||||||||||||||||||BL||||||||20030320000000|
BA|IAAC|11400DC3F36A041EE043814FD881041E|1.0|BA-IAAC|IU||||||||||||||||||||||||||||||BL||||||||20030320000000|
BA|IDS|11400DC3EE3B041EE043814FD881041E|1.0|BA-IDS|IU||||4322103093||||||||||||||||||||||||||BL|||Y||Y|Y|5927407565|20040820000000|
BA|IMAU|11400DC3EE3C041EE043814FD881041E|1.0|BA-IMAU|IU||||5949304259||||||||||||||||||||||||||BL|||Y|||Y|5949304259|20040811000000|
BA|IMBI|11400DC3F3B7041EE043814FD881041E|1.0|BA-IMBI|IU||||||||||||||||||||||||||||||BL||||||||20031208000000|
BA|IMUC|11400DC3EE3D041EE043814FD881041E|1.0|BA-IMUC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BA-IMUC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BA|IUHC|11400DC3EE3E041EE043814FD881041E|1.0|BA-IUHC|IU||||1506406723||||||||||||||||||||||||||BL|||Y|N|Y|Y|4179703037|20031014000000|
BA|IUPR|11400DC3EE3F041EE043814FD881041E|1.0|BA-IUPR|IU|IUBLA|BL|BL|2660204297||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-IUPR|||||||||BL|||Y|N|Y|Y|2660204297|20031023000000|
BA|JHDR|11400DC3F3BD041EE043814FD881041E|1.0|BA-JHDR|IU||||||||||||||||||||||||||||||BL||||||||20040202000000|
BA|LARS|11400DC3F3B8041EE043814FD881041E|1.0|BA-LARS|IU||||||||||||||||||||||||||||||BL||||||||20031208000000|
BA|MADR|11400DC3F3BF041EE043814FD881041E|1.0|BA-MADR|IU||||||||||||||||||||||||||||||BL||||||||20040129000000|
BA|MLDR|11400DC3F3CB041EE043814FD881041E|1.0|BA-MLDR|IU||||||||||||||||||||||||||||||BL||||||||20040325000000|
BA|MOTR|11400DC3F377041EE043814FD881041E|1.0|BA-MOTR|IU||||5240003343||||||||||||||||||||||||||BL|||Y|||Y|5240003343|20040819000000|
BA|MPAD|11400DC3F3CD041EE043814FD881041E|1.0|BA-MPAD|IU||||||||||||||||||||||||||||||BL||||||||20040401000000|
BA|MPDR|11400DC3F3CF041EE043814FD881041E|1.0|BA-MPDR|IU||||||||||||||||||||||||||||||BL||||||||20040401000000|
BA|MPLS|11400DC3F3D0041EE043814FD881041E|1.0|BA-MPLS|IU||||||||||||||||||||||||||||||BL||||||||20040401000000|
BA|MPOP|11400DC3F3CC041EE043814FD881041E|1.0|BA-MPOP|IU||||||||||||||||||||||||||||||BL||||||||20040325000000|
BA|MPSV|11400DC3F3CE041EE043814FD881041E|1.0|BA-MPSV|IU||||||||||||||||||||||||||||||BL||||||||20040401000000|
BA|PAAC|11400DC3F36B041EE043814FD881041E|1.0|BA-PAAC|IU||||||||||||||||||||||||||||||BL||||||||20030320000000|
BA|PARK|11400DC3EE40041EE043814FD881041E|1.0|BA-PARK|IU|IUBLA|BL|BL|3771403079||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-PARK|||||||||BL|||Y|N|N|Y|3771403079|20031009000000|
BA|ROAH|11400DC3F384041EE043814FD881041E|1.0|BA-ROAH|IU||||||||||||||||||||||||||||||BL||||||||20030707000000|
BA|RPAS|11400DC3EE41041EE043814FD881041E|1.0|BA-RPAS|IU|IUBLA|BL|BL|4215903770||630.0|D||15||||IU||N|N|N|Y|Y|N|BA-RPAS|||||||||BL|||Y|N|N|Y|5627305015|20050103000000|
BA|SMDR|11400DC3F3BC041EE043814FD881041E|1.0|BA-SMDR|IU||||||||||||||||||||||||||||||BL||||||||20040202000000|
BA|SPDR|11400DC3F3BE041EE043814FD881041E|1.0|BA-SPDR|IU||||||||||||||||||||||||||||||BL||||||||20040129000000|
BA|TEDR|11400DC3F386041EE043814FD881041E|1.0|BA-TEDR|IU||||||||||||||||||||||||||||||BL||||||||20030707000000|
BA|TEGE|11400DC3F399041EE043814FD881041E|1.0|BA-TEGE|IU||||||||||||||||||||||||||||||BL||||||||20040224000000|
