univ_fiscal_yr|fin_coa_cd|org_cd|obj_id|ver_nbr|bdgt_rvrsn_coa_cd|bdgt_rvrsnacct_nbr|cf_by_obj_cd_ind|csh_rvrsnfincoa_cd|csh_rvrsn_acct_nbr|row_actv_ind|
2009.0|BL|BUDG|E724D5AB-FE3E-8F23-6E4D-678F938E497A|2.0|BL|2321889|Y|BL|2331412|Y|
2009.0|BL|PSY|15385D62-9F29-770C-917E-04F7B67AE495|2.0|BL|1023295|Y|BL|1023295|Y|
2009.0|EA|AADV|9411FAEA-0866-1E5D-D2FF-1A8C7490415A|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|AAOA|CFD50A6F-A73A-D5BC-F70E-DD707579C80B|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ACAD|E711625F-DD2A-FE68-2173-06AF78E85767|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ACDS|858ECD2E-2C8F-30D5-D802-1F4ACB34DD07|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ADAF|3AC896B4-DB79-A382-B28E-D5569F77D467|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ADFA|3ACA8B08-4161-7A93-80B4-F9BEA2E5E71E|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ADMS|E3C5AAA6-66C4-3AAD-3D46-3C54EAE9D6CF|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BEST|7784AAA7-B0CE-ADBE-1065-02483BE76876|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BOOK|9E9B0CA8-64FE-12F9-9EC5-8925332E05ED|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BSSD|F6DF466F-E9ED-6272-B410-1603B07F2979|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BURS|BEAAFED0-54EC-2282-2F40-60D549517399|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BUSE|F5E8607C-AD3F-DC7B-60FC-69F2EB9CEE31|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|BUSM|BBAD53CD-6D73-C8D1-8ACC-485847AA5E54|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CACA|84189E85-5BFC-26CD-433E-D0822126EC6D|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CHAN|34C6936A-8F19-D456-4AD4-FEC60C40A48D|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CHP|F902D636-27AE-E188-9DDA-41FE4CE43E9B|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CONN|0C23AA2F-E98E-5FAA-ED02-1D25F1FD775C|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CPPS|EF6F56A3-52A4-2F7A-AD14-6BA659125C00|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CSER|EC4B41C8-0973-D773-AD89-5A0558F74572|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CSP|FE8EC6E3-5546-5E1A-C7EF-F6F1B56BCDDD|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|CTSD|20755E09-4B5D-026F-F0CD-969D8FA75DBB|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|DEBT|88D0A6BB-432D-DAFD-097E-C1EA4004DACA|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ECTR|60ACC2F6-F0CB-86FB-133D-906CFC38ECA0|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|EDUC|ACCB8546-BAD9-9D84-CA97-7F8D6C874B7B|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|ENSV|D140060F-10E5-8B7A-7B14-753C44385C29|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|EXAF|C4EE5938-B450-4A7F-466F-FD0C6E77F8AD|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|EXTL|5563912A-330E-C094-242B-BA6F2E210B1A|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|GENA|72A2C63A-2AFC-6B18-2240-E1FFDDD5351C|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|GENS|8E41D214-63D5-1778-B41B-DCC174813E15|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|HUFA|AEAFC175-2DA3-B276-1BFD-E9A989DEBDCC|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|HUMR|9EDD683A-286E-26E4-F0DE-32EB941106B1|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|HUSE|8EBFB7F9-E228-93AC-1EBF-2A96DC0BEC86|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|INPR|C2F7FDE0-837D-0FBC-C6D0-A5D4FA3EFBF2|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|LIBR|195CB54A-DC7C-62C3-6A52-770C8CD033F3|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|MULT|7D521AA7-ABAB-AF57-430D-DF086BFF2792|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|NURS|D121476C-72D1-B7A3-9F7A-A138E6507B71|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|PERC|F5B89C93-E99C-289C-154B-5D4714BD8A24|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|PERS|8B69F933-283B-D29E-3865-70E845ABA6C3|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|PHYP|A0E9E50B-1BB2-9A59-3191-2B6D62AC3801|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|REGR|11372E3B-EC63-B869-AA8C-8E6D32E2C2FA|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SACT|EF76A5C8-796C-E217-16CD-DDABC86C990A|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SAID|F8E5A342-FE7D-CD4C-BFD7-43FE0486E1BA|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SMD|0722A5A6-BFF6-E030-269C-54766B44E553|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SSER|AD38BD63-D50E-F0C3-ECC1-C2745B1D8922|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|STSC|5316ED8A-8DC1-80F8-48C9-A208215479A8|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SWTE|96D818CB-C5FD-D5AB-BE4A-19A03CEC089C|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|SYSC|5F56584F-7BCE-0226-936C-61C46A5074FF|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|TUSP|E50FB9E2-070D-7FA8-7801-F7341E6288C0|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|EA|UDIV|C3BAE3F5-A9B2-9F08-77D3-89C6F945BE6D|2.0|EA|0367295|Y|EA|0367295|Y|
2009.0|UA|FMS|6DA5A2C7-C5A2-C7BD-4C66-201B94F5240E|2.0|BL|4531415|N|BL|4531415|Y|
2010.0|BL|BUDG|B255533D-FACC-3036-D873-C847FAC1B893|2.0|BL|2321889|Y|BL|2331412|Y|
2010.0|BL|PSY|87664C4D-9E2C-FADF-FA1F-12EE7BB0F500|2.0|BL|1023295|Y|BL|1023295|Y|
