fin_coa_cd|org_cd|org_rtng_mdl_nm|obj_id|ver_nbr|row_actv_ind|
BA|IMU|LNEEDY|186AB5398CC8E0BCE043814FD881E0BC|1.0|Y|
BA|RPAS|6031000|186AB5398CC9E0BCE043814FD881E0BC|1.0|Y|
BL|BUS|BUS1|186AB5398CCAE0BCE043814FD881E0BC|1.0|Y|
BL|BUS|BUSINESS|186AB5398CCBE0BCE043814FD881E0BC|1.0|Y|
BL|CLAS|GLOB|186AB5398CCCE0BCE043814FD881E0BC|1.0|Y|
BL|CSCI|GLOBAL DEL|186AB5398CCDE0BCE043814FD881E0BC|1.0|Y|
BL|CSCI|GLOBAL-CG|186AB5398CCEE0BCE043814FD881E0BC|1.0|Y|
BL|EDUC|GLOBAL|186AB5398CCFE0BCE043814FD881E0BC|1.0|Y|
BL|EDUC|LANGED|186AB5398CD0E0BCE043814FD881E0BC|1.0|Y|
BL|EDUC|SIMM-MCGIL|186AB5398CD1E0BCE043814FD881E0BC|1.0|Y|
BL|GEOL|DELEGATE|186AB5398CD2E0BCE043814FD881E0BC|1.0|Y|
BL|GNDR|ASC DELEGA|186AB5398CD3E0BCE043814FD881E0BC|1.0|Y|
BL|GNDR|NEW ASC|186AB5398CD4E0BCE043814FD881E0BC|1.0|Y|
BL|HPER|RECS|186AB5398CD5E0BCE043814FD881E0BC|1.0|Y|
BL|INFO|CSOBRIEN|186AB5398CD6E0BCE043814FD881E0BC|1.0|Y|
BL|INFO|CSOBRIEN2|186AB5398CD7E0BCE043814FD881E0BC|1.0|Y|
BL|ISDD|IIDC|186AB5398CD8E0BCE043814FD881E0BC|1.0|Y|
BL|IUCF|HE WORKMAN|186AB5398CD9E0BCE043814FD881E0BC|1.0|Y|
BL|LIBR|#1 DEL|186AB5398CDAE0BCE043814FD881E0BC|1.0|Y|
BL|LIBR|MAY 2004|186AB5398CDBE0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|JENNY|186AB5398CDCE0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|LI0991700|186AB5398CDDE0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYS/JT|186AB5398CDEE0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYS062003|186AB5398CDFE0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYS072003|186AB5398CE0E0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYSCHRIS|186AB5398CE1E0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYSHOWARD|186AB5398CE2E0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYSICS|186AB5398CE3E0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|PHYSREGACT|186AB5398CE4E0BCE043814FD881E0BC|1.0|Y|
BL|PHYS|YANA|186AB5398CE5E0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|AIND|186AB5398CE6E0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|CSC|186AB5398CE7E0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|EASC|186AB5398CE8E0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|GRAD-RPKB|186AB5398CE9E0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|OVPR-1|186AB5398CEAE0BCE043814FD881E0BC|1.0|Y|
BL|RUGS|OVPR-VPIT|186AB5398CEBE0BCE043814FD881E0BC|1.0|Y|
BL|SPEA|BOBBY|186AB5398CECE0BCE043814FD881E0BC|1.0|Y|
BL|SPEA|MARIETTA|186AB5398CEDE0BCE043814FD881E0BC|1.0|Y|
BL|SPEA|PENNY|186AB5398CEEE0BCE043814FD881E0BC|1.0|Y|
IN|ACCT|INFO|186AB5398CEFE0BCE043814FD881E0BC|1.0|Y|
IN|ACCT|MDIBBLE|186AB5398CF0E0BCE043814FD881E0BC|1.0|Y|
IN|ACCT|RHEUHERRAN|186AB5398CF1E0BCE043814FD881E0BC|1.0|Y|
IN|ACCT|UMDA GERKE|186AB5398CF2E0BCE043814FD881E0BC|1.0|Y|
IN|BIOM|DEPT|186AB5398CF3E0BCE043814FD881E0BC|1.0|Y|
IN|BUDG|ACCT|186AB5398CF4E0BCE043814FD881E0BC|1.0|Y|
IN|BUDG|VACATION|186AB5398CF5E0BCE043814FD881E0BC|1.0|Y|
IN|DENT|DELEGATES|186AB5398CF6E0BCE043814FD881E0BC|1.0|Y|
IN|ENGT|ETDEL|186AB5398CF7E0BCE043814FD881E0BC|1.0|Y|
IN|ENGT|ETDEL2003|186AB5398CF8E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|BIOSHERRAN|186AB5398CF9E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|BIOSNOE|186AB5398CFAE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|CARD KARI|186AB5398CFBE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|CARDHERRAN|186AB5398CFCE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|CARDLUCKEY|186AB5398CFDE0BCE043814FD881E0BC|1.0|Y|
