org_rvrsn_ctgry_cd|obj_id|ver_nbr|org_rvrsn_ctgry_nm|org_rvrsn_sort_cd|org_rvrsn_ctgry_actv_ind|
C01|14B9E421E893A05CE043814FD881A05C|1.0|Org Wages|01|Y|
C02|14B9E421E894A05CE043814FD881A05C|1.0|Salary/Fringes|02|Y|
C03|14B9E421E895A05CE043814FD881A05C|1.0|Financial Aid|03|Y|
C04|14B9E421E896A05CE043814FD881A05C|1.0|Capital Equip|04|Y|
C05|14B9E421E897A05CE043814FD881A05C|1.0|Reserve|05|Y|
C06|14B9E421E898A05CE043814FD881A05C|1.0|Transfer Out|06|Y|
C07|14B9E421E899A05CE043814FD881A05C|1.0|Transfer In|07|Y|
C08|14B9E421E89AA05CE043814FD881A05C|1.0|Travel|08|Y|
C09|14B9E421E89BA05CE043814FD881A05C|1.0|Other Expense|09|Y|
C10|14B9E421E89CA05CE043814FD881A05C|1.0|Assess Expend|10|Y|
C11|14B9E421E89DA05CE043814FD881A05C|1.0|Revenue|11|Y|
