rc_cd|obj_id|ver_nbr|rc_nm|rc_shrt_nm|rc_active_cd|
01|014A17B043939D5EE043814FD8819D5E|1.0|BALANCE SHEET|BALANCE SHT|Y|
02|014A17B043949D5EE043814FD8819D5E|1.0|INSTRUCTIONAL PROGRAMS|INSTRUCT PRG|Y|
04|014A17B043959D5EE043814FD8819D5E|1.0|ARTS & SCIENCES|A&S|Y|
06|014A17B043969D5EE043814FD8819D5E|1.0|ARTS AND LETTERS|ARTS&LETTERS|Y|
08|014A17B043979D5EE043814FD8819D5E|1.0|HEALTH & REHABILITATION SCIENCES|HLTH & REHAB|Y|
10|014A17B043989D5EE043814FD8819D5E|1.0|MEDICINE & HEALTH SCIENCES|MEDICINE|Y|
12|014A17B043999D5EE043814FD8819D5E|1.0|NURSING|NURSING|Y|
14|014A17B0439A9D5EE043814FD8819D5E|1.0|DENTISTRY|DENTISTRY|Y|
16|014A17B0439B9D5EE043814FD8819D5E|1.0|DENTAL EDUCATION|DENTAL EDUC|Y|
18|014A17B0439C9D5EE043814FD8819D5E|1.0|LIBERAL ARTS|LIBERAL ARTS|Y|
20|014A17B0439D9D5EE043814FD8819D5E|1.0|SCIENCE|SCIENCE|Y|
22|014A17B0439E9D5EE043814FD8819D5E|1.0|NATURAL SCIENCES|NATURAL SCI|Y|
23|014A17B0439F9D5EE043814FD8819D5E|1.0|SOCIAL SCIENCES|SOCIAL SCI|Y|
24|014A17B043A09D5EE043814FD8819D5E|1.0|BUSINESS|BUSINESS|Y|
26|014A17B043A19D5EE043814FD8819D5E|1.0|EDUCATION|EDUCATION|Y|
28|014A17B043A29D5EE043814FD8819D5E|1.0|HEALTH, PHYSICAL EDUCATION & RECREATION|HPER|Y|
30|014A17B043A39D5EE043814FD8819D5E|1.0|HERRON SCHOOL OF ART AND DESIGN|HERRON|Y|
32|014A17B043A49D5EE043814FD8819D5E|1.0|LAW|LAW|Y|
34|014A17B043A59D5EE043814FD8819D5E|1.0|ENGINEERING & TECHNOLOGY|E&T|Y|
36|014A17B043A69D5EE043814FD8819D5E|1.0|PUBLIC & ENVIRONMENTAL AFFAIRS|SPEA|Y|
38|014A17B043A79D5EE043814FD8819D5E|1.0|SOCIAL WORK|SOCIAL WORK|Y|
40|014A17B043A89D5EE043814FD8819D5E|1.0|LIBRARY & INFORMATION SCIENCE|SLIS|Y|
42|014A17B043A99D5EE043814FD8819D5E|1.0|MUSIC|MUSIC|Y|
43|014A17B043AA9D5EE043814FD8819D5E|1.0|ARTS|ARTS|Y|
44|014A17B043AB9D5EE043814FD8819D5E|1.0|OPTOMETRY|OPTOMETRY|Y|
45|014A17B043D49D5EE043814FD8819D5E|1.0|INFORMATICS|INFORMATICS|Y|
46|014A17B043AC9D5EE043814FD8819D5E|1.0|IUPU COLUMBUS|COLUMBUS|Y|
48|014A17B043AD9D5EE043814FD8819D5E|1.0|DISTRIBUTED EDUCATION|DISTR EDUC|Y|
49|014A17B043AE9D5EE043814FD8819D5E|1.0|UNIVERSITY COLLEGE|UNIV COLLEGE|Y|
50|014A17B043AF9D5EE043814FD8819D5E|1.0|JOURNALISM|JOURNALISM|Y|
51|014A17B043B09D5EE043814FD8819D5E|1.0|RADIOGRAPHY|RADIOGRAPHY|Y|
52|014A17B043B19D5EE043814FD8819D5E|1.0|OTHER ACADEMIC PROGRAMS|OTHER ACAD|Y|
56|014A17B043B29D5EE043814FD8819D5E|1.0|STATEWIDE TECHNOLOGY|STATEWIDE|Y|
58|014A17B043B39D5EE043814FD8819D5E|1.0|ACADEMIC SUPPORT|ACADEMIC|Y|
60|014A17B043B49D5EE043814FD8819D5E|1.0|DEAN OF FACULTIES|DEAN OF FAC|Y|
64|014A17B043B59D5EE043814FD8819D5E|1.0|VICE PRESIDENT FOR RESEARCH|VP RESEARCH|Y|
65|014A17B043B69D5EE043814FD8819D5E|1.0|INTEGRATED TECHNOLOGIES|INTEGR TECH|Y|
66|014A17B043B79D5EE043814FD8819D5E|1.0|COMPUTER SERVICES|COMP SERV|Y|
67|014A17B043B89D5EE043814FD8819D5E|1.0|TECHNOLOGY SUPPORT|TECH SUPPORT|Y|
68|014A17B043B99D5EE043814FD8819D5E|1.0|LIBRARY|LIBRARY|Y|
70|014A17B043BA9D5EE043814FD8819D5E|1.0|STUDENT SERVICES|STUDENT SERV|Y|
73|014A17B043BB9D5EE043814FD8819D5E|1.0|UNDERGRADUATE EDUCATION|UNDERGRAD ED|Y|
74|014A17B043BC9D5EE043814FD8819D5E|1.0|EXECUTIVE MANAGEMENT|EXEC MGT|Y|
75|014A17B043BD9D5EE043814FD8819D5E|1.0|EXECUTIVE MANAGEMENT/ACADEMIC SUPPORT|EXEC MGT/AS|Y|
76|014A17B043BE9D5EE043814FD8819D5E|1.0|GENERAL ADMINISTRATION|GEN ADMIN|Y|
77|014A17B043BF9D5EE043814FD8819D5E|1.0|INCOME|INCOME|Y|
78|014A17B043C09D5EE043814FD8819D5E|1.0|ADMINISTRATIVE AFFAIRS|ADMIN AFF|Y|
79|014A17B043C19D5EE043814FD8819D5E|1.0|EXTERNAL AFFAIRS|EXTERNAL AFF|Y|
80|014A17B043C29D5EE043814FD8819D5E|1.0|BUDGET & FISCAL AFFAIRS|BUDGET|Y|
81|014A17B043C39D5EE043814FD8819D5E|1.0|BUDGET/STUDENT SUPPORT|BUDGET/STU|Y|
82|014A17B043C49D5EE043814FD8819D5E|1.0|PHYSICAL PLANT|PHYS PLANT|Y|
