sub_fund_grp_cd|obj_id|ver_nbr|fund_grp_cd|sub_fund_grp_desc|subfundgrp_actv_cd|sub_fundgrp_typ_cd|fin_report_sort_cd|sub_fund_grp_wage_ind|fnd_grp_ba_rstr_lvl_cd|acct_rstrc_stat_cd|
AUXAMB|015D880780746C10E043814FD8816C10|1.0|AE|AUXILIARY AMBULATORY SERVICES|Y|A|21|Y|N||
AUXCOM|015D880780756C10E043814FD8816C10|1.0|AE|AUXILIARY COMPUTER SERVICES|Y|I|23|Y|N||
AUXENT|015D880780766C10E043814FD8816C10|1.0|AE|AUXILIARY ENTERPRISES|Y|A|20|Y|N||
AUXHOS|015D880780776C10E043814FD8816C10|1.0|AE|AUXILIARY HOSPITALS|Y|A|22|Y|N||
AUXSER|015D880780786C10E043814FD8816C10|1.0|AE|AUXILIARY SERVICE FUNDS|Y|I|24|Y|N||
CLEAR|015D880780796C10E043814FD8816C10|1.0|CL|CLEARING AND ROTATING FUNDS|Y|N|25|N|N||
COMMEA|015D8807807A6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEB|015D8807807B6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEC|015D8807807C6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMED|015D8807807D6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEE|015D8807807E6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEF|015D8807807F6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEG|015D880780806C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEH|015D880780816C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEJ|015D880780826C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEK|015D880780836C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEM|015D880780846C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEN|015D880780856C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEP|015D880780866C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEQ|015D880780876C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMER|015D880780886C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMEX|015D880780896C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|N|N|15|Y|N||
COMMXA|015D8807808A6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXB|015D8807808B6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXC|015D8807808C6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXD|015D8807808D6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXE|015D8807808E6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXF|015D8807808F6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXG|015D880780906C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXH|015D880780916C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXJ|015D880780926C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXK|015D880780936C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXM|015D880780946C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXN|015D880780956C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXP|015D880780966C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXQ|015D880780976C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
COMMXR|015D880780986C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
DCEDU|015D880780996C10E043814FD8816C10|1.0|DS|CONTINUING EDUCATION|Y|N|03|Y|N||
DFRES|015D8807809A6C10E043814FD8816C10|1.0|DS|FACULTY RESEARCH|Y|N|05|Y|N||
DOFDS|015D8807809B6C10E043814FD8816C10|1.0|DS|DESIGNATED OTHER FUNDS|Y|N|06|Y|N||
DPSA|015D8807809C6C10E043814FD8816C10|1.0|DS|PUBLIC SERVICE ACTIVITY|Y|N|04|Y|N||
DSCFE|015D8807809D6C10E043814FD8816C10|1.0|DS|SCHOLARSHIP & FELLOWSHIPS - UNRESTRICTED|Y|N|07|Y|N||
ENDOW|015D8807809E6C10E043814FD8816C10|1.0|EN|ENDOWMENTS|Y|N|27|N|N||
EXTAGY|015D8807809F6C10E043814FD8816C10|1.0|AF|EXTERNAL AGENCY FUNDS|Y|N|38|Y|N||
FEDERA|015D880780A06C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERB|015D880780A16C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERC|015D880780A26C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERD|015D880780A36C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERE|015D880780A46C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERF|015D880780A56C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERG|015D880780A66C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERH|015D880780A76C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERJ|015D880780A86C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERK|015D880780A96C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERM|015D880780AA6C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERN|015D880780AB6C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERP|015D880780AC6C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERQ|015D880780AD6C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERR|015D880780AE6C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FEDERX|015D880780AF6C10E043814FD8816C10|1.0|CG|FEDERAL|N|N|14|Y|N||
FEMP|015D880780B06C10E043814FD8816C10|1.0|RF|ENDOWMENT MATCH PROGRAMS|Y|N|11|Y|N||
FFEND|015D880780B16C10E043814FD8816C10|1.0|EN|FUNDS FUNCTIONING AS ENDOWMENTS|Y|N|28|N|N||
FOUNDA|015D880780B26C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDB|015D880780B36C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDC|015D880780B46C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDD|015D880780B56C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDE|015D880780B66C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDF|015D880780B76C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDG|015D880780B86C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDH|015D880780B96C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDJ|015D880780BA6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDK|015D880780BB6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDM|015D880780BC6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDN|015D880780BD6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDP|015D880780BE6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDQ|015D880780BF6C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDR|015D880780C06C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
FOUNDX|015D880780C16C10E043814FD8816C10|1.0|CG|FOUNDATIONS|N|N|17|Y|N||
GENFND|015D880780C26C10E043814FD8816C10|1.0|GF|GENERAL FUNDS|Y|N|01|Y|N||
HIEDUA|015D880780C36C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUB|015D880780C46C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUC|015D880780C56C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
