fin_ubo_func_cd|obj_id|ver_nbr|fin_ubo_func_nm|row_actv_ind|
AA|0DF11C6DE70138F2E043814FD88138F2|1.0|ACADEMIC ADMINISTRATION|Y|
AC|0DF11C6DE70238F2E043814FD88138F2|1.0|ACADEMIC COMPUTING|Y|
AD|0DF11C6DE70338F2E043814FD88138F2|1.0|ACADEMIC DEVELOPMENT|Y|
AUX|0DF11C6DE70438F2E043814FD88138F2|1.0|AUXILIARY & SERVICES|Y|
AVS|0DF11C6DE70538F2E043814FD88138F2|1.0|AUDIO VISUAL SERVICES|Y|
CS|0DF11C6DE70638F2E043814FD88138F2|1.0|COMMUNITY SERVICES|Y|
IN|0DF11C6DE70738F2E043814FD88138F2|1.0|INSTRUCTION|Y|
IPR|0DF11C6DE70838F2E043814FD88138F2|1.0|INDIVIDUAL OR PROJECT RESEARCH|Y|
IRC|0DF11C6DE70938F2E043814FD88138F2|1.0|INSTITUTES AND RESEARCH CENTERS|Y|
IS|0DF11C6DE70A38F2E043814FD88138F2|1.0|INSTITUTIONAL SUPPORT|Y|
LIB|0DF11C6DE70B38F2E043814FD88138F2|1.0|LIBRARIES|Y|
M&G|0DF11C6DE70C38F2E043814FD88138F2|1.0|MUSEUMS AND GALLERIES|Y|
NA|0DF11C6DE70D38F2E043814FD88138F2|1.0|NOT APPLICABLE TO ACCOUNT|Y|
PBS|0DF11C6DE70E38F2E043814FD88138F2|1.0|PUBLIC BROADCASTING SERVICES|Y|
PP|0DF11C6DE70F38F2E043814FD88138F2|1.0|PHYSICAL PLANT|Y|
PRD|0DF11C6DE71038F2E043814FD88138F2|1.0|PUBLIC RELATIONS AND DEVELOPMENT|Y|
PS|0DF11C6DE71138F2E043814FD88138F2|1.0|PATIENT SERVICES|Y|
S&F|0DF11C6DE71238F2E043814FD88138F2|1.0|SCHOLARSHIPS & FELLOWSHIPS|Y|
SCD|0DF11C6DE71338F2E043814FD88138F2|1.0|SOCIAL AND CULTURAL DEVELOPMENT|Y|
SPA|0DF11C6DE71438F2E043814FD88138F2|1.0|SPONSORED PROGRAM AD.|Y|
SRA|0DF11C6DE71538F2E043814FD88138F2|1.0|STUDENT RECRUITMENT ADMISSIONS & RECORDS|Y|
SS|0DF11C6DE71638F2E043814FD88138F2|1.0|STUDENT SERVICES|Y|
