cg_agency_nbr|obj_id|ver_nbr|cg_agency_rpt_nm|cg_agency_full_nm|cg_agncy_indr_amt|cg_agency_hist_ind|cg_agncy_in_st_ind|cg_agency_typ_cd|cg_rptto_agncy_nbr|cage_nbr|dodac_nbr|duns_nbr|duns_plus_four_nbr|cust_nbr|cust_typ_cd|cust_crtn_optn_cd|cmpgn_id|state_agency_ind|
11500|0292B100447EBBDEE043814FD881BBDE|1.0|US DEPT OF DEFENSE|U.S. DEPARTMENT OF DEFENSE|0.0|N|N|F||||||||||N|
11505|0292B100447FBBDEE043814FD881BBDE|1.0|US AIR FORCE|U.S. AIR FORCE|0.0|N|N|F|11500|||||||||N|
11510|0292B1004480BBDEE043814FD881BBDE|1.0|UNITED STATES ARMY|U.S. ARMY|0.0|N|N|F|11500|||||||||N|
11555|0292B1004481BBDEE043814FD881BBDE|1.0|US NAVY|U.S. NAVY|0.0|N|N|F|11500|||||||||N|
12010|0292B1004482BBDEE043814FD881BBDE|1.0|US DHHS|U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES|0.0|N|N|F||||||||||N|
12100|0292B1004483BBDEE043814FD881BBDE|1.0|US OFFICE OF EDUC|U.S. OFFICE OF EDUCATION|0.0|Y|N|F||||||||||N|
12110|0292B1004484BBDEE043814FD881BBDE|1.0|US DEPT OF EDUCATION|U.S. DEPARTMENT OF EDUCATION|0.0|N|N|F||||||||||N|
12500|0292B1004485BBDEE043814FD881BBDE|1.0|NIH|NATIONAL INSTITUTES OF HEALTH|0.0|N|N|F|12010|||||||||N|
12550|0292B1004486BBDEE043814FD881BBDE|1.0|NIH CONTRACT|NATIONAL INSTITUTES OF HEALTH CONTRACT|0.0|Y|N|F|12500|||||||||N|
12601|0292B1004487BBDEE043814FD881BBDE|1.0|NIH-NIA|NATIONAL INSTITUTE ON AGING|0.0|N|N|F|12500|||||||||N|
12602|0292B1004488BBDEE043814FD881BBDE|1.0|NATL INST ALLIED HLTH|NATIONAL INSTITUTE OF ALLIED HEALTH|0.0|Y|N|F|12500|||||||||N|
12610|0292B1004489BBDEE043814FD881BBDE|1.0|NIH-NCI|NATIONAL CANCER INSTITUTE|0.0|N|N|F|12500|||||||||N|
12615|0292B100448ABBDEE043814FD881BBDE|1.0|NIH-NIDCD|NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMM. DIS|0.0|N|N|F|12500|||||||||N|
12624|0292B100448BBBDEE043814FD881BBDE|1.0|NIH-NEI|NATIONAL EYE INSTITUTE|0.0|N|N|F|12500|||||||||N|
