cg_cfda_nbr|obj_id|ver_nbr|cg_cfda_pgm_ttl_nm|cg_cfda_maint_typ_id|row_actv_ind|
10.|237D10FAAB18C0B0E043814FD881C0B0|1.0||MANUAL|Y|
10.001|237D10FAA50AC0B0E043814FD881C0B0|1.0|Agricultural Research_Basic and Applied Research|AUTOMATIC|Y|
10.025|237D10FAA50BC0B0E043814FD881C0B0|1.0|Plant and Animal Disease, Pest Control, and Animal Care|AUTOMATIC|Y|
10.028|237D10FAA50CC0B0E043814FD881C0B0|1.0|Wildlife Services|AUTOMATIC|Y|
10.029|237D10FAA50DC0B0E043814FD881C0B0|1.0|Avian Influenza Indemnity Program|AUTOMATIC|Y|
10.051|237D10FAA50EC0B0E043814FD881C0B0|1.0|Commodity Loans and Loan Deficiency Payments|AUTOMATIC|Y|
10.053|237D10FAA50FC0B0E043814FD881C0B0|1.0|Dairy Indemnity Program|AUTOMATIC|Y|
10.054|237D10FAA510C0B0E043814FD881C0B0|1.0|Emergency Conservation Program|AUTOMATIC|Y|
10.055|237D10FAA511C0B0E043814FD881C0B0|1.0|Production Flexibility Payments for Contract Commodities|AUTOMATIC|Y|
10.056|237D10FAA512C0B0E043814FD881C0B0|1.0|Farm Storage Facility Loans|AUTOMATIC|Y|
10.062|237D10FAA513C0B0E043814FD881C0B0|1.0|Water Bank Program|AUTOMATIC|Y|
10.064|237D10FAA514C0B0E043814FD881C0B0|1.0|Forestry Incentives Program|AUTOMATIC|Y|
10.066|237D10FAA515C0B0E043814FD881C0B0|1.0|Livestock Assistance Program|AUTOMATIC|Y|
10.069|237D10FAA516C0B0E043814FD881C0B0|1.0|Conservation Reserve Program|AUTOMATIC|Y|
10.070|237D10FAA517C0B0E043814FD881C0B0|1.0|Colorado River Basin Salinity Control Program|AUTOMATIC|Y|
10.072|237D10FAA518C0B0E043814FD881C0B0|1.0|Wetlands Reserve Program|AUTOMATIC|Y|
10.073|237D10FAA519C0B0E043814FD881C0B0|1.0|Crop Disaster Program|AUTOMATIC|Y|
