cg_grant_desc_cd|obj_id|ver_nbr|cg_grant_desc|cg_grnt_desc_actv_cd|
C|12D4ED215A27EF34E043814FD881EF34|1.0|Federal Contract|A|
CFP|12D4ED215A28EF34E043814FD881EF34|1.0|Fed Fixed Price Contract|I|
CIP|12D4ED215A29EF34E043814FD881EF34|1.0|Fed IPA Agree Contract|I|
CR|12D4ED215A2AEF34E043814FD881EF34|1.0|Govt Cost Reimbursable|I|
CS|12D4ED215A2BEF34E043814FD881EF34|1.0|Fed Cost Share Contract|I|
G|12D4ED215A2CEF34E043814FD881EF34|1.0|Federal Grant|A|
GC|12D4ED215A2DEF34E043814FD881EF34|1.0|Fed Challenge Grant|I|
GFP|12D4ED215A2EEF34E043814FD881EF34|1.0|Fed Fixed Price Grant|I|
GIP|12D4ED215A2FEF34E043814FD881EF34|1.0|Fed IPA Agree Grant|I|
GR|12D4ED215A30EF34E043814FD881EF34|1.0|Fed Cost Reimb Grant|I|
GS|12D4ED215A31EF34E043814FD881EF34|1.0|Fed Cost Share Grant|I|
N|12D4ED215A32EF34E043814FD881EF34|1.0|Non Federal Grant|A|
NFP|12D4ED215A33EF34E043814FD881EF34|1.0|Non Fed Fixed Price Grant|I|
NPT|12D4ED215A34EF34E043814FD881EF34|1.0|Non Fed Fed-Pass-T Grant|A|
NR|12D4ED215A35EF34E043814FD881EF34|1.0|Non Fed Cost Reimb Grant|I|
NS|12D4ED215A36EF34E043814FD881EF34|1.0|Non Fed Cost Share Grant|I|
O|12D4ED215A37EF34E043814FD881EF34|1.0|Non Federal Contract|A|
OFP|12D4ED215A38EF34E043814FD881EF34|1.0|Non Fed Fixed Price Contr|I|
OPT|12D4ED215A39EF34E043814FD881EF34|1.0|Non Fed Fed-Pass-T Contr|A|
OR|12D4ED215A3AEF34E043814FD881EF34|1.0|Non Fed Cost Reimb Contr|I|
OS|12D4ED215A3BEF34E043814FD881EF34|1.0|Non Fed Cost Share Contr|I|
U|12D4ED215A3CEF34E043814FD881EF34|1.0|University Internal|A|
