cg_ltrcr_fndgrp_cd|obj_id|ver_nbr|ltrcr_fndgrp_desc|row_actv_ind|
CNCS|12D4ED2159FBEF34E043814FD881EF34|1.0|Corp. for Nat'l & Comm. Serv.|Y|
DHHS|12D4ED2159FCEF34E043814FD881EF34|1.0|United States Department of Health & Hum|Y|
DOC|12D4ED2159FDEF34E043814FD881EF34|1.0|United States Department of Commerce|Y|
DOEC|12D4ED2159FEEF34E043814FD881EF34|1.0|United States Department of Energy - Chi|Y|
DOEO|12D4ED2159FFEF34E043814FD881EF34|1.0|United States Department of Energy - Oak|Y|
DOJ|12D4ED215A00EF34E043814FD881EF34|1.0|United States Department of Justice|Y|
EPA|12D4ED215A01EF34E043814FD881EF34|1.0|United States Environmental Protection A|Y|
GSFC|12D4ED215A02EF34E043814FD881EF34|1.0|Goddard Space Flight Center|Y|
HRL|12D4ED215A24EF34E043814FD881EF34|1.0|Human Rights and Labor|Y|
HUD|12D4ED215A03EF34E043814FD881EF34|1.0|Housing and Urban Development|Y|
JSC|12D4ED215A04EF34E043814FD881EF34|1.0|Johnson Space Center|Y|
KFG2|1ca4356a-91f6-43f4-8f1a-db88d6798573|2.0|Kuali LOC Fund Group 2|Y|
KLFG|3a020c60-20d4-4662-8969-3d480ee917d4|1.0|Kuali LOC Fund Group|Y|
NASA|12D4ED215A05EF34E043814FD881EF34|1.0|National Aeronautics and Space Administr|Y|
NEH|12D4ED215A06EF34E043814FD881EF34|1.0|National Endowment for the Humanities|Y|
NOAA|12D4ED215A1DEF34E043814FD881EF34|1.0|National Oceanic & Atmospheric Admin.|Y|
NSF|12D4ED215A07EF34E043814FD881EF34|1.0|National Science Foundation|Y|
UAID|12D4ED215A08EF34E043814FD881EF34|1.0|United States Agency for Intntl Develop.|Y|
USDA|12D4ED215A09EF34E043814FD881EF34|1.0|United States Department of Agriculture|Y|
USDE|12D4ED215A0AEF34E043814FD881EF34|1.0|United States Department of Education|Y|
USDL|12D4ED215A20EF34E043814FD881EF34|1.0|U.S. Department of Labor|Y|
USFS|12D4ED215A0BEF34E043814FD881EF34|1.0|USDA Forest Service|Y|
USGS|12D4ED215A1CEF34E043814FD881EF34|1.0|United States Geological Survey|Y|
USIA|12D4ED215A0CEF34E043814FD881EF34|1.0|United States Department of State|Y|
XDEC|12D4ED215A0DEF34E043814FD881EF34|1.0|Exp U.S. Department of Energy-Chicago|Y|
XDEO|12D4ED215A0EEF34E043814FD881EF34|1.0|Exp U.S. Department of Energy-Oakridge|Y|
XDOC|12D4ED215A0FEF34E043814FD881EF34|1.0|Exp United Stated Department of Commerce|Y|
XDOJ|12D4ED215A10EF34E043814FD881EF34|1.0|Exp U.S. Department of Justice|Y|
XEPA|12D4ED215A11EF34E043814FD881EF34|1.0|Exp U.S. Environ. Protection Agency|Y|
XGSF|12D4ED215A1BEF34E043814FD881EF34|1.0|Exp Goddard Space Flight Center|Y|
XHHS|12D4ED215A12EF34E043814FD881EF34|1.0|Exp United States Dept of Health & Human|Y|
XHRL|12D4ED215A25EF34E043814FD881EF34|1.0|Expired Human Rights and Labor|Y|
XHUD|12D4ED215A1FEF34E043814FD881EF34|1.0|Exp Housing and Urban Development|Y|
XNAS|12D4ED215A13EF34E043814FD881EF34|1.0|Exp Natl. Aeronautics and Space Admin.|Y|
XNEH|12D4ED215A14EF34E043814FD881EF34|1.0|Exp Nat'l Endowment for the Humanities|Y|
XNOA|12D4ED215A1EEF34E043814FD881EF34|1.0|Exp National Oceanic & Atmospheric Admin|Y|
XNSF|12D4ED215A15EF34E043814FD881EF34|1.0|Exp National Science Foundation|Y|
XUAG|12D4ED215A22EF34E043814FD881EF34|1.0|Exp U.S. Dept of Agriculture|Y|
XUAI|12D4ED215A16EF34E043814FD881EF34|1.0|Exp U.S. Agency for Intntl Dev|Y|
XUSD|12D4ED215A17EF34E043814FD881EF34|1.0|Exp U.S. Dept of Agriculture|Y|
XUSE|12D4ED215A18EF34E043814FD881EF34|1.0|Exp United States Department of Educ|Y|
XUSG|12D4ED215A1AEF34E043814FD881EF34|1.0|Exp U.S. Geological Survey|Y|
XUSI|12D4ED215A19EF34E043814FD881EF34|1.0|Exp U.S. Department of State|Y|
XUSL|12D4ED215A21EF34E043814FD881EF34|1.0|Expired U.S. Department of Labor|Y|
XUSS|12D4ED215A23EF34E043814FD881EF34|1.0|Exp U.S. Department of State|Y|
