fin_coa_cd|org_cd|cgprpsl_nbr|obj_id|ver_nbr|cgprpsl_prmorg_ind|row_actv_ind|
BL|ARSD|80066.0|59bb0c94-1bf2-4e67-991a-4b702599e19a|13.0|Y|Y|
BL|ARSD|80072.0|ae0ea223-3f8f-4846-ae6a-7587cc86ce29|7.0|Y|Y|
BL|ARSD|80081.0|a6ceee2a-07e9-4306-810d-75b9a021a5f9|26.0|Y|Y|
BL|ARSD|80086.0|3cd4c61b-6833-45c1-a908-067ffb494f2b|1.0|Y|Y|
BL|BI|53673.0|12BF1921032A9D6CE043814FD8819D6C|1.0|N|Y|
BL|BI|72453.0|12BF192109249D6CE043814FD8819D6C|1.0|Y|Y|
BL|CHEM|8063.0|12BF1921032B9D6CE043814FD8819D6C|1.0|Y|Y|
BL|CHEM|80067.0|b68aab1c-ca32-4b8e-af72-1a63e210707d|9.0|Y|Y|
BL|CHEM|80073.0|da9c29f4-e730-46db-a0bf-eea7dc9f2e9e|10.0|Y|Y|
BL|CHEM|80082.0|0af93240-def8-4241-a503-86cad6fbef26|20.0|Y|Y|
BL|EDUC|2283.0|12BF1921032C9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PL|51208.0|12BF1921032D9D6CE043814FD8819D6C|1.0|N|Y|
BL|PSY|11.0|12BF1921032E9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|37.0|12BF1921032F9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|50.0|12BF192103309D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|67.0|12BF192103319D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|73.0|12BF192103329D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|92.0|12BF192103339D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|264.0|12BF192103349D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|271.0|12BF192103359D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|332.0|12BF192103369D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|378.0|12BF192103379D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|458.0|12BF192103389D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|468.0|12BF192103399D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|510.0|12BF1921033A9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|550.0|12BF1921033B9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|569.0|12BF1921033C9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|591.0|12BF1921033D9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|607.0|12BF1921033E9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|667.0|12BF1921033F9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|702.0|12BF192103409D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|817.0|12BF192103419D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|822.0|12BF192103429D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|914.0|12BF192103439D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|927.0|12BF192103449D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|941.0|12BF192103459D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|980.0|12BF192103469D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|985.0|12BF192103479D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1043.0|12BF192103489D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1046.0|12BF192103499D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1072.0|12BF1921034A9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1134.0|12BF1921034B9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1140.0|12BF1921034C9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1172.0|12BF1921034D9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1247.0|12BF1921034E9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1277.0|12BF1921034F9D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1290.0|12BF192103509D6CE043814FD8819D6C|1.0|Y|Y|
BL|PSY|1326.0|12BF192103519D6CE043814FD8819D6C|1.0|Y|Y|
