cgprpsl_subcn_nbr|cgprpsl_nbr|cg_subcnr_nbr|obj_id|ver_nbr|cgprpsl_subcn_amt|cgprpsl_subcn_desc|row_actv_ind|
01|54754.0|00099|12BF192103169D6CE043814FD8819D6C|1.0|||Y|
01|64344.0|00099|12BF1921031C9D6CE043814FD8819D6C|1.0|91144.0||Y|
01|70640.0|00022|12BF192103269D6CE043814FD8819D6C|1.0|26980.0||Y|
01|71854.0|362|12BF192103279D6CE043814FD8819D6C|1.0|119731.0||Y|
01|72072.0|00021|12BF192103229D6CE043814FD8819D6C|1.0|||Y|
01|76564.0|00019|12BF192103239D6CE043814FD8819D6C|1.0|||Y|
1|56397.0|00070|12BF192103199D6CE043814FD8819D6C|1.0|226545.0||Y|
1|56444.0|400|12BF192103179D6CE043814FD8819D6C|1.0|33075.0||Y|
1|59644.0|400|12BF192103189D6CE043814FD8819D6C|1.0|33763.0||Y|
1|65918.0|00099|12BF1921031D9D6CE043814FD8819D6C|1.0|||Y|
1|66449.0|00070|12BF1921031B9D6CE043814FD8819D6C|1.0|||Y|
1|67168.0|00019|12BF1921031E9D6CE043814FD8819D6C|1.0|||Y|
1|69642.0|00070|12BF1921031A9D6CE043814FD8819D6C|1.0|||Y|
1|70530.0|00003|12BF1921031F9D6CE043814FD8819D6C|1.0|||Y|
1|72616.0|00019|12BF192103219D6CE043814FD8819D6C|1.0|78482.0||Y|
1|73455.0|00070|12BF192103209D6CE043814FD8819D6C|1.0|||Y|
1|74368.0|324|12BF192103259D6CE043814FD8819D6C|1.0|5657.0||Y|
1|75284.0|00099|12BF192103289D6CE043814FD8819D6C|1.0|||Y|
2|74368.0|00057|12BF192103249D6CE043814FD8819D6C|1.0|132361.0||Y|
