cptlast_typ_cd|obj_id|ver_nbr|cptlast_typ_desc|cptlast_deprlf_lmt|cptlast_moving_cd|cptlast_rqdbldg_cd|row_actv_ind|
07000|44F39C473078409CE043814FD881409C|1.0|PHOTO COPIER SMALL (COPIES PER MONTH 1 - 49,999) FY 07 AHA REVIEW|3.0|Y|N|Y|
07001|44F39C473079409CE043814FD881409C|1.0|PHOTO COPIER LARGE (COPIES PER MONTH 50,000) FY 07 AHA REVIEW|5.0|Y|N|Y|
07002|44F39C47307A409CE043814FD881409C|1.0|FAX (FY 07 AHA REVIEW)|3.0|Y|N|Y|
07003|44F39C47307C409CE043814FD881409C|1.0|MICROSCOPE (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07004|44F39C47307D409CE043814FD881409C|1.0|TELESCOPE (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07005|44F39C47307F409CE043814FD881409C|1.0|PIANO (FY 07 AHA REVIEW)|20.0|Y|N|Y|
07006|44F39C47307E409CE043814FD881409C|1.0|ORGANS (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07007|44F39C4730CA409CE043814FD881409C|1.0|WASHING MACHINE COMMERCIAL SMALL (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07008|44F39C4730CB409CE043814FD881409C|1.0|WASHING MACHINE DOMESTIC (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07009|44F39C4730CC409CE043814FD881409C|1.0|WASHING MACHINE COMMERCIAL LARGE (FY 07 AHA REVIEW)|15.0|Y|N|Y|
07108|44F39C4730BD409CE043814FD881409C|1.0|DESK, METAL OR WOOD, ALL (FY 07 AHA REVIEW)|20.0|Y|N|Y|
07154|44F39C4730AF409CE043814FD881409C|1.0|BED, ELECTRICAL OR MANUAL (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07203|44F39C4730B6409CE043814FD881409C|1.0|CENTRIFUGE, BENCH MODEL (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07207|44F39C4730B2409CE043814FD881409C|1.0|CAMERA, STILL (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07210|44F39C4730B4409CE043814FD881409C|1.0|CASH REGISTER (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07211|44F39C473075409CE043814FD881409C|1.0|WORKSTATION (FURNITURE) FY 07 AHA REVIEW|10.0|Y|N|Y|
07216|44F39C473067409CE043814FD881409C|1.0|PRINTER (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07219|44F39C4730C0409CE043814FD881409C|1.0|DISK DRIVES, CONTROLLERS (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07221|44F39C4730C4409CE043814FD881409C|1.0|DUPLICATOR (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07223|44F39C4730CD409CE043814FD881409C|1.0|SHAKING MACHINE (VORTEXER)  AHA REIVEW FY 07|8.0|Y|N|Y|
07232|44F39C47306E409CE043814FD881409C|1.0|SCALES, ALL (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07236|44F39C4730B1409CE043814FD881409C|1.0|CAMERA, MOVIE OR TV (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07244|44F39C4730BA409CE043814FD881409C|1.0|CUTTER/SHREDDER, PAPER (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07253|44F39C47306B409CE043814FD881409C|1.0|RECORDER, TV VIDEO, CAMCORDER (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07309|44F39C4730AD409CE043814FD881409C|1.0|AUTOCLAVE (FY 07 AHA REVIEW )|10.0|Y|N|Y|
07315|44F39C4730B0409CE043814FD881409C|1.0|BLOOD PRESSURE UNIT (FY 07 AHA REVIEW)|6.0|Y|N|Y|
