cptlast_nbr|ast_pmt_seq_nbr|obj_id|ver_nbr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fs_origin_cd|fdoc_typ_cd|fdoc_nbr|fdoc_post_yr|fdoc_post_prd_cd|fdoc_post_dt|project_cd|org_reference_id|acct_charge_amt|po_number|requisition_nbr|ast_depr1_base_amt|ast_acum_depr1_amt|ast_prvyrdepr1_amt|ast_prd1_depr1_amt|ast_prd2_depr1_amt|ast_prd3_depr1_amt|ast_prd4_depr1_amt|ast_prd5_depr1_amt|ast_prd6_depr1_amt|ast_prd7_depr1_amt|ast_prd8_depr1_amt|ast_prd9_depr1_amt|ast_prd10depr1_amt|ast_prd11depr1_amt|ast_prd12depr1_amt|ast_trnfr_pmt_cd|
1594.0|1.0|6DAAF0BDF2D5CE85E0404F8189D808BA|1.0|BL|1024700|-----|7000|---|01|LGCY|IV497180|2009.0|9|20080325000000|----------| |5308.0|6083633A|5.00E+13|5308.0|5308.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1594.0|2.0|6DAAF0BDF2D6CE85E0404F8189D808BA|1.0|BL|1024700|-----|7000|---|01|ASEP|IV497180|2009.0|9|20080325000000|----------||-5308.0|6083633A|5.00E+13|-5308.0|-5308.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1748.0|1.0|6DAAF0BDF2D7CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV129509|2009.0|9|20080325000000|----------| |5415.0|14110259|1.40E+32|5415.0|5415.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1748.0|2.0|6DAAF0BDF2D8CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|AMRG|IV129509|2009.0|9|20080325000000|----------||-5415.0|14110259|1.40E+32|-5415.0|-5415.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1920.0|1.0|6DAAF0BDF2D9CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV555767|2009.0|9|20080325000000|----------||64536.0|10051237|ZA7910|64536.0|64536.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1920.0|2.0|6DAAF0BDF2DACE85E0404F8189D808BA|1.0|BL|4824750|-----|7030|---|01|GEC|JO7692397|2009.0|9|20080325000000|----------||2440.0|||2440.0|2440.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1920.0|3.0|6DAAF0BDF2DBCE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|AMRG|IV555767|2009.0|9|20080325000000|----------||-64536.0|10051237|ZA7910|-64536.0|-64536.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1920.0|4.0|6DAAF0BDF2DCCE85E0404F8189D808BA|1.0|BL|4824750|-----|7030|---|01|AMRG|JO7692397|2009.0|9|20080325000000|----------||-2440.0|||-2440.0|-2440.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1929.0|1.0|6DAAF0BDF2DDCE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |5000.0|0| |5000.0|5000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1930.0|1.0|6DAAF0BDF2DECE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |25000.0|0| |25000.0|25000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1930.0|2.0|6DAAF0BDF2DFCE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|AMRG|IV000000|2009.0|9|20080325000000|----------||-25000.0|0||-25000.0|-25000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|1.0|6DAAF0BDF2E0CE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |30000.0|0| |30000.0|30000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|2.0|6DAAF0BDF2E1CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV129509|2009.0|9|20080325000000|----------||5415.0|14110259|1.40E+32|5415.0|5415.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|3.0|6DAAF0BDF2E2CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV555767|2009.0|9|20080325000000|----------||64536.0|10051237|ZA7910|64536.0|64536.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|4.0|6DAAF0BDF2E3CE85E0404F8189D808BA|1.0|BL|4824750|-----|7030|---|01|GEC|JO7692397|2009.0|9|20080325000000|----------||2440.0|||2440.0|2440.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|5.0|6DAAF0BDF2E4CE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|AMRG|IV000000|2009.0|9|20080325000000|----------||-30000.0|0||-30000.0|-30000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|6.0|6DAAF0BDF2E5CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|AMRG|IV129509|2009.0|9|20080325000000|----------||-5415.0|14110259|1.40E+32|-5415.0|-5415.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|7.0|6DAAF0BDF2E6CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|AMRG|IV555767|2009.0|9|20080325000000|----------||-64536.0|10051237|ZA7910|-64536.0|-64536.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
1931.0|8.0|6DAAF0BDF2E7CE85E0404F8189D808BA|1.0|BL|4824750|-----|7030|---|01|AMRG|JO7692397|2009.0|9|20080325000000|----------||-2440.0|||-2440.0|-2440.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|1.0|6DAAF0BDF2E8CE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|IV806829|2009.0|9|20080325000000|----------| |18900.0|13050372|TB7203|18900.0|18900.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|2.0|6DAAF0BDF2E9CE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------||30000.0|0||30000.0|30000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|3.0|6DAAF0BDF2EACE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV129509|2009.0|9|20080325000000|----------||5415.0|14110259|1.40E+32|5415.0|5415.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|4.0|6DAAF0BDF2EBCE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV555767|2009.0|9|20080325000000|----------||64536.0|10051237|ZA7910|64536.0|64536.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|5.0|6DAAF0BDF2ECCE85E0404F8189D808BA|1.0|BL|4824750|-----|7030|---|01|GEC|JO7692397|2009.0|9|20080325000000|----------||2440.0|||2440.0|2440.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2053.0|6.0|6DAAF0BDF2EDCE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------||25000.0|0||25000.0|25000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2156.0|1.0|6DAAF0BDF2EECE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |5402.0|0| |5402.0|5402.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2351.0|1.0|6DAAF0BDF2EFCE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|IV670629|2009.0|9|20080325000000|----------| |2500.0|17022136|VQ7616|2500.0|2500.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2351.0|2.0|6DAAF0BDF2F0CE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|IV670629|2009.0|9|20080325000000|----------| |11000.0|17022136|VQ7616|11000.0|11000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2352.0|1.0|6DAAF0BDF2F1CE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|IV651597|2009.0|9|20080325000000|----------| |6000.0|17051948|V07620|6000.0|6000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2385.0|1.0|6DAAF0BDF2F2CE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |5785.0|0| |5785.0|5785.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2391.0|1.0|6DAAF0BDF2F3CE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|IV289759|2009.0|9|20080325000000|----------| |8880.0|18110814|WR7820|8880.0|8880.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|1.0|6DAAF0BDF2F4CE85E0404F8189D808BA|1.0|BL|9520000|-----|7000|---|01|LGCY|IV000000|2009.0|9|20080325000000|----------| |30276.0|0| |30276.0|30276.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|2.0|6DAAF0BDF2F5CE85E0404F8189D808BA|1.0|BL|4824725|-----|7030|---|01|LGCY|AP752587|2009.0|9|20080325000000|----------||9850.0|204110061|FJ93044|9850.0|9850.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|3.0|6DAAF0BDF2F6CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|IV852332|2009.0|9|20080325000000|----------||3769.0|15073629|25E85002|3769.0|3769.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|4.0|6DAAF0BDF2F7CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|JV002336|2009.0|9|20080325000000|----------||3769.0|IV852332||3769.0|3769.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|5.0|6DAAF0BDF2F8CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|JV002336|2009.0|9|20080325000000|----------||-3769.0|IV852332||-3769.0|-3769.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|6.0|6DAAF0BDF2F9CE85E0404F8189D808BA|1.0|BL|1024797|-----|7000|---|01|LGCY|JV003457|2009.0|9|20080325000000|----------||-3769.0|JV002336||-3769.0|-3769.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|7.0|6DAAF0BDF2FACE85E0404F8189D808BA|1.0|BL|1024797|-----|7030|---|01|LGCY|JV003457|2009.0|9|20080325000000|----------||3769.0|JV002336||3769.0|3769.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
2392.0|8.0|6DAAF0BDF2FBCE85E0404F8189D808BA|1.0|BL|4824725|-----|7030|---|LG|AP|AP656775|2009.0|9|20080325000000|----------|--------|10504.5|206030225|FJ95046|10504.5|10504.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
2392.0|9.0|6DAAF0BDF2FCCE85E0404F8189D808BA|1.0|BL|4824725|-----|7030|---|LG|AP|AP679258|2009.0|9|20080325000000|----------||453.0|206030225|FJ95046|453.0|453.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
2392.0|10.0|6DAAF0BDF2FDCE85E0404F8189D808BA|1.0|BL|4324747|-----|7030|---|01|TOPS|AP757540|2009.0|9|20080325000000|----------||9750.0|200020154|HG99027|9750.0|9750.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|N|
