cptlast_nbr|obj_id|ver_nbr|cptlast_desc|cptlast_typ_cd|cptlast_cond_cd|cptlast_crt_dt|cptlast_receive_dt|cptlast_ln_rtrn_dt|cptlast_loan_dt|ast_expctreturn_dt|fdoc_post_prd_cd|fdoc_post_yr|org_owner_acct_nbr|org_owner_coa_cd|cptlast_vendor_nm|cptlast_acq_typ_cd|cptlast_totcst_amt|cptlast_rplc_amt|cptlast_sale_prc|ast_est_sell_prc|cptlast_salvag_amt|campus_cd|bldg_cd|bldg_room_nbr|bldg_sub_room_nbr|ast_retir_coa_cd|ast_retir_acct_nbr|ast_retire_reas_cd|ast_retir_prd_cd|ast_retir_fscl_yr|cash_rcpt_fdoc_nbr|ast_depr_mthd1_cd|ast_estfabrcmpl_dt|ast_fabresttot_amt|trnfr_fnd_fdoc_nbr|ast_invn_stat_cd|cptlast_tag_nbr|cptlast_lstinvn_dt|org_invn_nm|cptlast_oldtag_nbr|cptlast_mfr_nm|cptlast_mfrmdl_nbr|cptlast_serial_nbr|ast_rep_unvl_id|cg_agency_nbr|ast_pd_case_nbr|ast_invn_scan_cd|cptl_ast_in_srvc_dt|cptl_ast_gov_tag_nbr|cptl_ast_ntl_stock_nbr|cptl_ast_land_cnty_nm|cptl_ast_land_acrg_sz|cptl_ast_land_prcl_nbr|cptl_ast_depr_dt|fin_obj_sub_typ_cd|ast_fabr_est_retn_yrs|
1594.0|45086F423EA3C1AAE043814FD881C1AA|1.0|LATHE 60IN GLABLOWING|665|G|19661219000000|||||07|2009.0|1024797|BL|STERNER CORPORATION|N|0.0|15775.0|||0.0|BL|BL071|A033||||||||SL||||A|IU011010|20060717134746|EVERETTE W STERNER|500050|STERNER CORPORATION|ESA|93||||1|19661219000000||||||19661219000000|||
1748.0|45086F423EA4C1AAE043814FD881C1AA|1.0|AUTOMATIC SYNT|426|G|19741219000000|||||07|2009.0|1024797|BL|KEYS CORPORATION|N|0.0|8460.0|||0.0|BL|BL609C|100||||||||SL||||A|IU010209|20070116000000|ELVIRA W KEYS|500230|KEYS CORPORATION|3330A|1301A00168||||1|19741219000000||||||19741219000000|||
1920.0|45086F423EA5C1AAE043814FD881C1AA|1.0|ND LOG LASER WFLASH DYE OSCILLATOR TSC-1 & POWER SUPPLY|304|G|19800619000000|||||07|2009.0|1024797|BL|SEVIER CORPORATION|N|0.0|9349.0|||0.0|BL|BL072|A254||||||||SL||||A|IU010915|20060713082534|FREDERIC U SEVIER|500419|SEVIER CORPORATION|DCR|1089||||1|19800619000000||||||19800619000000|||
1929.0|45086F423EA6C1AAE043814FD881C1AA|1.0|DYE LASER W/MODYE CIRCULATOR|304|G|19800619000000|||||07|2009.0|1024797|BL|CARY CORPORATION|N|5000.0|5637.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011136|20061019000000|CECILE Z CARY|500428|CARY CORPORATION|37591376|789||||1|19800619000000||||||19800619000000|||
1930.0|45086F423EA7C1AAE043814FD881C1AA|1.0|ION LASER W/MOPOWER SUPPLY|304|G|19800619000000|||||07|2009.0|1024797|BL|DUNIGAN CORPORATION|N|0.0|28184.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011133|20061019000000|MICHEAL Z DUNIGAN|500429|DUNIGAN CORPORATION|171-06|927/1066||||1|19800619000000||||||19800619000000|||
1931.0|45086F423EA8C1AAE043814FD881C1AA|1.0|SPECTROMETER|401|G|19800619000000|||||07|2009.0|1024797|BL|BINKLEY CORPORATION|N|0.0|33820.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011104|20061127000000|JODY T BINKLEY|500430|BINKLEY CORPORATION|1403S|6076||||1|19800619000000||||||19800619000000|||
2053.0|45086F423EA9C1AAE043814FD881C1AA|1.0|PULSE NITROGEN LASER|304|G|19730719000000|||||07|2009.0|1024797|BL|MCAFEE CORPORATION|N|146291.0|30122.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011144|20060719081321|ELVA G MCAFEE|500571|MCAFEE CORPORATION|UV 1000|||||1|19730719000000||||||19730719000000|||
2156.0|45086F423EAAC1AAE043814FD881C1AA|1.0|GAS CHROMATOGRAPH INTEGRATOR|334|G|19720619000000|||||07|2009.0|1024797|BL|SHARMA CORPORATION|N|5402.0|11325.0|||0.0|BL|BL071|103F||||||||SL||||A|IU010142|20060718072129|ALEXANDER E SHARMA|500709|SHARMA CORPORATION|SERIES 1|48979178-13||||1|19720619000000||||||19720619000000|||
2351.0|45086F423EABC1AAE043814FD881C1AA|1.0|SPECTROMETER|401|G|19770419000000|||||07|2009.0|1024797|BL|ODLE CORPORATION|N|13500.0|23464.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011141|20060719081227|MALCOLM Y ODLE|500938|ODLE CORPORATION|HR10000|6129||||1|19770419000000||||||19770419000000|||
2352.0|45086F423EACC1AAE043814FD881C1AA|1.0|RF GENERATOR|489|G|19770719000000|||||07|2009.0|1024797|BL|SHIM CORPORATION|N|6000.0|9008.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011142|20060719083910|SHANA O SHIM|500939|SHIM CORPORATION|HFP2500D|2554||||1|19770719000000||||||19770719000000|||
