ast_retire_reas_cd|obj_id|ver_nbr|ast_retire_reas_nm|row_actv_ind|ast_retire_reas_rstr_ind|
0|44F39C472EF3409CE043814FD881409C|1.0|Credit|Y|N|
1|44F39C472EF4409CE043814FD881409C|1.0|Sold|Y|N|
2|44F39C472EF5409CE043814FD881409C|1.0|Trade-in|Y|N|
3|44F39C472EF6409CE043814FD881409C|1.0|Lost|Y|N|
4|44F39C472EF7409CE043814FD881409C|1.0|Discarded|Y|N|
5|44F39C472EF8409CE043814FD881409C|1.0|Cannibalized|Y|N|
6|44F39C472EF9409CE043814FD881409C|1.0|Gift|Y|N|
7|44F39C472EFA409CE043814FD881409C|1.0|Theft|Y|N|
8|44F39C472EFB409CE043814FD881409C|1.0|Destroyed|Y|N|
9|44F39C472EFC409CE043814FD881409C|1.0|External Transfer|Y|N|
A|44F39C472EFD409CE043814FD881409C|1.0|Auction (public surplus auction)|Y|N|
B|44F39C472EFE409CE043814FD881409C|1.0|Batch Retirement Ast Purchased <= 7/1/96|N|N|
C|44F39C472EFF409CE043814FD881409C|1.0|Check Canceled|Y|N|
D|44F39C472F00409CE043814FD881409C|1.0|Batch Retirement Ast Purchased > 7/1/96|N|N|
E|44F39C472F01409CE043814FD881409C|1.0|Asset Created in Error|Y|N|
F|44F39C472F05409CE043814FD881409C|1.0|Batch Retirement Ast < $5000.00 FY 2003|N|N|
H|44F39C472F06409CE043814FD881409C|1.0|Retirement of Control Assets|Y|N|
J|44F39C472F02409CE043814FD881409C|1.0|General Error Correction|Y|N|
M|44F39C472F03409CE043814FD881409C|1.0|Merged|Y|N|
P|44F39C472F07409CE043814FD881409C|1.0|Plant Fund Retirement|Y|N|
R|44F39C472F08409CE043814FD881409C|1.0|Razed|Y|N|
S|44F39C472F04409CE043814FD881409C|1.0|Asset Separated Retirement|Y|N|
