close_cd|close_desc|row_actv_ind|obj_id|ver_nbr|
E|Expended|Y|8529CD48490F060AE0404F8189D81C0B|1.0|
F|New Fund|Y|8529CD484910060AE0404F8189D81C0B|1.0|
I|Transferred to IU|Y|8529CD484911060AE0404F8189D81C0B|1.0|
M|Merged|Y|8529CD484912060AE0404F8189D81C0B|1.0|
N|Not Funded|Y|8529CD484913060AE0404F8189D81C0B|1.0|
O|Transferred to Outside Organization|Y|8529CD484914060AE0404F8189D81C0B|1.0|
P|Opened in Error|Y|8529CD484915060AE0404F8189D81C0B|1.0|
R|Refunded to Donor|Y|8529CD484916060AE0404F8189D81C0B|1.0|
T|Terminated|Y|8529CD484917060AE0404F8189D81C0B|1.0|
U|New Unit|Y|8529CD484918060AE0404F8189D81C0B|1.0|
