kemid|crnt_inc_csh|crnt_prin_csh|obj_id|ver_nbr|
032A017014|0.43|0.0|8529CD4850DA060AE0404F8189D81C0B|1.0|
032AS06149|0.68|0.0|8529CD4850DB060AE0404F8189D81C0B|1.0|
032AS08053|0.37|0.0|8529CD4850DC060AE0404F8189D81C0B|1.0|
032AS11040|0.53|0.0|8529CD4850DD060AE0404F8189D81C0B|1.0|
032B011354|0.45|0.0|8529CD4850DE060AE0404F8189D81C0B|1.0|
032D008242|0.6|0.0|8529CD4850DF060AE0404F8189D81C0B|1.0|
032L006015|0.53|0.0|8529CD4850E0060AE0404F8189D81C0B|1.0|
032L006098|0.66|0.0|8529CD4850E1060AE0404F8189D81C0B|1.0|
032P002085|0.01|0.0|8529CD4850E2060AE0404F8189D81C0B|1.0|
032P002101|0.59|0.0|8529CD4850E3060AE0404F8189D81C0B|1.0|
032P011045|0.54|0.0|8529CD4850E4060AE0404F8189D81C0B|1.0|
037A014184|0.0|0.0|8529CD4850E5060AE0404F8189D81C0B|1.0|
037A017013|0.03|0.65|8529CD4850E6060AE0404F8189D81C0B|1.0|
037AS12302|0.79|0.47|8529CD4850E7060AE0404F8189D81C0B|1.0|
037AS34082|0.43|0.02|8529CD4850E8060AE0404F8189D81C0B|1.0|
037AS35022|0.53|0.18|8529CD4850E9060AE0404F8189D81C0B|1.0|
037AS36012|0.7|0.0|8529CD4850EA060AE0404F8189D81C0B|1.0|
037AS38026|0.84|0.59|8529CD4850EB060AE0404F8189D81C0B|1.0|
037AS54239|0.49|0.31|8529CD4850EC060AE0404F8189D81C0B|1.0|
037B011AG1|0.0|0.28|8529CD4850ED060AE0404F8189D81C0B|1.0|
037B012161|0.49|0.5|8529CD4850EE060AE0404F8189D81C0B|1.0|
037E009701|0.12|0.43|8529CD4850EF060AE0404F8189D81C0B|1.0|
037E009727|0.13|0.05|8529CD4850F0060AE0404F8189D81C0B|1.0|
037F002010|0.38|0.37|8529CD4850F1060AE0404F8189D81C0B|1.0|
037G003785|0.0|0.22|8529CD4850F2060AE0404F8189D81C0B|1.0|
037G030812|0.34|0.53|8529CD4850F3060AE0404F8189D81C0B|1.0|
037H004261|0.98|0.47|8529CD4850F4060AE0404F8189D81C0B|1.0|
037I002512|0.9|0.18|8529CD4850F5060AE0404F8189D81C0B|1.0|
037K008284|0.74|0.52|8529CD4850F6060AE0404F8189D81C0B|1.0|
037L006493|0.59|0.06|8529CD4850F7060AE0404F8189D81C0B|1.0|
037L006709|0.0|0.86|8529CD4850F8060AE0404F8189D81C0B|1.0|
037MDER022|0.98|0.06|8529CD4850F9060AE0404F8189D81C0B|1.0|
