kemid|crnt_corpus_val|ver_nbr|obj_id|crnt_prin_mval|
037A014184|13620.0|1.0|8529CD484EBD060AE0404F8189D81C0B||
037A017013|1.486128156E7|1.0|8529CD484EBE060AE0404F8189D81C0B||
037AS12302|301400.0|1.0|8529CD484EBF060AE0404F8189D81C0B||
037AS34082|140388.57|1.0|8529CD484EC0060AE0404F8189D81C0B||
037AS35022|5250.0|1.0|8529CD484EC1060AE0404F8189D81C0B||
037AS36012|3171.19|1.0|8529CD484EC2060AE0404F8189D81C0B||
037AS38026|900000.0|1.0|8529CD484EC3060AE0404F8189D81C0B||
037AS54239|52500.0|1.0|8529CD484EC4060AE0404F8189D81C0B||
037B011AG1|8455.44|1.0|8529CD484EC5060AE0404F8189D81C0B||
037B012161|600000.0|1.0|8529CD484EC6060AE0404F8189D81C0B||
037E009701|21014.6|1.0|8529CD484EC7060AE0404F8189D81C0B||
037E009727|106143.97|1.0|8529CD484EC8060AE0404F8189D81C0B||
037F002010|15932.74|1.0|8529CD484EC9060AE0404F8189D81C0B||
037G003785|480594.53|1.0|8529CD484ECA060AE0404F8189D81C0B||
037G030812|27375.57|1.0|8529CD484ECB060AE0404F8189D81C0B||
037H004261|26798.97|1.0|8529CD484ECC060AE0404F8189D81C0B||
037I002512|58451.01|1.0|8529CD484ECD060AE0404F8189D81C0B||
037K008284|226987.64|1.0|8529CD484ECE060AE0404F8189D81C0B||
037L006493|130137.42|1.0|8529CD484ECF060AE0404F8189D81C0B||
037L006709|121966.58|1.0|8529CD484ED0060AE0404F8189D81C0B||
037MDER022|427128.55|1.0|8529CD484ED1060AE0404F8189D81C0B||
037MDSL103|107199.47|1.0|8529CD484ED2060AE0404F8189D81C0B||
037MMED197|132105.95|1.0|8529CD484ED3060AE0404F8189D81C0B||
037MPHC132|99852.26|1.0|8529CD484ED4060AE0404F8189D81C0B||
037O009148|12033.05|1.0|8529CD484ED5060AE0404F8189D81C0B||
037P003108|20160.8|1.0|8529CD484ED6060AE0404F8189D81C0B||
037P004148|434419.4|1.0|8529CD484ED7060AE0404F8189D81C0B||
037P011291|20084.42|1.0|8529CD484ED8060AE0404F8189D81C0B||
037RQ04222|9268.37|1.0|8529CD484ED9060AE0404F8189D81C0B||
037RT04333|9778.0|1.0|8529CD484EDA060AE0404F8189D81C0B||
037S012056|40969.67|1.0|8529CD484EDB060AE0404F8189D81C0B||
037SC00501|121292.62|1.0|8529CD484EDC060AE0404F8189D81C0B||
037V009140|11270.0|1.0|8529CD484EDD060AE0404F8189D81C0B||
037V010080|100320.0|1.0|8529CD484EDE060AE0404F8189D81C0B||
037WHMM024|298612.5|1.0|8529CD484EDF060AE0404F8189D81C0B||
037X002044|298996.37|1.0|8529CD484EE0060AE0404F8189D81C0B||
