kemid|donr_id|donr_seq|donr_stmt_cd|cmb_donr_id|eff_dt|term_dt|term_rsn|donr_lbl_sel|ver_nbr|obj_id|
032AS06149|66798|1.0|STD|646422|20090630000000|||J|1.0|8529CD484E99060AE0404F8189D81C0B|
032D008242|295944|1.0|STD|12082|20090630000000|||J|1.0|8529CD484E9A060AE0404F8189D81C0B|
032P011045|17537|1.0|STD|254306|20090630000000|||J|1.0|8529CD484E9B060AE0404F8189D81C0B|
037AS12302|109948|1.0|STD|118381|20090630000000|||J|1.0|8529CD484E9C060AE0404F8189D81C0B|
037AS38026|C37451a|1.0|STD||20090630000000|||I|1.0|8529CD484E9D060AE0404F8189D81C0B|
037AS54239|451251|1.0|STD|285639|20090630000000|||J|1.0|8529CD484E9E060AE0404F8189D81C0B|
037B011AG1|C1663a|1.0|TER||20090630000000|20090930000000|Donor Request|I|1.0|8529CD484E9F060AE0404F8189D81C0B|
037B012161|279927|1.0|STD||20090630000000|||I|1.0|8529CD484EA0060AE0404F8189D81C0B|
037E009701|380980|1.0|STD||20090630000000|||I|1.0|8529CD484EA1060AE0404F8189D81C0B|
037E009727|50595|1.0|STD|887434|20090630000000|||J|1.0|8529CD484EA2060AE0404F8189D81C0B|
037G003785|54593|1.0|TER||20090630000000|20090930000000|Donor Request|I|1.0|8529CD484EA3060AE0404F8189D81C0B|
037G030812|302969|2.0|STD|63304|20090630000000|||J|1.0|8529CD484EA5060AE0404F8189D81C0B|
037G030812|741828|1.0|STD||20090630000000|||I|1.0|8529CD484EA4060AE0404F8189D81C0B|
037H004261|428275|1.0|STD|169507|20090630000000|||J|1.0|8529CD484EA6060AE0404F8189D81C0B|
037I002512|C2267a|1.0|STD||20090630000000|||I|1.0|8529CD484EA7060AE0404F8189D81C0B|
037K008284|215823|3.0|STD||20090630000000|||I|1.0|8529CD484EAA060AE0404F8189D81C0B|
037K008284|327773|4.0|STD||20090630000000|||I|1.0|8529CD484EAB060AE0404F8189D81C0B|
037K008284|338203|2.0|STD||20090630000000|||I|1.0|8529CD484EA9060AE0404F8189D81C0B|
037K008284|367814|1.0|TER||20090630000000|20091015000000|Donor Request|I|1.0|8529CD484EA8060AE0404F8189D81C0B|
037MDSL103|14541|1.0|STD|295956|20090630000000|||J|1.0|8529CD484EAC060AE0404F8189D81C0B|
037MPHC132|576391|1.0|STD||20090630000000|||I|1.0|8529CD484EAD060AE0404F8189D81C0B|
037O009148|219073|1.0|STD||20090630000000|||I|1.0|8529CD484EAE060AE0404F8189D81C0B|
037P003108|89712|1.0|STD|89713|20090630000000|||J|1.0|8529CD484EAF060AE0404F8189D81C0B|
037RQ04222|C28826a|1.0|STD||20090630000000|||I|1.0|8529CD484EB0060AE0404F8189D81C0B|
037RT04333|204836|1.0|STD||20090630000000|||I|1.0|8529CD484EB1060AE0404F8189D81C0B|
037S012056|207159|1.0|STD||20090630000000|||I|1.0|8529CD484EB2060AE0404F8189D81C0B|
037SC00501|C32273a|1.0|STD||20090630000000|||I|1.0|8529CD484EB3060AE0404F8189D81C0B|
037V009140|301745|1.0|STD||20090630000000|||I|1.0|8529CD484EB4060AE0404F8189D81C0B|
038CC00118|C124241a|1.0|STD||20090630000000|||I|1.0|8529CD484EB5060AE0404F8189D81C0B|
038F002075|337605|1.0|MID|107545|20090630000000|||J|1.0|8529CD484EB6060AE0404F8189D81C0B|
038L006228|405935|2.0|STD||20090630000000|||I|1.0|8529CD484EB8060AE0404F8189D81C0B|
038L006228|451957|1.0|STD||20090630000000|||I|1.0|8529CD484EB7060AE0404F8189D81C0B|
038MCCC134|565335|1.0|STD||20090630000000|||I|1.0|8529CD484EB9060AE0404F8189D81C0B|
038MPHC072|C3617a|1.0|TER||20090630000000|20091102000000|Donor Request|I|1.0|8529CD484EBA060AE0404F8189D81C0B|
038RR04087|C2907a|1.0|TER||20090630000000|20090825000000|Donor Request|I|1.0|8529CD484EBB060AE0404F8189D81C0B|
038RV04351|393833|1.0|TER||20090630000000|20091020000000|Donor Request|I|1.0|8529CD484EBC060AE0404F8189D81C0B|
