kemid|pay_inc_seq|pay_inc_to_kemid|pay_inc_pct|pay_inc_strt_dt|pay_inc_term_dt|ver_nbr|obj_id|
032A017014|1.0|032A017014|1.0|20051101000000||1.0|8529CD484D73060AE0404F8189D81C0B|
032AS06149|1.0|032AS06149|1.0|20051101000000||1.0|8529CD484D74060AE0404F8189D81C0B|
032AS06198|1.0|032AS06198|1.0|20051101000000||1.0|8529CD484D75060AE0404F8189D81C0B|
032AS08053|1.0|032AS08053|1.0|20051101000000||1.0|8529CD484D76060AE0404F8189D81C0B|
032AS11040|1.0|032AS11040|1.0|20051101000000||1.0|8529CD484D77060AE0404F8189D81C0B|
032B011354|1.0|032B011354|1.0|20051101000000||1.0|8529CD484D78060AE0404F8189D81C0B|
032D008242|1.0|032D008242|1.0|20061222000000||1.0|8529CD484D79060AE0404F8189D81C0B|
032L006015|1.0|032L006015|1.0|20051101000000||1.0|8529CD484D7A060AE0404F8189D81C0B|
032L006098|1.0|032L006098|1.0|20051101000000||1.0|8529CD484D7B060AE0404F8189D81C0B|
032P002085|1.0|032P002085|1.0|20071130000000||1.0|8529CD484D7C060AE0404F8189D81C0B|
032P002101|1.0|032P002101|1.0|20080619000000||1.0|8529CD484D7D060AE0404F8189D81C0B|
032P011045|1.0|032P011045|1.0|20051101000000||1.0|8529CD484D7E060AE0404F8189D81C0B|
032P011094|1.0|032P011094|1.0|20051101000000||1.0|8529CD484D7F060AE0404F8189D81C0B|
037A014184|1.0|037A014184|1.0|20051101000000||1.0|8529CD484D80060AE0404F8189D81C0B|
037A017013|1.0|037A017013|1.0|20051101000000||1.0|8529CD484D81060AE0404F8189D81C0B|
037AS12302|1.0|037AS12302|1.0|20061109000000||1.0|8529CD484D82060AE0404F8189D81C0B|
037AS34082|1.0|037AS34082|1.0|20051101000000||1.0|8529CD484D83060AE0404F8189D81C0B|
037AS35022|1.0|037AS35022|1.0|20051101000000||1.0|8529CD484D84060AE0404F8189D81C0B|
037AS36012|1.0|037AS36012|1.0|20051101000000||1.0|8529CD484D85060AE0404F8189D81C0B|
037AS38026|1.0|037AS38026|1.0|20051101000000||1.0|8529CD484D86060AE0404F8189D81C0B|
037AS54239|1.0|037AS54239|1.0|20070928000000||1.0|8529CD484D87060AE0404F8189D81C0B|
037B011AG1|1.0|037B011AG1|1.0|20051101000000||1.0|8529CD484D88060AE0404F8189D81C0B|
037B012161|1.0|037B012161|1.0|20051101000000||1.0|8529CD484D89060AE0404F8189D81C0B|
037E009701|1.0|037E009701|1.0|20070508000000||1.0|8529CD484D8A060AE0404F8189D81C0B|
037E009727|1.0|037E009727|1.0|20081210000000||1.0|8529CD484D8B060AE0404F8189D81C0B|
037F002010|1.0|037F002010|1.0|20051101000000||1.0|8529CD484D8C060AE0404F8189D81C0B|
037G003785|1.0|037G003785|1.0|20051101000000||1.0|8529CD484D8D060AE0404F8189D81C0B|
037G003BD9|1.0|037G003BD9|1.0|20051101000000||1.0|8529CD484D8E060AE0404F8189D81C0B|
037G030812|1.0|037G030812|1.0|20081201000000||1.0|8529CD484D8F060AE0404F8189D81C0B|
037H004261|1.0|037H004261|1.0|20051101000000||1.0|8529CD484D90060AE0404F8189D81C0B|
037I002512|1.0|037I002512|1.0|20051101000000||1.0|8529CD484D91060AE0404F8189D81C0B|
037K008284|1.0|037K008284|1.0|20051101000000||1.0|8529CD484D92060AE0404F8189D81C0B|
037L006493|1.0|037L006493|1.0|20051101000000||1.0|8529CD484D93060AE0404F8189D81C0B|
037L006709|1.0|037L006709|1.0|20060804000000||1.0|8529CD484D94060AE0404F8189D81C0B|
037MDER022|1.0|037MDER022|1.0|20051101000000||1.0|8529CD484D95060AE0404F8189D81C0B|
037MDSL103|1.0|037MDSL103|1.0|20051101000000||1.0|8529CD484D96060AE0404F8189D81C0B|
037MMED197|1.0|037MMED197|1.0|20051101000000||1.0|8529CD484D97060AE0404F8189D81C0B|
037MPHC132|1.0|037MPHC132|1.0|20060427000000||1.0|8529CD484D98060AE0404F8189D81C0B|
037O009148|1.0|037O009148|1.0|20051101000000||1.0|8529CD484D99060AE0404F8189D81C0B|
037P003108|1.0|037P003108|1.0|20051101000000||1.0|8529CD484D9A060AE0404F8189D81C0B|
037P004148|1.0|037P004148|1.0|20051101000000||1.0|8529CD484D9B060AE0404F8189D81C0B|
037P011291|1.0|037P011291|1.0|20051101000000||1.0|8529CD484D9C060AE0404F8189D81C0B|
037RQ04222|1.0|037RQ04222|1.0|20051101000000||1.0|8529CD484D9D060AE0404F8189D81C0B|
037RT04333|1.0|037RT04333|1.0|20051101000000||1.0|8529CD484D9E060AE0404F8189D81C0B|
037S012056|1.0|037S012056|1.0|20051101000000||1.0|8529CD484D9F060AE0404F8189D81C0B|
037SC00501|1.0|037SC00501|1.0|20051101000000||1.0|8529CD484DA0060AE0404F8189D81C0B|
037V009140|1.0|037V009140|1.0|20051101000000||1.0|8529CD484DA1060AE0404F8189D81C0B|
037V010080|1.0|037V010080|1.0|20051101000000||1.0|8529CD484DA2060AE0404F8189D81C0B|
037WHMM024|1.0|037WHMM024|1.0|20051101000000||1.0|8529CD484DA3060AE0404F8189D81C0B|
037X002044|1.0|037X002044|1.0|20051101000000||1.0|8529CD484DA4060AE0404F8189D81C0B|
038A017011|1.0|038A017011|1.0|20051101000000||1.0|8529CD484DA5060AE0404F8189D81C0B|
038AS00057|1.0|038AS00057|1.0|20051101000000||1.0|8529CD484DA6060AE0404F8189D81C0B|
038AS06237|1.0|038AS06237|1.0|20051101000000||1.0|8529CD484DA7060AE0404F8189D81C0B|
038AS17028|1.0|038AS17028|1.0|20051101000000||1.0|8529CD484DA8060AE0404F8189D81C0B|
038AS53023|1.0|038AS53023|1.0|20051101000000||1.0|8529CD484DA9060AE0404F8189D81C0B|
038B011179|1.0|038B011179|1.0|20051101000000||1.0|8529CD484DAA060AE0404F8189D81C0B|
038CC00118|1.0|038CC00118|1.0|20051101000000||1.0|8529CD484DAB060AE0404F8189D81C0B|
038D008041|1.0|038D008041|1.0|20051101000000||1.0|8529CD484DAC060AE0404F8189D81C0B|
038E009022|1.0|038E009022|1.0|20051101000000||1.0|8529CD484DAD060AE0404F8189D81C0B|
038F002075|1.0|038F002075|1.0|20051101000000||1.0|8529CD484DAE060AE0404F8189D81C0B|
038G003452|1.0|038G003452|1.0|20051101000000||1.0|8529CD484DAF060AE0404F8189D81C0B|
038IU09022|1.0|038IU09022|1.0|20051101000000||1.0|8529CD484DB0060AE0404F8189D81C0B|
038K008027|1.0|038K008027|1.0|20051101000000||1.0|8529CD484DB1060AE0404F8189D81C0B|
038L006228|1.0|038L006228|1.0|20051101000000||1.0|8529CD484DB2060AE0404F8189D81C0B|
