kemid|shrt_ttl|ver_nbr|obj_id|closed_ind|prps_cd|inc_cae_cd|prin_cae_cd|closed_to_kemid|close_cd|fnd_disp|close_dt|long_ttl|opnd_dt|estbl_dt|typ_cd|resp_admin_cd|tran_restr_cd|csh_sweep_mdl_id|inc_aci_mdl_id|prin_aci_mdl_id|dormant_ind|typ_inc_restr_cd|typ_prin_restr_cd|
032A017014|Current Spending Fnd 2|1.0|8529CD484B71060AE0404F8189D81C0B|N|SB|D|9|||||Current Spending Fund 2|20051101000000|19991220000000|032|INVS|NONE|1.0|||N|TRU|TRU|
032AS06149|Current Spending Fnd 4|1.0|8529CD484B72060AE0404F8189D81C0B|N|OD|Z|9|||||Current Spending Fund 4|20051101000000|19980714000000|032|GENA|NONE|1.0|||Y|TRU|TRU|
032AS06198|Current Spending Fnd 5|1.0|8529CD484B73060AE0404F8189D81C0B|Y|RR|E|9||E||20080522000000|Current Spending Fund 5|20051101000000|20010207000000|032|GENA|NTRAN|1.0|||N|TRU|TRU|
032AS08053|Current Spending Fnd 6|1.0|8529CD484B74060AE0404F8189D81C0B|N|O|B|9|||||Current Spending Fund 6|20051101000000|19910423000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032AS11040|Current Spending Fnd 9|1.0|8529CD484B75060AE0404F8189D81C0B|N|OD|B|9|||||Current Spending Fund 9|20051101000000|19970515000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032B011354|Current Spending Fnd 10|1.0|8529CD484B76060AE0404F8189D81C0B|N|OD|Z|9|||||Current Spending Fund 10|20051101000000|19920507000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032D008242|Current Spending Fnd 16|1.0|8529CD484B77060AE0404F8189D81C0B|N|SU|D|9|||||Current Spending Fund 16|20061222000000|20061222000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032L006015|Current Spending Fnd 17|1.0|8529CD484B78060AE0404F8189D81C0B|N|SG|D|9|||||Current Spending Fund 17|20051101000000|19620101000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032L006098|Current Spending Fnd 18|1.0|8529CD484B79060AE0404F8189D81C0B|N|F|D|9|||||Current Spending Fund 18|20051101000000|19880513000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032P002085|Current Spending Fnd 25|1.0|8529CD484B7A060AE0404F8189D81C0B|N|OD|Z|9|||||Current Spending Fund 25|20071130000000|20071130000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032P002101|Current Spending Fnd 27|1.0|8529CD484B7B060AE0404F8189D81C0B|N|OD|Z|9|||||Current Spending Fund 27|20080619000000|20080619000000|032|GENA|NONE|1.0|||N|TRU|TRU|
032P011045|Current Spending Fnd 28|1.0|8529CD484B7C060AE0404F8189D81C0B|N|SB|D|9|||||Current Spending Fund 28|20051101000000|19760416000000|032|GENA|NDISB|1.0|||N|TRU|TRU|
032P011094|Current Spending Fnd 30|1.0|8529CD484B7D060AE0404F8189D81C0B|Y|OR|Z|9|038P011463|F|New KEMID to allow automated principal investments|20060810000000|Current Spending Fund 30|20051101000000|19840116000000|032|GENA|NTRAN|1.0|||N|TRU|TRU|
