regis_cd|regis_cd_desc|row_actv_ind|obj_id|ver_nbr|
01P|PEF RE|N|8529CD484B0F060AE0404F8189D81C0B|1.0|
0AI|ACM (Pooled Short Term Fund)|Y|8529CD484B10060AE0404F8189D81C0B|1.0|
0AP|ACM (Pooled Short Term Fund)|Y|8529CD484B11060AE0404F8189D81C0B|1.0|
0BI|Brokers/General|Y|8529CD484B12060AE0404F8189D81C0B|1.0|
0BP|Brokers/General|Y|8529CD484B13060AE0404F8189D81C0B|1.0|
0CI|Pooled Funds (Equity, Fixed, Long Term)|Y|8529CD484B14060AE0404F8189D81C0B|1.0|
0CP|Pooled Funds (Equity, Fixed, Long Term)|Y|8529CD484B15060AE0404F8189D81C0B|1.0|
0DI|BONY - William Blair|Y|8529CD484B16060AE0404F8189D81C0B|1.0|
0DP|BONY - William Blair|Y|8529CD484B17060AE0404F8189D81C0B|1.0|
0EI|BONY - Equity Trust Investment Pool|Y|8529CD484B18060AE0404F8189D81C0B|1.0|
0EP|BONY - Equity Trust Investment Pool|Y|8529CD484B19060AE0404F8189D81C0B|1.0|
0FI|BONY - Champlain Investment Partners|Y|8529CD484B1A060AE0404F8189D81C0B|1.0|
0FP|BONY - Champlain Investment Partners|Y|8529CD484B1B060AE0404F8189D81C0B|1.0|
0GI|BONY - Grayson Fund|Y|8529CD484B1C060AE0404F8189D81C0B|1.0|
0GP|BONY - Grayson Fund|Y|8529CD484B1D060AE0404F8189D81C0B|1.0|
0HI|Howard County - Key Bank|Y|8529CD484B1E060AE0404F8189D81C0B|1.0|
0HP|Howard County - Key Bank|Y|8529CD484B1F060AE0404F8189D81C0B|1.0|
0IP|Jump|Y|8529CD484B20060AE0404F8189D81C0B|1.0|
0KI|BONY - Cramer Rosenthal McGlynn|Y|8529CD484B21060AE0404F8189D81C0B|1.0|
0KP|BONY - Cramer Rosenthal McGlynn|Y|8529CD484B22060AE0404F8189D81C0B|1.0|
0LI|Lowengreen|N|8529CD484B23060AE0404F8189D81C0B|1.0|
0MI|Madison|N|8529CD484B24060AE0404F8189D81C0B|1.0|
0NI|BONY - Separately Held Account|Y|8529CD484B25060AE0404F8189D81C0B|1.0|
0NP|BONY - Separately Held Account|Y|8529CD484B26060AE0404F8189D81C0B|1.0|
0OI|BONY - PEF/Other Account|Y|8529CD484B27060AE0404F8189D81C0B|1.0|
0OP|BONY - PEF/Other Account|Y|8529CD484B28060AE0404F8189D81C0B|1.0|
0QI|BONY - Templeton Instutional Funds - International|Y|8529CD484B29060AE0404F8189D81C0B|1.0|
0QP|BONY - Templeton Instutional Funds - International|Y|8529CD484B2A060AE0404F8189D81C0B|1.0|
0RI|Reese Fund|Y|8529CD484B2B060AE0404F8189D81C0B|1.0|
0RP|Reese Fund|Y|8529CD484B2C060AE0404F8189D81C0B|1.0|
0SI|BONY - Snyder Capital Management|Y|8529CD484B2D060AE0404F8189D81C0B|1.0|
0SP|BONY - Snyder Capital Management|Y|8529CD484B2E060AE0404F8189D81C0B|1.0|
0TI|BONY - Bond Trust Investment Pool|Y|8529CD484B2F060AE0404F8189D81C0B|1.0|
0TP|BONY - Bond Trust Investment Pool|Y|8529CD484B30060AE0404F8189D81C0B|1.0|
0VI|National Bank of Indianapolis - Val Nolan Fund|Y|8529CD484B31060AE0404F8189D81C0B|1.0|
0VP|National Bank of Indianapolis - Val Nolan Fund|Y|8529CD484B32060AE0404F8189D81C0B|1.0|
0WI|BONY - Loomis Sayles|Y|8529CD484B33060AE0404F8189D81C0B|1.0|
0WP|BONY - Loomis Sayles|Y|8529CD484B34060AE0404F8189D81C0B|1.0|
0XI|no longer in use|Y|8529CD484B35060AE0404F8189D81C0B|1.0|
0YI|BONY - PIMCO|Y|8529CD484B36060AE0404F8189D81C0B|1.0|
0YP|BONY - PIMCO|Y|8529CD484B37060AE0404F8189D81C0B|1.0|
0ZI|Mutual Funds (BGI, Common Fund, Alt Mgrs, etc.)|Y|8529CD484B38060AE0404F8189D81C0B|1.0|
0ZP|Mutual Funds (BGI, Common Fund, Alt Mgrs, etc.)|Y|8529CD484B39060AE0404F8189D81C0B|1.0|
CDI|Certificate of Deposit|Y|8529CD484B3A060AE0404F8189D81C0B|1.0|
CDP|Certificate of Deposit|Y|8529CD484B3B060AE0404F8189D81C0B|1.0|
MAI|Miscellaneous Assets|Y|8529CD484B3C060AE0404F8189D81C0B|1.0|
MAP|Miscellaneous Assets|Y|8529CD484B3D060AE0404F8189D81C0B|1.0|
MLI|Miscellaneous Liability|Y|8529CD484B3E060AE0404F8189D81C0B|1.0|
MLP|Miscellaneous Liabilities|Y|8529CD484B3F060AE0404F8189D81C0B|1.0|
REI|Real Estate|Y|8529CD484B40060AE0404F8189D81C0B|1.0|
REP|Real Estate|Y|8529CD484B41060AE0404F8189D81C0B|1.0|
