typ_cd|fee_mthd|obj_id|ver_nbr|row_actv_ind|
011|SHMF1|8529CD4865B2060AE0404F8189D81C0B|1.0|Y|
013|SHMF1|8529CD4865B3060AE0404F8189D81C0B|1.0|Y|
017|SHMF1|8529CD4865B4060AE0404F8189D81C0B|1.0|Y|
027|SHMF1|8529CD4865B5060AE0404F8189D81C0B|1.0|Y|
032|SHMF1|8529CD4865B6060AE0404F8189D81C0B|1.0|Y|
037|SHMF1|8529CD4865B7060AE0404F8189D81C0B|1.0|Y|
038|SHMF1|8529CD4865B8060AE0404F8189D81C0B|1.0|Y|
042|CRTMF1|8529CD4865BE060AE0404F8189D81C0B|1.0|Y|
042|SHMF1|8529CD4865B9060AE0404F8189D81C0B|1.0|Y|
046|CRTMF1|8529CD4865BF060AE0404F8189D81C0B|1.0|Y|
046|SHMF1|8529CD4865BA060AE0404F8189D81C0B|1.0|Y|
047|CRTMF1|8529CD4865C0060AE0404F8189D81C0B|1.0|Y|
047|SHMF1|8529CD4865BB060AE0404F8189D81C0B|1.0|Y|
049|CRTMF1|8529CD4865C1060AE0404F8189D81C0B|1.0|Y|
049|SHMF1|8529CD4865BC060AE0404F8189D81C0B|1.0|Y|
070|SHMF1|8529CD4865BD060AE0404F8189D81C0B|1.0|Y|
