fdoc_nbr|fdoc_typ_cd|obj_id|ver_nbr|fdoc_50_cent_amt|fdoc_25_cent_amt|fdoc_10_cent_amt|fdoc_5_cent_amt|fdoc_1_cent_amt|fdoc_othr_cent_amt|fdoc_100_cent_amt|cshr_stat_cd|
AA4870404|CD|14034DEF1D8A4D8CE043814FD8814D8C|1.0||1.5|3.4|0.9|0.17||1.0|X|
AA4870404|CR|14034DEF1D8B4D8CE043814FD8814D8C|1.0||1.5|3.4|0.9|0.17||1.0|R|
AB2632004|CD|14034DEF18CE4D8CE043814FD8814D8C|1.0||1.0|0.8|0.35|0.1||2.0|X|
AB2632004|CR|14034DEF18CF4D8CE043814FD8814D8C|1.0||1.0|0.8|0.35|0.1||2.0|R|
AC1322404|CD|14034DEF1CB24D8CE043814FD8814D8C|1.0||11.5||||||X|
AC1322404|CR|14034DEF1CB34D8CE043814FD8814D8C|1.0||11.5||||||R|
AD6131804|CD|14034DEF1F2C4D8CE043814FD8814D8C|1.0||0.25|2.6|0.6|0.04|||X|
AD6131804|CR|14034DEF1F2D4D8CE043814FD8814D8C|1.0||0.25|2.6|0.6|0.04|||R|
AD6868604|CD|14034DEF17BA4D8CE043814FD8814D8C|1.0||1.0||||||X|
AD6868604|CR|14034DEF17BB4D8CE043814FD8814D8C|1.0||1.0||||||R|
AE2229804|CD|14034DEF19064D8CE043814FD8814D8C|1.0||1.0|1.0|||||X|
AE2229804|CR|14034DEF19074D8CE043814FD8814D8C|1.0||1.0|1.0|||||R|
AF4860704|CD|14034DEF1F7D4D8CE043814FD8814D8C|1.0||1.75||||||X|
AF4860704|CR|14034DEF1F7E4D8CE043814FD8814D8C|1.0||1.75||||||R|
AG4585904|CD|14034DEF1DA44D8CE043814FD8814D8C|1.0||0.75||||||X|
AG4585904|CR|14034DEF1DA54D8CE043814FD8814D8C|1.0||0.75||||||R|
AG5101804|CD|14034DEF1AB14D8CE043814FD8814D8C|1.0||0.75||||||X|
AG5101804|CR|14034DEF1AB24D8CE043814FD8814D8C|1.0||0.75||||||R|
AH1718204|CD|14034DEF1F3D4D8CE043814FD8814D8C|1.0||0.25||||||X|
AH1718204|CR|14034DEF1F3E4D8CE043814FD8814D8C|1.0||0.25||||||R|
AH2092704|CD|14034DEF1D324D8CE043814FD8814D8C|1.0||0.5||0.1|0.04|||X|
AH2092704|CR|14034DEF1D334D8CE043814FD8814D8C|1.0||0.5||0.1|0.04|||R|
AI2817804|CD|14034DEF1F034D8CE043814FD8814D8C|1.0||0.25||||||X|
AI2817804|CR|14034DEF1F044D8CE043814FD8814D8C|1.0||0.25||||||R|
AI4908304|CD|14034DEF1AE04D8CE043814FD8814D8C|1.0||1.25|1.0|||||X|
AI4908304|CR|14034DEF1AE14D8CE043814FD8814D8C|1.0||1.25|1.0|||||R|
AI5597204|CD|14034DEF1DEF4D8CE043814FD8814D8C|1.0||0.25|0.1|||||X|
AI5597204|CR|14034DEF1DF04D8CE043814FD8814D8C|1.0||0.25|0.1|||||R|
AI8766804|CD|14034DEF1FB04D8CE043814FD8814D8C|1.0||2.25|0.5|||||X|
AI8766804|CR|14034DEF1FB14D8CE043814FD8814D8C|1.0||2.25|0.5|||||R|
AJ0019904|CD|14034DEF1C244D8CE043814FD8814D8C|1.0||0.5|0.2|0.1||||X|
AJ0019904|CR|14034DEF1C254D8CE043814FD8814D8C|1.0||0.5|0.2|0.1||||R|
