fdoc_nbr|fdoc_typ_cd|obj_id|ver_nbr|fdoc_100_dlr_amt|fdoc_50_dlr_amt|fdoc_20_dlr_amt|fdoc_10_dlr_amt|fdoc_5_dlr_amt|fdoc_2_dlr_amt|fdoc_1_dlr_amt|fdoc_othr_dlr_amt|cshr_stat_cd|
AA4377704|CD|13EDF61011C34072E043814FD8814072|1.0|||240.0||5.0||2.0||X|
AA4377704|CR|13EDF61011C44072E043814FD8814072|1.0|||240.0||5.0||2.0||R|
AA4870404|CD|13EDF61010394072E043814FD8814072|1.0|100.0||1560.0|230.0|110.0||72.0||X|
AA4870404|CR|13EDF610103A4072E043814FD8814072|1.0|100.0||1560.0|230.0|110.0||72.0||R|
AB2632004|CD|13EDF6100DED4072E043814FD8814072|1.0|100.0||1320.0|110.0|90.0||109.0||X|
AB2632004|CR|13EDF6100DEE4072E043814FD8814072|1.0|100.0||1320.0|110.0|90.0||109.0||R|
AB2760104|CD|13EDF61012124072E043814FD8814072|1.0|||60.0||5.0||3.0||X|
AB2760104|CR|13EDF61012134072E043814FD8814072|1.0|||60.0||5.0||3.0||R|
AC1322404|CD|13EDF6100F984072E043814FD8814072|1.0|||80.0|20.0|30.0||48.0||X|
AC1322404|CR|13EDF6100F994072E043814FD8814072|1.0|||80.0|20.0|30.0||48.0||R|
AD6131804|CD|13EDF61017644072E043814FD8814072|1.0|100.0||1560.0|110.0|105.0||64.0||X|
AD6131804|CR|13EDF61017654072E043814FD8814072|1.0|100.0||1560.0|110.0|105.0||64.0||R|
AD6868604|CD|13EDF61012064072E043814FD8814072|1.0|||340.0|180.0|45.0||22.0||X|
AD6868604|CR|13EDF61012074072E043814FD8814072|1.0|||340.0|180.0|45.0||22.0||R|
AE2229804|CD|13EDF61013364072E043814FD8814072|1.0|||960.0|230.0|60.0||20.0||X|
AE2229804|CR|13EDF61013374072E043814FD8814072|1.0|||960.0|230.0|60.0||20.0||R|
AF4860704|CD|13EDF61017B64072E043814FD8814072|1.0||50.0|160.0||10.0||4.0||X|
AF4860704|CR|13EDF61017B74072E043814FD8814072|1.0||50.0|160.0||10.0||4.0||R|
AG4585904|CD|13EDF61010534072E043814FD8814072|1.0|||||15.0||2.0||X|
AG4585904|CR|13EDF61010544072E043814FD8814072|1.0|||||15.0||2.0||R|
AG5101804|CD|13EDF6100CC64072E043814FD8814072|1.0||||10.0|||3.0||X|
AG5101804|CR|13EDF6100CC74072E043814FD8814072|1.0||||10.0|||3.0||R|
AH1718204|CD|13EDF61011594072E043814FD8814072|1.0|||80.0||5.0||1.0||X|
AH1718204|CR|13EDF610115A4072E043814FD8814072|1.0|||80.0||5.0||1.0||R|
