dv_exp_cd|obj_id|ver_nbr|dv_exp_nm|dv_exp_prpy_ind|row_actv_ind|fin_object_cd|
A|058AB8145A459D3CE043814FD8819D3C|1.0|AIRFARE|N|Y|6000|
AL|BD96AA2416475898E040540A5EFD3A74|1.0|Alcohol|N|Y|6000|
EL|BD96AA2416465898E040540A5EFD3A74|1.0|Light refreshments|N|Y|6000|
HB|BD96AA24163B5898E040540A5EFD3A74|1.0|Breakfast|N|Y|6000|
HD|BD96AA24163D5898E040540A5EFD3A74|1.0|Dinner|N|Y|6000|
HL|BD96AA24163C5898E040540A5EFD3A74|1.0|Lunch|N|Y|6000|
L|058AB8145A469D3CE043814FD8819D3C|1.0|LODGING|N|Y|6100|
M|058AB8145A479D3CE043814FD8819D3C|1.0|MOVING EQUIPMENT|N|Y|5070|
MD|BD96AA2416435898E040540A5EFD3A74|1.0|Domestic storage over 30d|N|Y|6000|
MF|BD96AA2416415898E040540A5EFD3A74|1.0|Final move meals|N|Y|6000|
MH|BD96AA24163E5898E040540A5EFD3A74|1.0|House hunting costs|N|Y|6000|
MI|BD96AA2416445898E040540A5EFD3A74|1.0|International storage|N|Y|6000|
ML|BD96AA2416405898E040540A5EFD3A74|1.0|Living allowances|N|Y|6000|
MM|BD96AA2416425898E040540A5EFD3A74|1.0|Mileage allowed per mile|N|Y|6000|
MO|BD96AA2416455898E040540A5EFD3A74|1.0|Misc. Expense|N|Y|6000|
MT|BD96AA24163F5898E040540A5EFD3A74|1.0|Temporary living|N|Y|6000|
O|058AB8145A489D3CE043814FD8819D3C|1.0|OTHER|N|Y|5055|
PA|40516E35-53E5-35AF-B920-242BFDDC6736|2.0|PREPAID AIRFARE|Y|Y|6000|
PC|058AB8145A4A9D3CE043814FD8819D3C|1.0|CONFERENCE REGISTRATION|Y|Y|4013|
PL|058AB8145A4B9D3CE043814FD8819D3C|1.0|PREPAID LODGING|Y|Y|6000|
PM|058AB8145A4C9D3CE043814FD8819D3C|1.0|PREPAID MOVING RENTAL|Y|Y|5070|
PO|058AB8145A4D9D3CE043814FD8819D3C|1.0|PREPAID OTHER|Y|Y|5055|
PR|058AB8145A4E9D3CE043814FD8819D3C|1.0|PREPAID AUTO RENTAL|Y|Y|5055|
PT|058AB8145A4F9D3CE043814FD8819D3C|1.0|PREPAID TAXI/LIMO SERVICE|Y|Y|5055|
R|058AB8145A509D3CE043814FD8819D3C|1.0|AUTOMOBILE RENTAL|N|Y|5055|
ST|BD96AA2416485898E040540A5EFD3A74|1.0|Show Tickets|N|Y|6000|
T|058AB8145A519D3CE043814FD8819D3C|1.0|TAXI/LIMOSINE SERVICE|N|Y|6000|
