univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fin_balance_typ_cd|fin_obj_typ_cd|acln_annl_bal_amt|fin_beg_bal_ln_amt|contr_gr_bb_ac_amt|mo1_acct_ln_amt|mo2_acct_ln_amt|mo3_acct_ln_amt|mo4_acct_ln_amt|mo5_acct_ln_amt|mo6_acct_ln_amt|mo7_acct_ln_amt|mo8_acct_ln_amt|mo9_acct_ln_amt|mo10_acct_ln_amt|mo11_acct_ln_amt|mo12_acct_ln_amt|mo13_acct_ln_amt|timestamp|
2009.0|BA|6044900|-----|1464|---|AC|IC|3445.08|0.0|0.0|161.5|1707.03|1576.55|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|42566.21|0.0|0.0|4504.55|4977.25|33084.41|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1464|---|BB|IN|0.0|230000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1464|---|CB|IN|0.0|230000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|-82990.9|0.0|0.0|-188038.25|46874.89|58172.46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IN|191.0|0.0|0.0|40.0|116.0|35.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1466|---|BB|IN|0.0|2000000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1466|---|CB|IN|0.0|2000000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1468|---|AC|IC|58914.57|0.0|0.0|-37842.73|54195.0|42562.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1468|---|BB|IN|0.0|550000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1468|---|CB|IN|0.0|550000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1470|---|AC|IC|295.25|0.0|0.0|25.25|223.75|46.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1470|---|AC|IN|3518.81|0.0|0.0|712.25|1010.25|1796.31|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1470|---|BB|IN|0.0|11000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1470|---|CB|IN|0.0|11000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1471|---|AC|IC|38203.25|0.0|0.0|1433.0|2532.5|34237.75|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1471|---|AC|IN|9504.05|0.0|0.0|1864.25|1340.3|6299.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1471|---|BB|IN|0.0|115000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1471|---|CB|IN|0.0|115000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1472|---|AC|IN|26664.56|0.0|0.0|10218.46|4300.05|12146.05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1472|---|BB|IN|0.0|120000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1472|---|CB|IN|0.0|120000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1475|---|AC|IC|2604.75|0.0|0.0|202.0|1425.5|977.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1475|---|AC|IN|30522.4|0.0|0.0|5405.75|3317.3|21799.35|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1475|---|BB|IN|0.0|185000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1475|---|CB|IN|0.0|185000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1500|---|AC|IN|-9.83|0.0|0.0|0.0|-9.83|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1598|---|AC|IC|-80.0|0.0|0.0|0.0|0.0|-80.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1598|RE|AC|IC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1599|---|AC|IC|-1699.68|0.0|0.0|-1599.68|-100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
2009.0|BA|6044900|-----|1599|---|AC|IN|2970.28|0.0|0.0|1658.68|0.0|1311.6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20060914000000|
