univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fin_balance_typ_cd|fdoc_typ_cd|fs_origin_cd|fdoc_nbr|trn_encum_desc|trn_encum_dt|acln_encum_amt|acln_encum_cls_amt|acln_encum_prg_cd|timestamp|
2009.0|BA|6044900|-----|4052|---|EX|EXEN|02|102020115|Description Hidden|20030728000000|44.5|0.0| |20060914000000|
2009.0|BA|6044900|-----|4078|---|EX|EXEN|02|109070143|Description Hidden|20030728000000|1900.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4100|---|EX|EXEN|02|122040045|Description Hidden|20030728000000|600.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4100|---|EX|EXEN|02|123050016|Description Hidden|20030728000000|788.62|0.0| |20060914000000|
2009.0|BA|6044900|-----|4100|---|EX|EXEN|02|123050017|Description Hidden|20030728000000|1875.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4100|---|EX|EXEN|02|175090028|Description Hidden|20030728000000|-20.22|0.0| |20060914000000|
2009.0|BA|6044900|-----|4100|---|EX|EXEN|02|212090042|Description Hidden|20030728000000|195.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4520|---|EX|EXEN|02|223010009|Description Hidden|20030728000000|3887.7|0.0| |20060914000000|
2009.0|BA|6044900|-----|4520|---|EX|EXEN|02|223010017|Description Hidden|20030728000000|3760.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4616|---|EX|EXEN|02|270110219|Description Hidden|20030728000000|1000.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4617|---|EX|EXEN|02|122030060|Description Hidden|20030728000000|110.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4618|---|EX|EXEN|02|103070246|Description Hidden|20030728000000|1182.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|122020074|Description Hidden|20030728000000|875.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|171050188|Description Hidden|20030728000000|45.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|173060110|Description Hidden|20030728000000|-9.12|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|213050059|Description Hidden|20030728000000|1500.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|213070110|Description Hidden|20030728000000|567.56|0.0| |20060914000000|
2009.0|BA|6044900|-----|4700|---|EX|EXEN|02|215070046|Description Hidden|20030728000000|-418.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4906|---|EX|EXEN|02|123071306|Description Hidden|20030728000000|2054.39|0.0| |20060914000000|
2009.0|BA|6044900|-----|4910|---|EX|EXEN|02|173060062|Description Hidden|20030728000000|1432.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|4910|---|EX|EXEN|02|173060066|Description Hidden|20030728000000|386.08|0.0| |20060914000000|
2009.0|BA|6044900|-----|5000|---|EX|EXEN|02|271050223|Description Hidden|20030728000000|1450.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|5200|---|EX|EXEN|02|123020014|Description Hidden|20030728000000|3375.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|5200|---|EX|EXEN|02|123020018|Description Hidden|20030728000000|250.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|5200|---|EX|EXEN|02|262040048|Description Hidden|20030728000000|158.0|0.0| |20060914000000|
2009.0|BA|6044900|-----|5215|---|EX|EXEN|02|278060506|Description Hidden|20030728000000|-8789.46|0.0| |20060914000000|
2009.0|BA|6044900|-----|7015|---|EX|EXEN|02|270110219|Description Hidden|20030728000000|119.4|0.0| |20060914000000|
2009.0|BA|6044900|-----|7015|---|EX|EXEN|02|273100054|Description Hidden|20030728000000|106.23|0.0| |20060914000000|
2009.0|BA|6044900|-----|7015|---|EX|EXEN|02|278060506|Description Hidden|20030728000000|-10020.82|0.0| |20060914000000|
2009.0|BA|6044906|-----|1503|---|EX|EXEN|02|129040083|Description Hidden|20030728000000|-127.64|0.0| |20060914000000|
2009.0|BA|6044906|-----|4100|---|EX|EXEN|02|178030182|Description Hidden|20030728000000|-24.69|0.0| |20060914000000|
2009.0|BA|6044906|-----|4700|---|EX|EXEN|02|125010059|Description Hidden|20030728000000|-42.0|0.0| |20060914000000|
2009.0|BA|6044906|-----|5000|---|EX|EXEN|02|910205053|Description Hidden|20030728000000|52.0|0.0| |20060914000000|
2009.0|BA|9019996|-----|7468|---|EX|EXEN|02|223020020|Description Hidden|20030728000000|3412.74|0.0| |20060914000000|
