univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fin_balance_typ_cd|fin_obj_typ_cd|univ_fiscal_prd_cd|fdoc_typ_cd|fs_origin_cd|fdoc_nbr|trn_entr_seq_nbr|trn_ldgr_entr_desc|trn_ldgr_entr_amt|trn_debit_crdt_cd|transaction_dt|org_doc_nbr|project_cd|org_reference_id|fdoc_ref_typ_cd|fs_ref_origin_cd|fdoc_ref_nbr|fdoc_reversal_dt|trn_encum_updt_cd|trn_post_dt|timestamp|
2009.0|BA|6044900|-----|1464|---|AC|IC|01|AVAE|02|JV2460504|1.0|Description Hidden|161.5|C|20030819000000||----------|| | | |20080701000000| |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IC|02|AVAD|02|QX5908104|1.0|Description Hidden|232.76|C|20030902000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IC|02|AVAD|02|ZY5911704|1.0|Description Hidden|465.52|C|20030902000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IC|02|AVAE|02|QE1107404|1.0|Description Hidden|1008.75|C|20030919000000||----------|| | | |20080701000000| |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IC|03|AVAE|02|YA8596304|1.0|Description Hidden|1576.55|C|20031020000000||----------|| | | |20080701000000| |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|AR4098804|1.0|Description Hidden|345.0|C|20030711000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|AR7971704|1.0|Description Hidden|122.5|C|20030729000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|BF4953204|1.0|Description Hidden|215.5|C|20030716000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|EC4661004|1.0|Description Hidden|164.75|C|20030715000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|HX8575304|1.0|Description Hidden|135.75|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|IG2456604|1.0|Description Hidden|164.75|C|20030702000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|IO5312504|1.0|Description Hidden|187.5|C|20030717000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|JL4370404|1.0|Description Hidden|177.75|C|20030714000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|JN5673704|1.0|Description Hidden|338.75|C|20030718000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|KA6780904|1.0|Description Hidden|289.0|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|OA7678904|1.0|Description Hidden|149.75|C|20030729000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|OT3451904|1.0|Description Hidden|136.75|C|20030709000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|SQ3825104|1.0|Description Hidden|174.0|C|20030710000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|TE8290004|1.0|Description Hidden|133.75|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|TW5972004|1.0|Description Hidden|158.0|C|20030718000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|TX6505704|1.0|Description Hidden|172.5|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|UC7386904|1.0|Description Hidden|320.75|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|WX2816604|1.0|Description Hidden|242.25|C|20030703000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|XO6248704|1.0|Description Hidden|192.5|C|20030721000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|YK3126204|1.0|Description Hidden|191.3|C|20030707000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|YN2018103|1.0|Description Hidden|125.25|C|20030702000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|YP8856804|1.0|Description Hidden|117.75|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|01|CR|02|YV7097604|1.0|Description Hidden|248.75|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|AK1550904|1.0|Description Hidden|272.75|C|20030814000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|AX9156504|1.0|Description Hidden|161.5|C|20030805000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|AZ3660104|1.0|Description Hidden|242.25|C|20030822000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|BD0308204|1.0|Description Hidden|152.25|C|20030808000000||----------|| | | || |20060914000000|20060914000000|
