univ_fiscal_yr|fin_coa_cd|account_nbr|fin_object_cd|acct_sf_cd|curr_bdgt_bal_amt|acct_actl_xpnd_amt|acct_encum_amt|timestamp|
2009.0|BL|0211101|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211102|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211103|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211104|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211105|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211106|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211107|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211108|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211109|GENX|C|0.0|154.65|4469.01||
2009.0|BL|0211201|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211201|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211201|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211201|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211202|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211202|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211202|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211202|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211203|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211203|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211203|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211203|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211204|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211204|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211204|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211204|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211205|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211205|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211205|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211205|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211206|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211206|GENX|C|0.0|621563.05|309266.0||
2009.0|BL|0211206|IDEX|C|0.0|74658.26|0.0||
2009.0|BL|0211206|TRVL|C|0.0|42127.25|0.0||
2009.0|BL|0211207|CMPN|C|0.0|74597.76|0.0||
2009.0|BL|0211207|GENX|C|0.0|621563.05|309266.0||
