nmspc_cd|cmpnt_cd|obj_id|ver_nbr|nm|actv_ind|
KFS-AR|All|KFS1|1.0|All|Y|
KFS-AR|Batch|KFS2|1.0|Batch|Y|
KFS-AR|Document|KFS3|1.0|Document|Y|
KFS-AR|Lookup|KFS4|1.0|Lookup|Y|
KFS-BC|All|KFS5|1.0|All|Y|
KFS-BC|Batch|KFS6|1.0|Batch|Y|
KFS-BC|Document|KFS7|1.0|Document|Y|
KFS-BC|Lookup|KFS8|1.0|Lookup|Y|
KFS-CAB|All|KFS9|1.0|All|Y|
KFS-CAB|Batch|KFS10|1.0|Batch|Y|
KFS-CAB|Document|KFS11|1.0|Document|Y|
KFS-CAB|Lookup|KFS12|1.0|Lookup|Y|
KFS-CAM|All|KFS13|1.0|All|Y|
KFS-CAM|Batch|KFS14|1.0|Batch|Y|
KFS-CAM|Document|KFS15|1.0|Document|Y|
KFS-CAM|Lookup|KFS16|1.0|Lookup|Y|
KFS-CG|All|KFS17|1.0|All|Y|
KFS-CG|Batch|KFS18|1.0|Batch|Y|
KFS-CG|Document|KFS19|1.0|Document|Y|
KFS-CG|Lookup|KFS20|1.0|Lookup|Y|
KFS-COA|All|KFS21|1.0|All|Y|
KFS-COA|Batch|KFS22|1.0|Batch|Y|
KFS-COA|Document|KFS23|1.0|Document|Y|
KFS-COA|Lookup|KFS24|1.0|Lookup|Y|
KFS-EC|All|KFS25|1.0|All|Y|
KFS-EC|Batch|KFS26|1.0|Batch|Y|
KFS-EC|Document|KFS27|1.0|Document|Y|
KFS-EC|Lookup|KFS28|1.0|Lookup|Y|
KFS-ENDOW|All|KFS29|1.0|All|Y|
KFS-ENDOW|Batch|KFS30|1.0|Batch|Y|
KFS-ENDOW|Document|KFS31|1.0|Document|Y|
KFS-ENDOW|Lookup|KFS32|1.0|Lookup|Y|
KFS-FP|All|KFS33|1.0|All|Y|
KFS-FP|Batch|KFS34|1.0|Batch|Y|
KFS-FP|Document|KFS35|1.0|Document|Y|
KFS-FP|Lookup|KFS36|1.0|Lookup|Y|
