doc_typ_attrib_id|doc_typ_id|rule_attr_id|ord_indx|
2000|2023|1003|1.0|
2001|2023|1006|2.0|
2002|2023|1004|3.0|
2003|2023|1007|4.0|
2004|2023|1005|5.0|
2005|2023|1008|6.0|
2006|2023|1009|7.0|
2007|2024|1003|1.0|
2010|3008|1646|1.0|
2011|3008|1645|2.0|
2012|3312|1648|1.0|
2013|3312|1647|2.0|
2014|3316|1648|1.0|
2015|3316|1647|2.0|
2016|3316|1649|3.0|
2017|3385|1646|1.0|
2018|3385|1651|2.0|
2019|3391|1646|1.0|
2020|3391|1652|2.0|
2021|3405|1646|1.0|
2022|3405|1654|2.0|
2023|3418|1646|1.0|
2024|3418|1656|2.0|
