doc_typ_id|doc_plcy_nm|plcy_nm|ver_nbr|obj_id|plcy_val|
2024|DEFAULT_APPROVE|1.0|1.0|61BA2DCF3BE658EEE0404F8189D80CAE||
2024|LOOK_FUTURE|1.0|1.0|61BA2DCF3BE758EEE0404F8189D80CAE||
2680|DEFAULT_APPROVE|1.0|3.0|61BA2DCF3BE858EEE0404F8189D80CAE||
2680|LOOK_FUTURE|1.0|3.0|61BA2DCF3BE958EEE0404F8189D80CAE||
3315|DOCUMENT_STATUS_POLICY|1.0|1.0|f7b47d6a-67fd-42a0-8f4c-bbe71d1d50f3|APP|
3316|DOCUMENT_STATUS_POLICY|1.0|9.0|ef28f7d2-613e-4f73-884a-a6db1a0d6bc0|APP|
3317|DOCUMENT_STATUS_POLICY|1.0|1.0|b1b7ed16-0c8c-4b2f-aff8-1d34c64b699d|APP|
3318|DOCUMENT_STATUS_POLICY|1.0|1.0|9bf166b1-a6f8-43b7-854e-63df27246302|APP|
3319|DOCUMENT_STATUS_POLICY|1.0|1.0|69cb996b-b510-405f-9a50-17cd8a5f88b4|APP|
3320|DOCUMENT_STATUS_POLICY|1.0|1.0|98c0ad5a-ce38-4103-9731-ac97414f095a|APP|
3321|DOCUMENT_STATUS_POLICY|1.0|1.0|ecf6a444-5975-4517-ad30-8934cbad5624|APP|
3322|DOCUMENT_STATUS_POLICY|1.0|1.0|389ce850-e7f5-4dda-93cb-81e17ae2e254|APP|
3323|DOCUMENT_STATUS_POLICY|1.0|1.0|56a20e85-f0c7-492e-b457-a47fbcb5daab|APP|
3324|DOCUMENT_STATUS_POLICY|1.0|1.0|56003ffc-d738-4d8d-8211-3666a74c708b|APP|
3326|DOCUMENT_STATUS_POLICY|1.0|1.0|71679d76-6423-4b8a-80cf-aa34c7fd04f7|APP|
3327|DOCUMENT_STATUS_POLICY|1.0|1.0|d9ca8b93-baba-4836-b678-8175098c60de|APP|
3330|DOCUMENT_STATUS_POLICY|1.0|1.0|04d085ca-96e6-4288-8231-ef2e45a07fb6|APP|
3383|DOCUMENT_STATUS_POLICY|1.0|1.0|5a20c420-98e5-4b6b-aaf5-8bfd11a0da23|APP|
3385|DEFAULT_APPROVE|1.0|2.0|22fc0ec1-9f14-4379-b61a-32bb8d82b4be||
3385|DOCUMENT_STATUS_POLICY|1.0|2.0|b673f070-504b-46fb-8322-dc07ec8abc55|APP|
3391|DEFAULT_APPROVE|1.0|4.0|617a4eec-7bb1-4aa1-b453-b88e33bcd322||
3391|DOCUMENT_STATUS_POLICY|1.0|4.0|f9f7224a-66aa-4d02-98ca-c21ba6869ec6|APP|
3405|DEFAULT_APPROVE|0.0|1.0|4081bc49-af0c-41ea-a5ad-378225024795||
3405|DOCUMENT_STATUS_POLICY|1.0|1.0|314a9bf8-d151-44fc-b252-abd4435c0b4c|APP|
3406|DOCUMENT_STATUS_POLICY|1.0|1.0|06bbf0a9-770d-4b5a-a718-01c4770a95af|APP|
3418|DEFAULT_APPROVE|1.0|1.0|764e5bdd-6814-464a-8eed-a3cfde6600bc||
3418|DOCUMENT_STATUS_POLICY|1.0|1.0|2d17c98c-745d-4c81-b145-c66dbf90febb|APP|
