entity_afltn_id|obj_id|ver_nbr|entity_id|afltn_typ_cd|campus_cd|dflt_ind|actv_ind|last_updt_dt|
KFS1000|KFS1000|1.0|KFS1000|STAFF|IN|Y|Y|20121207232958|
KFS1001|KFS1001|1.0|KFS1001|STAFF|BL|Y|Y|20121207232958|
KFS1002|KFS1002|1.0|KFS1002|STAFF|IN|Y|Y|20121207232958|
KFS1003|KFS1003|1.0|KFS1003|STAFF|IN|Y|Y|20121207232958|
KFS1004|KFS1004|1.0|KFS1004|STAFF|IN|Y|Y|20121207232958|
KFS1005|KFS1005|1.0|KFS1005|STAFF|BL|Y|Y|20121207232958|
KFS1006|KFS1006|1.0|KFS1006|STAFF|BL|Y|Y|20121207232958|
KFS1007|KFS1007|1.0|KFS1007|STAFF|BL|Y|Y|20121207232958|
KFS1008|KFS1008|1.0|KFS1008|STAFF|BL|Y|Y|20121207232958|
KFS1009|KFS1009|1.0|KFS1009|STAFF|BL|Y|Y|20121207232958|
KFS1010|KFS1010|1.0|KFS1010|STAFF|BL|Y|Y|20121207232958|
KFS1011|KFS1011|1.0|KFS1011|STAFF|BL|Y|Y|20121207232958|
KFS1012|KFS1012|1.0|KFS1012|STAFF|BL|Y|Y|20121207232958|
KFS1013|KFS1013|1.0|KFS1013|STAFF|BL|Y|Y|20121207232958|
KFS1014|KFS1014|1.0|KFS1014|STAFF|BL|Y|Y|20121207232958|
KFS1015|KFS1015|1.0|KFS1015|STAFF|BL|Y|Y|20121207232958|
KFS1016|KFS1016|1.0|KFS1016|STAFF|BL|Y|Y|20121207232958|
KFS1017|KFS1017|1.0|KFS1017|STAFF|BL|Y|Y|20121207232958|
KFS1018|KFS1018|1.0|KFS1018|STAFF|BL|Y|Y|20121207232958|
KFS1019|KFS1019|1.0|KFS1019|STAFF|BL|Y|Y|20121207232958|
KFS1020|KFS1020|1.0|KFS1020|STAFF|BL|Y|Y|20121207232958|
KFS1021|KFS1021|1.0|KFS1021|STAFF|BL|Y|Y|20121207232958|
KFS1022|KFS1022|1.0|KFS1022|STAFF|BL|Y|Y|20121207232958|
KFS1023|KFS1023|1.0|KFS1023|STAFF|BL|Y|Y|20121207232958|
KFS1024|KFS1024|1.0|KFS1024|STAFF|BL|Y|Y|20121207232958|
KFS1025|KFS1025|1.0|KFS1025|STAFF|BL|Y|Y|20121207232958|
