ent_typ_cd|entity_id|obj_id|ver_nbr|actv_ind|last_updt_dt|
PERSON|1100|5B97C50B03E06110E0404F8189D85213|1.0|Y|20081113140649|
PERSON|1131|5B97C50B03FF6110E0404F8189D85213|1.0|Y|20081113140654|
PERSON|KFS1000|KFS1000-PERSON|1.0|Y|20121207232955|
PERSON|KFS1001|KFS1001-PERSON|1.0|Y|20121207232956|
PERSON|KFS1002|KFS1002-PERSON|1.0|Y|20121207232956|
PERSON|KFS1003|KFS1003-PERSON|1.0|Y|20121207232956|
PERSON|KFS1004|KFS1004-PERSON|1.0|Y|20121207232956|
PERSON|KFS1005|KFS1005-PERSON|1.0|Y|20121207232956|
PERSON|KFS1006|KFS1006-PERSON|1.0|Y|20121207232956|
PERSON|KFS1007|KFS1007-PERSON|1.0|Y|20121207232956|
PERSON|KFS1008|KFS1008-PERSON|1.0|Y|20121207232956|
PERSON|KFS1009|KFS1009-PERSON|1.0|Y|20121207232956|
PERSON|KFS1010|KFS1010-PERSON|1.0|Y|20121207232956|
PERSON|KFS1011|KFS1011-PERSON|1.0|Y|20121207232956|
PERSON|KFS1012|KFS1012-PERSON|1.0|Y|20121207232956|
PERSON|KFS1013|KFS1013-PERSON|1.0|Y|20121207232956|
PERSON|KFS1014|KFS1014-PERSON|1.0|Y|20121207232956|
PERSON|KFS1015|KFS1015-PERSON|1.0|Y|20121207232956|
PERSON|KFS1016|KFS1016-PERSON|1.0|Y|20121207232956|
PERSON|KFS1017|KFS1017-PERSON|1.0|Y|20121207232956|
PERSON|KFS1018|KFS1018-PERSON|1.0|Y|20121207232956|
PERSON|KFS1019|KFS1019-PERSON|1.0|Y|20121207232956|
PERSON|KFS1020|KFS1020-PERSON|1.0|Y|20121207232956|
PERSON|KFS1021|KFS1021-PERSON|1.0|Y|20121207232956|
PERSON|KFS1022|KFS1022-PERSON|1.0|Y|20121207232956|
PERSON|KFS1023|KFS1023-PERSON|1.0|Y|20121207232956|
PERSON|KFS1024|KFS1024-PERSON|1.0|Y|20121207232956|
PERSON|KFS1025|KFS1025-PERSON|1.0|Y|20121207232956|
PERSON|KFS1026|KFS1026-PERSON|1.0|Y|20121207232956|
PERSON|KFS1027|KFS1027-PERSON|1.0|Y|20121207232956|
PERSON|KFS1028|KFS1028-PERSON|1.0|Y|20121207232956|
PERSON|KFS1029|KFS1029-PERSON|1.0|Y|20121207232956|
PERSON|KFS1030|KFS1030-PERSON|1.0|Y|20121207232956|
PERSON|KFS1031|KFS1031-PERSON|1.0|Y|20121207232956|
PERSON|KFS1032|KFS1032-PERSON|1.0|Y|20121207232956|
PERSON|KFS1033|KFS1033-PERSON|1.0|Y|20121207232956|
PERSON|KFS1035|KFS1035-PERSON|1.0|Y|20121207232956|
PERSON|KFS1036|KFS1036-PERSON|1.0|Y|20121207232956|
PERSON|KFS1037|KFS1037-PERSON|1.0|Y|20121207232956|
PERSON|KFS1038|KFS1038-PERSON|1.0|Y|20121207232956|
PERSON|KFS1039|KFS1039-PERSON|1.0|Y|20121207232956|
PERSON|KFS1040|KFS1040-PERSON|1.0|Y|20121207232956|
PERSON|KFS1041|KFS1041-PERSON|1.0|Y|20121207232956|
PERSON|KFS1042|KFS1042-PERSON|1.0|Y|20121207232956|
PERSON|KFS1043|KFS1043-PERSON|1.0|Y|20121207232956|
PERSON|KFS1044|KFS1044-PERSON|1.0|Y|20121207232956|
PERSON|KFS1045|KFS1045-PERSON|1.0|Y|20121207232956|
PERSON|KFS1046|KFS1046-PERSON|1.0|Y|20121207232956|
PERSON|KFS1047|KFS1047-PERSON|1.0|Y|20121207232956|
PERSON|KFS1048|KFS1048-PERSON|1.0|Y|20121207232956|
PERSON|KFS1049|KFS1049-PERSON|1.0|Y|20121207232956|
PERSON|KFS1050|KFS1050-PERSON|1.0|Y|20121207232956|
PERSON|KFS1052|KFS1052-PERSON|1.0|Y|20121207232956|
PERSON|KFS1053|KFS1053-PERSON|1.0|Y|20121207232956|
PERSON|KFS1054|KFS1054-PERSON|1.0|Y|20121207232956|
PERSON|KFS1055|KFS1055-PERSON|1.0|Y|20121207232956|
PERSON|KFS1056|KFS1056-PERSON|1.0|Y|20121207232956|
PERSON|KFS1057|KFS1057-PERSON|1.0|Y|20121207232956|
PERSON|KFS1058|KFS1058-PERSON|1.0|Y|20121207232956|
PERSON|KFS1059|KFS1059-PERSON|1.0|Y|20121207232956|
PERSON|KFS1060|KFS1060-PERSON|1.0|Y|20121207232956|
PERSON|KFS1061|KFS1061-PERSON|1.0|Y|20121207232956|
PERSON|KFS1062|KFS1062-PERSON|1.0|Y|20121207232956|
