role_mbr_id|ver_nbr|obj_id|role_id|mbr_id|mbr_typ_cd|actv_frm_dt|actv_to_dt|last_updt_dt|
1282|1.0|5B4B421E43857717E0404F8189D821F7|90|1|P|||20090821035251|
1283|1.0|D0B057F8E7B949EFA94AE8CDA47DE41B|63|admin|P|||20081208124941|
1284|1.0|B7DBFABEFD2E8CBFE0402E0AA9D757C9|98|admin|P|||20120131160404|
KFS1|1.0|KFS1|54|3898405507|P|||20121207233025|
KFS10|1.0|KFS10|54|3098006714|P|||20121207233025|
KFS100|1.0|KFS100|54|4965200876|P|||20121207233025|
KFS1000|1.0|KFS1000|26|A000000010|P|||20121207233024|
KFS1001|1.0|KFS1001|26|C000000006|P|||20121207233024|
KFS1002|1.0|KFS1002|26|C000000007|P|||20121207233024|
KFS1003|1.0|KFS1003|26|C000000008|P|||20121207233024|
KFS1004|1.0|KFS1004|26|C000000009|P|||20121207233024|
KFS1005|1.0|KFS1005|26|C000000010|P|||20121207233024|
KFS1006|1.0|KFS1006|26|D000000006|P|||20121207233024|
KFS1007|1.0|KFS1007|26|D000000007|P|||20121207233024|
KFS1008|1.0|KFS1008|26|D000000008|P|||20121207233024|
KFS1009|1.0|KFS1009|26|D000000009|P|||20121207233024|
KFS101|1.0|KFS101|54|4287502068|P|||20121207233025|
KFS1010|1.0|KFS1010|26|D000000010|P|||20121207233024|
KFS1011|1.0|KFS1011|26|H000000006|P|||20121207233024|
KFS1012|1.0|KFS1012|26|H000000007|P|||20121207233024|
KFS1013|1.0|KFS1013|26|H000000008|P|||20121207233024|
KFS1014|1.0|KFS1014|26|H000000009|P|||20121207233024|
KFS1015|1.0|KFS1015|26|H000000010|P|||20121207233024|
KFS1016|1.0|KFS1016|26|I000000006|P|||20121207233024|
KFS1017|1.0|KFS1017|26|I000000007|P|||20121207233024|
KFS1018|1.0|KFS1018|26|I000000008|P|||20121207233025|
KFS1019|1.0|KFS1019|26|I000000009|P|||20121207233025|
KFS102|1.0|KFS102|54|1184605262|P|||20121207233025|
KFS1020|1.0|KFS1020|26|I000000010|P|||20121207233025|
KFS1021|1.0|KFS1021|26|M000000006|P|||20121207233025|
KFS1022|1.0|KFS1022|26|M000000007|P|||20121207233025|
KFS1023|1.0|KFS1023|26|M000000008|P|||20121207233025|
KFS1024|1.0|KFS1024|26|M000000009|P|||20121207233025|
KFS1025|1.0|KFS1025|26|M000000010|P|||20121207233025|
KFS1026|1.0|KFS1026|26|U000000006|P|||20121207233025|
KFS1027|1.0|KFS1027|26|U000000007|P|||20121207233025|
KFS1028|1.0|KFS1028|26|U000000008|P|||20121207233025|
KFS1029|1.0|KFS1029|26|U000000009|P|||20121207233025|
KFS103|1.0|KFS103|54|2329509434|P|||20121207233025|
KFS1030|1.0|KFS1030|26|U000000010|P|||20121207233025|
KFS1032|1.0|KFS1032|26|6219408423|P|||20121207233025|
KFS1034|1.0|KFS1034|29|5025501749|P|||20121207233025|
KFS1035|1.0|KFS1035|31|1312601202|P|||20121207233025|
KFS1036|1.0|KFS1036|34|2595106260|P|||20121207233025|
KFS1037|1.0|KFS1037|35|5267600242|P|||20121207233025|
KFS1038|1.0|KFS1038|35|2937208570|P|||20121207233025|
KFS1039|1.0|KFS1039|38|4936104131|P|||20121207233025|
KFS104|1.0|KFS104|54|3247002806|P|||20121207233025|
KFS1040|1.0|KFS1040|38|4663701472|P|||20121207233025|
KFS1041|1.0|KFS1041|38|3593407588|P|||20121207233025|
KFS1042|1.0|KFS1042|38|6162502038|P|||20121207233025|
KFS1043|1.0|KFS1043|38|2615708929|P|||20121207233025|
KFS1044|1.0|KFS1044|38|4553801458|P|||20121207233025|
KFS1045|1.0|KFS1045|38|2459709799|P|||20121207233025|
KFS1046|1.0|KFS1046|40|1959008511|P|||20121207233025|
KFS1047|1.0|KFS1047|40|3098006714|P|||20121207233025|
KFS1048|1.0|KFS1048|40|4189500212|P|||20121207233025|
KFS1049|1.0|KFS1049|40|3736906932|P|||20121207233025|
KFS105|1.0|KFS105|54|4205601851|P|||20121207233025|
KFS1050|1.0|KFS1050|40|5642104006|P|||20121207233025|
KFS1051|1.0|KFS1051|40|5430509566|P|||20121207233025|
KFS1052|1.0|KFS1052|40|5631302174|P|||20121207233025|
KFS1053|1.0|KFS1053|40|5335901264|P|||20121207233025|
KFS1054|1.0|KFS1054|40|2129506255|P|||20121207233025|
KFS1055|1.0|KFS1055|40|4664304215|P|||20121207233025|
KFS1056|1.0|KFS1056|40|4655304196|P|||20121207233025|
KFS1057|1.0|KFS1057|40|2691706557|P|||20121207233025|
KFS1058|1.0|KFS1058|40|2250505415|P|||20121207233025|
KFS1059|1.0|KFS1059|40|1308508136|P|||20121207233025|
KFS106|1.0|KFS106|54|3420502200|P|||20121207233025|
KFS1060|1.0|KFS1060|40|1769006523|P|||20121207233025|
KFS1061|1.0|KFS1061|40|1516803729|P|||20121207233025|
KFS1062|1.0|KFS1062|40|2753204360|P|||20121207233025|
KFS1063|1.0|KFS1063|40|6156606070|P|||20121207233025|
KFS1064|1.0|KFS1064|40|6012204256|P|||20121207233025|
KFS1065|1.0|KFS1065|40|2341000360|P|||20121207233025|
KFS1066|1.0|KFS1066|40|3546008326|P|||20121207233025|
KFS1067|1.0|KFS1067|40|6208601267|P|||20121207233025|
KFS1068|1.0|KFS1068|40|4965407189|P|||20121207233025|
KFS1069|1.0|KFS1069|40|5989900763|P|||20121207233025|
KFS107|1.0|KFS107|54|3909900391|P|||20121207233025|
KFS1070|1.0|KFS1070|40|1638600687|P|||20121207233025|
KFS1071|1.0|KFS1071|40|4146202628|P|||20121207233025|
KFS1072|1.0|KFS1072|40|6126708165|P|||20121207233025|
KFS1073|1.0|KFS1073|40|4766504540|P|||20121207233025|
KFS1074|1.0|KFS1074|40|2059604038|P|||20121207233025|
KFS1075|1.0|KFS1075|40|2580507812|P|||20121207233025|
KFS1076|1.0|KFS1076|40|4505504841|P|||20121207233025|
KFS1077|1.0|KFS1077|40|5873409408|P|||20121207233025|
KFS1078|1.0|KFS1078|40|1462106196|P|||20121207233025|
KFS1079|1.0|KFS1079|40|3373403412|P|||20121207233025|
KFS108|1.0|KFS108|54|1581207819|P|||20121207233025|
KFS1080|1.0|KFS1080|40|6050504460|P|||20121207233025|
KFS1081|1.0|KFS1081|40|4542806317|P|||20121207233025|
KFS1082|1.0|KFS1082|40|2659604340|P|||20121207233025|
KFS1083|1.0|KFS1083|40|1659405606|P|||20121207233025|
KFS1084|1.0|KFS1084|40|4879901673|P|||20121207233025|
KFS1085|1.0|KFS1085|40|4205601851|P|||20121207233025|
KFS1086|1.0|KFS1086|40|3728902353|P|||20121207233025|
KFS1087|1.0|KFS1087|40|1335003222|P|||20121207233025|
KFS1088|1.0|KFS1088|40|1210506984|P|||20121207233025|
KFS1089|1.0|KFS1089|40|6218206268|P|||20121207233025|
KFS109|1.0|KFS109|54|1469805442|P|||20121207233025|
KFS1090|1.0|KFS1090|40|4684100678|P|||20121207233025|
KFS1091|1.0|KFS1091|40|4693407610|P|||20121207233025|
KFS1092|1.0|KFS1092|40|3880605325|P|||20121207233025|
KFS1093|1.0|KFS1093|40|3908907565|P|||20121207233025|
KFS1094|1.0|KFS1094|40|5186100361|P|||20121207233025|
KFS1095|1.0|KFS1095|40|1533606607|P|||20121207233025|
KFS1096|1.0|KFS1096|40|3334505644|P|||20121207233025|
KFS1097|1.0|KFS1097|40|1463708773|P|||20121207233025|
KFS1098|1.0|KFS1098|40|5674104312|P|||20121207233025|
KFS1099|1.0|KFS1099|40|4878002324|P|||20121207233025|
KFS11|1.0|KFS11|54|4189500212|P|||20121207233025|
KFS110|1.0|KFS110|54|2591309555|P|||20121207233025|
KFS1100|1.0|KFS1100|40|5035908682|P|||20121207233025|
KFS1101|1.0|KFS1101|40|5790902739|P|||20121207233025|
KFS1102|1.0|KFS1102|40|5367103951|P|||20121207233025|
KFS1103|1.0|KFS1103|40|3889504703|P|||20121207233025|
KFS1104|1.0|KFS1104|40|2905707168|P|||20121207233025|
KFS1105|1.0|KFS1105|40|3620801617|P|||20121207233025|
KFS1106|1.0|KFS1106|40|1587202030|P|||20121207233025|
KFS1107|1.0|KFS1107|40|4374009622|P|||20121207233025|
KFS1108|1.0|KFS1108|40|4362904431|P|||20121207233025|
KFS1109|1.0|KFS1109|40|5919702911|P|||20121207233025|
KFS111|1.0|KFS111|54|2860009297|P|||20121207233025|
KFS1110|1.0|KFS1110|40|4763403483|P|||20121207233025|
KFS1111|1.0|KFS1111|40|4463509160|P|||20121207233025|
KFS1112|1.0|KFS1112|40|5758507907|P|||20121207233025|
KFS1113|1.0|KFS1113|40|1461200273|P|||20121207233025|
KFS1114|1.0|KFS1114|40|6094500409|P|||20121207233025|
KFS1115|1.0|KFS1115|40|5166508090|P|||20121207233025|
KFS1116|1.0|KFS1116|40|5334003983|P|||20121207233025|
KFS1117|1.0|KFS1117|40|4076302016|P|||20121207233025|
KFS1118|1.0|KFS1118|40|3381303865|P|||20121207233025|
KFS1119|1.0|KFS1119|40|3666809498|P|||20121207233025|
KFS112|1.0|KFS112|54|6065408755|P|||20121207233025|
KFS1120|1.0|KFS1120|40|3356000660|P|||20121207233025|
KFS1121|1.0|KFS1121|40|1689406108|P|||20121207233025|
KFS1122|1.0|KFS1122|40|1137304513|P|||20121207233025|
KFS1123|1.0|KFS1123|40|4446301330|P|||20121207233025|
KFS1124|1.0|KFS1124|40|4102006775|P|||20121207233025|
KFS1125|1.0|KFS1125|40|5026506974|P|||20121207233025|
KFS1126|1.0|KFS1126|40|5373008390|P|||20121207233025|
KFS1127|1.0|KFS1127|40|1306901621|P|||20121207233025|
KFS1128|1.0|KFS1128|40|5771807326|P|||20121207233025|
KFS1129|1.0|KFS1129|40|1811109385|P|||20121207233025|
KFS113|1.0|KFS113|54|4597402875|P|||20121207233025|
KFS1130|1.0|KFS1130|40|1297209262|P|||20121207233025|
KFS1131|1.0|KFS1131|40|2544403609|P|||20121207233025|
KFS1132|1.0|KFS1132|40|2112807392|P|||20121207233025|
KFS1133|1.0|KFS1133|40|2553103572|P|||20121207233025|
KFS1134|1.0|KFS1134|40|5053009758|P|||20121207233025|
KFS1135|1.0|KFS1135|40|4667608469|P|||20121207233025|
KFS1136|1.0|KFS1136|40|3012703100|P|||20121207233025|
KFS1137|1.0|KFS1137|40|1632009201|P|||20121207233025|
KFS1138|1.0|KFS1138|40|3072201870|P|||20121207233025|
KFS1139|1.0|KFS1139|40|1208309261|P|||20121207233025|
KFS114|1.0|KFS114|54|1545104915|P|||20121207233025|
KFS1140|1.0|KFS1140|40|2191200653|P|||20121207233025|
KFS1141|1.0|KFS1141|40|3229901916|P|||20121207233025|
KFS1142|1.0|KFS1142|40|1421900725|P|||20121207233025|
KFS1143|1.0|KFS1143|40|5184906417|P|||20121207233025|
KFS1144|1.0|KFS1144|40|2090102017|P|||20121207233025|
KFS1145|1.0|KFS1145|40|5366808694|P|||20121207233025|
KFS1146|1.0|KFS1146|40|1417202799|P|||20121207233025|
KFS1147|1.0|KFS1147|40|1736801902|P|||20121207233025|
KFS1148|1.0|KFS1148|40|1988505427|P|||20121207233025|
KFS1149|1.0|KFS1149|40|2035402366|P|||20121207233025|
KFS115|1.0|KFS115|54|1290503526|P|||20121207233025|
