role_rsp_id|obj_id|ver_nbr|role_id|rsp_id|actv_ind|
10000|KFS-TEM-ROLE-RSP-000|1.0|TEM-10000|10000|Y|
10001|KFS-TEM-ROLE-RSP-001|1.0|TEM-10001|10001|Y|
10002|KFS-TEM-ROLE-RSP-002|1.0|TEM-10002|10002|Y|
10003|KFS-TEM-ROLE-RSP-003|1.0|15|10003|Y|
10004|KFS-TEM-ROLE-RSP-004|1.0|TEM-10003|10004|Y|
10005|KFS-TEM-ROLE-RSP-005|1.0|TEM-10004|10005|Y|
10006|KFS-TEM-ROLE-RSP-006|1.0|TEM-10005|10006|Y|
10007|KFS-TEM-ROLE-RSP-007|1.0|50|10007|Y|
10008|KFS-TEM-ROLE-RSP-008|1.0|TEM-10010|10008|Y|
10009|KFS-TEM-ROLE-RSP-009|1.0|TEM-10000|10009|Y|
10010|KFS-TEM-ROLE-RSP-010|1.0|50|10010|Y|
10011|KFS-TEM-ROLE-RSP-011|1.0|TEM-10011|10011|Y|
10012|KFS-TEM-ROLE-RSP-012|1.0|TEM-10012|10012|Y|
10013|KFS-TEM-ROLE-RSP-013|1.0|50|10013|Y|
10014|KFS-TEM-ROLE-RSP-014|1.0|TEM-10014|10014|Y|
10015|KFS-TEM-ROLE-RSP-015|1.0|TEM-10000|10015|Y|
10016|KFS-TEM-ROLE-RSP-016|1.0|TEM-10004|10016|Y|
10017|KFS-TEM-ROLE-RSP-017|1.0|50|10017|Y|
10018|KFS-TEM-ROLE-RSP-018|1.0|TEM-10001|10018|Y|
10019|KFS-TEM-ROLE-RSP-019|1.0|15|10019|Y|
10020|KFS-TEM-ROLE-RSP-020|1.0|TEM-10014|10020|Y|
10021|KFS-TEM-ROLE-RSP-021|1.0|TEM-10005|10021|Y|
10022|KFS-TEM-ROLE-RSP-022|1.0|TEM-10005|10022|Y|
10023|KFS-TEM-ROLE-RSP-023|1.0|15|10023|Y|
10024|KFS-TEM-ROLE-RSP-024|1.0|41|10024|Y|
10025|KFS-TEM-ROLE-RSP-025|1.0|15|10025|Y|
10026|KFS-TEM-ROLE-RSP-026|1.0|41|10026|Y|
10027|KFS-TEM-ROLE-RSP-027|1.0|TEM-10005|10027|Y|
10028|KFS-TEM-ROLE-RSP-028|1.0|TEM-10005|10028|Y|
10029|KFS-TEM-ROLE-RSP-029|1.0|TEM-10014|10029|Y|
10030|KFS-TEM-ROLE-RSP-030|1.0|TEM-10014|10030|Y|
10031|KFS-TEM-ROLE-RSP-031|1.0|TEM-10000|10031|Y|
KFS1000|KFS1000|1.0|11|44|Y|
KFS1001|KFS1001|1.0|12|46|Y|
KFS1002|KFS1002|1.0|15|50|Y|
KFS1003|KFS1003|1.0|16|10|Y|
KFS1004|KFS1004|1.0|22|71|Y|
KFS1005|KFS1005|1.0|62|73|Y|
KFS1006|KFS1006|1.0|22|81|Y|
KFS1007|KFS1007|1.0|23|6|Y|
KFS1008|KFS1008|1.0|24|3|Y|
KFS1009|KFS1009|1.0|25|78|Y|
KFS1010|KFS1010|1.0|26|17|Y|
KFS1011|KFS1011|1.0|26|48|Y|
KFS1012|KFS1012|1.0|28|4|Y|
KFS1014|KFS1014|1.0|30|11|Y|
KFS1015|KFS1015|1.0|37|26|Y|
KFS1017|KFS1017|1.0|9|29|Y|
KFS1024|KFS1024|1.0|39|31|Y|
KFS1037|KFS1037|1.0|41|12|Y|
KFS1040|KFS1040|1.0|35|18|Y|
KFS1062|KFS1062|1.0|44|87|Y|
KFS1063|KFS1063|1.0|48|7|Y|
KFS1064|KFS1064|1.0|5|16|Y|
KFS1065|KFS1065|1.0|50|49|Y|
KFS1066|KFS1066|1.0|50|74|Y|
KFS1067|KFS1067|1.0|50|80|Y|
KFS1068|KFS1068|1.0|53|26|Y|
KFS1070|KFS1070|1.0|41|29|Y|
KFS1077|KFS1077|1.0|55|85|Y|
KFS1079|KFS1079|1.0|60|91|Y|
