kim_typ_id|obj_id|ver_nbr|nm|srvc_nm|actv_ind|nmspc_cd|
1|5ADF18B6D4827954E0404F8189D85002|1.0|Default||Y|KUALI|
10|5ADF18B6D4D77954E0404F8189D85002|1.0|Namespace or Component|namespaceOrComponentPermissionTypeService|Y|KR-NS|
10000|KFS-TEM-TYP-001|1.0|Derived Role: Travel Document|travelerDerivedRoleTypeService|Y|KFS-TEM|
10001|KFS-TEM-TYP-002|1.0|Derived Role: TEM Profile|temProfileDerivedRoleTypeService|Y|KFS-TEM|
10002|KFS-TEM-TYP-003|1.0|TEM Profile Organization Hierarchy|temProfileOrganizationHierarchyRoleTypeService|Y|KFS-TEM|
10003|KFS-TEM-TYP-004|1.0|TEM Profile Arranger Organization Hierarchy|temProfileArrangerOrganizationHierarchyRoleTypeService|Y|KFS-TEM|
10004|KFS-TEM-TYP-005|1.0|Derived Role: TEM Profile Arranger|arrangerDerivedRoleTypeService|Y|KFS-TEM|
10005|KFS-TEM-TYP-006|1.0|Traveler Type|temInternationalTravelManagerService|Y|KFS-TEM|
10006|KFS-TEM-TYP-007|1.0|Job Classification|temExecutiveManagerService|Y|KFS-TEM|
11|5ADF18B6D4DC7954E0404F8189D85002|1.0|Component Field|componentFieldPermissionTypeService|Y|KR-NS|
12|5ADF18B6D4E37954E0404F8189D85002|1.0|Namespace or Action|namespaceOrActionPermissionTypeService|Y|KR-NS|
13|5ADF18B6D4E77954E0404F8189D85002|1.0|Button|buttonPermissionTypeService|Y|KR-NS|
14|5ADF18B6D4EA7954E0404F8189D85002|1.0|Edit Mode & Document Type|documentTypeAndEditModePermissionTypeService|Y|KR-NS|
15|5ADF18B6D4ED7954E0404F8189D85002|1.0|Batch Feed or Job|batchFeedOrJobPermissionTypeService|Y|KR-NS|
16|5ADF18B6D4F27954E0404F8189D85002|1.0|Parameter|parameterPermissionTypeService|Y|KR-NS|
17|5ADF18B6D4F77954E0404F8189D85002|1.0|Campus|campusRoleService|Y|KR-NS|
18|5ADF18B6D4F97954E0404F8189D85002|1.0|Role|rolePermissionTypeService|Y|KR-IDM|
19|5ADF18B6D4FD7954E0404F8189D85002|1.0|Permission|permissionPermissionTypeService|Y|KR-IDM|
2|5ADF18B6D4837954E0404F8189D85002|1.0|Derived Role: Principal|activePrincipalRoleTypeService|Y|KR-IDM|
20|5ADF18B6D5017954E0404F8189D85002|1.0|Responsibility|responsibilityPermissionTypeService|Y|KR-IDM|
21|5ADF18B6D5057954E0404F8189D85002|1.0|Group|groupPermissionTypeService|Y|KR-IDM|
23|23|1.0|Contracts & Grants Responsibility|{http://kfs.kuali.org/kfs/v5_0}contractsAndGrantsResponsibilityRoleTypeService|Y|KFS-CG|
24|24|1.0|Research Risk & Document Type|{http://kfs.kuali.org/kfs/v5_0}researchRiskReviewRoleTypeService|Y|KFS-CG|
25|25|1.0|Chart|{http://kfs.kuali.org/kfs/v5_0}chartRoleTypeService|Y|KFS-COA|
26|26|1.0|Account|{http://kfs.kuali.org/kfs/v5_0}accountRoleTypeService|Y|KFS-COA|
27|27|1.0|Organization|{http://kfs.kuali.org/kfs/v5_0}organizationRoleTypeService|Y|KFS-COA|
