postal_state_cd|postal_cntry_cd|obj_id|ver_nbr|postal_state_nm|actv_ind|
--|US|56908AA37A06661BE0404F8189D81F46|1.0|OUT OF COUNTRY|Y|
AA|US|56908AA37A3B661BE0404F8189D81F46|1.0|ARMED FORCES AMERICAS (EXCEPT CANADA)|Y|
AB|CA|KFS-TEM-STATE-009|1.0|Alberta|Y|
AC|AU|KFS-TEM-STATE-001|1.0|Australian Capital Territory|Y|
AE|US|56908AA37A3C661BE0404F8189D81F46|1.0|ARMED FORCES EURO/CANADA/AFRICA/MID EAST|Y|
AG|MX|KFS-TEM-STATE-022|1.0|Aguascalientes|Y|
AK|US|56908AA37A07661BE0404F8189D81F46|1.0|ALASKA|Y|
AL|US|56908AA37A08661BE0404F8189D81F46|1.0|ALABAMA|Y|
AP|US|56908AA37A3D661BE0404F8189D81F46|1.0|ARMED FORCES PACIFIC|Y|
AR|US|56908AA37A09661BE0404F8189D81F46|1.0|ARKANSAS|Y|
AS|US|56908AA37A3E661BE0404F8189D81F46|1.0|AMERICAN SAMOA|Y|
AZ|US|56908AA37A0A661BE0404F8189D81F46|1.0|ARIZONA|Y|
BC|CA|KFS-TEM-STATE-010|1.0|British Columbia|Y|
BC|MX|KFS-TEM-STATE-023|1.0|Baja California Norte|Y|
BS|MX|KFS-TEM-STATE-024|1.0|Baja California Sur|Y|
CA|US|56908AA37A0B661BE0404F8189D81F46|1.0|CALIFORNIA|Y|
CH|MX|KFS-TEM-STATE-025|1.0|Chihuahua|Y|
CL|MX|KFS-TEM-STATE-026|1.0|Colima|Y|
CM|MX|KFS-TEM-STATE-027|1.0|Campeche|Y|
CO|MX|KFS-TEM-STATE-028|1.0|Coahuila|Y|
CO|US|56908AA37A0C661BE0404F8189D81F46|1.0|COLORADO|Y|
CS|MX|KFS-TEM-STATE-029|1.0|Chiapas|Y|
CT|US|56908AA37A0D661BE0404F8189D81F46|1.0|CONNECTICUT|Y|
DC|US|56908AA37A0E661BE0404F8189D81F46|1.0|DISTRICT OF COLUMBIA|Y|
DE|US|56908AA37A0F661BE0404F8189D81F46|1.0|DELAWARE|Y|
DF|MX|KFS-TEM-STATE-030|1.0|Distrito Federal|Y|
DG|MX|KFS-TEM-STATE-031|1.0|Durango|Y|
FL|US|56908AA37A10661BE0404F8189D81F46|1.0|FLORIDA|Y|
FM|US|56908AA37A3F661BE0404F8189D81F46|1.0|FEDERATED STATES OF MICRONESIA|Y|
GA|US|56908AA37A11661BE0404F8189D81F46|1.0|GEORGIA|Y|
GR|MX|KFS-TEM-STATE-032|1.0|Guerrero|Y|
GT|MX|KFS-TEM-STATE-033|1.0|Guanajuato|Y|
GU|US|56908AA37A40661BE0404F8189D81F46|1.0|GUAM|Y|
HG|MX|KFS-TEM-STATE-034|1.0|Hidalgo|Y|
HI|US|56908AA37A12661BE0404F8189D81F46|1.0|HAWAII|Y|
IA|US|56908AA37A13661BE0404F8189D81F46|1.0|IOWA|Y|
ID|US|56908AA37A14661BE0404F8189D81F46|1.0|IDAHO|Y|
IL|US|56908AA37A15661BE0404F8189D81F46|1.0|ILLINOIS|Y|
IN|US|56908AA37A16661BE0404F8189D81F46|1.0|INDIANA|Y|
JA|MX|KFS-TEM-STATE-035|1.0|Jalisco|Y|
