appt_dur_cd|obj_id|ver_nbr|appt_dur_desc|row_actv_ind|
LWP1|1F9EC28CDCBA3086E043814FD8813086|1.0|LWOP:  First Semester|Y|
LWP2|1F9EC28CDCBB3086E043814FD8813086|1.0|LWOP:  Second Semester|Y|
LWPA|1F9EC28CDCBC3086E043814FD8813086|1.0|LWOP:  10 months|Y|
LWPF|1F9EC28CDCBD3086E043814FD8813086|1.0|LWOP:  12 months|Y|
LWPH|1F9EC28CDCBE3086E043814FD8813086|1.0|LWOP:  6 months|Y|
LWPX|1F9EC28CDCC53086E043814FD8813086|1.0|LWOP:  ACROSS FISCAL YEARS|Y|
NONE|1F9EC28CDCBF3086E043814FD8813086|1.0|No Leave|Y|
SAB1|1F9EC28CDCC03086E043814FD8813086|1.0|Sabbatical Leave:  1st Semester|Y|
SAB2|1F9EC28CDCC13086E043814FD8813086|1.0|Sabbatical Leave:  2nd Semester|Y|
SABA|1F9EC28CDCC23086E043814FD8813086|1.0|Sabbatical Leave:  Academic Year|Y|
SABF|1F9EC28CDCC33086E043814FD8813086|1.0|Sabbatical Leave:  12 months|Y|
SABH|1F9EC28CDCC43086E043814FD8813086|1.0|Sabbatical Leave:  6 months|Y|
SABX|1F9EC28CDCC63086E043814FD8813086|1.0|SABBATICAL LEAVE:  ACROSS FISCAL YEARS|Y|
