fin_coa_cd|org_cd|obj_id|ver_nbr|rpts_to_fin_coa_cd|rpts_to_org_cd|rc_cd|
BA|ABDR|D90CCDA1-CCFE-252D-F0BC-6E9CA1FC252E|2.0|BA|CAFE|80|
BA|ACAC|A98E6FAD-2781-7A4D-5CEE-FDD409663B65|2.0|BA|PRGE|80|
BA|ACPR|E546B058-7555-980C-6A96-A8C29C387BC0|2.0|BA|ACAC|80|
BA|ACSH|F6DBF0EB-439C-986B-67EC-C5DA9B2DCF7D|2.0|BA|HOUS|80|
BA|ACSS|3D67F339-3028-036C-3177-A9CE8FA3CBA6|2.0|BA|BKST|80|
BA|ADAC|E754D5AA-39A1-4201-FA95-5DD68ECB7928|2.0|BA|ACAC|80|
BA|ADAF|D3B3941B-052A-086D-B6B4-5C6639BB2B05|2.0|BL|DBFA|80|
BA|ADAH|D7E654F5-DF28-011D-4B2C-1B79CB9730AA|2.0|BA|APTS|80|
BA|ADAO|C399DE79-3E73-B92D-A35B-8D9C58AAE79A|2.0|BA|ADAF|80|
BA|ADFE|257AF31A-EB04-501B-D08E-188AEB1E3285|2.0|BA|CAFE|80|
BA|ADGE|58E7642E-9F74-277C-2FF3-0BA3A165B60E|2.0|BA|CAGE|80|
BA|ADSH|B202E2CE-1F75-D9F3-BABC-F30C9BDE0738|2.0|BA|HOUS|80|
BA|AHDU|7A478137-D3A2-EDFE-8016-0DA186448333|2.0|BA|CODS|80|
BA|APTS|DB8B10A7-E7B0-9162-E617-B265729DFD04|2.0|BA|HALL|80|
BA|ASBR|DCB4245D-3692-B765-0EDD-F16DB0D1F3E2|2.0|BA|HALL|80|
BA|ASDR|9CB08E28-080A-3D9A-BBC0-D4F160E6DF4C|2.0|BA|CAFE|80|
BA|ASER|DCB708C6-0DDD-62DC-95D2-BB0E6F3727C0|2.0|BA|HALL|80|
BA|ASGE|5F44C968-2E0D-F415-6C9A-A8D172986D0B|2.0|BA|CAGE|80|
BA|ASSH|51323ECC-1FC8-EBEA-A240-D9FC29E1BE89|2.0|BA|ACSH|80|
BA|ASSP|7674EB96-E9E5-3061-C9F9-731CB380AE9D|2.0|BA|CAFE|80|
BA|AUTM|AFB6BB2B-54FA-E7BC-A111-6BCC44F02666|2.0|BA|IMAU|80|
BA|AWSH|5C7C85AE-5D89-0137-AE6D-0A8BC730A2A9|2.0|BA|ACSH|80|
BA|AXOP|7FD657F8-7CB0-C19D-2DDE-A5475507C215|2.0|BL|AXSV|80|
BA|BBAH|8C8BB2DA-5761-3BEC-2DCC-63D803540B5A|2.0|BA|APTS|80|
BA|BBBR|3F7A5638-DC2B-E30F-4735-685E2C89895B|2.0|BA|HALL|80|
BA|BBER|A8E6611F-042F-28A1-BA4F-1CFB7555D134|2.0|BA|HALL|80|
BA|BCD|64E23F4C-6A60-9E33-4696-9ED04CCB262E|2.0|BA|AXOP|80|
BA|BHDR|5D186052-5644-4F5A-6288-B612F07BD018|2.0|BA|CAFE|80|
BA|BHDU|FC9F6A24-183D-C429-2CB3-3AE57CC1700D|2.0|BA|DSER|80|
BA|BKAD|7D1CAC3E-516E-BFC8-8E37-63CE91C360BC|2.0|BA|BKST|80|
BA|BKST|C7E2D41F-1819-173F-C056-039C5CECD5E8|2.0|BA|AXOP|80|
BA|BLDM|87EA69EB-9571-A757-5BEF-C70B4180C900|2.0|BA|PHYP|82|
BA|BOOK|3BB118EF-5108-5FE7-6B1E-CE1EB881DA87|2.0|BA|BKST|80|
BA|BRAD|B25EA742-9AA3-F2A0-4BB6-59E9A4A9CB98|2.0|BL|RPAD|28|
BA|BRBR|A70A5514-795C-36F9-37D0-F39E2857ADD3|2.0|BA|HALL|80|
BA|BRDR|DBE30B5E-4FE8-B430-31B6-6038FAE634E3|2.0|BA|CAFE|80|
BA|BRER|CBE0D03E-3415-3672-0B9A-40E93290FF13|2.0|BA|HALL|80|
BA|BRFD|9F932702-1850-AAA0-34F9-308D98ED043C|2.0|BA|CNFD|80|
BA|BRSB|BC9BE64E-3818-7CC5-9ED6-B4E19729CA2C|2.0|BA|CAFE|80|
BA|BRSH|CC249651-E191-615F-11C1-E3617E24064A|2.0|BA|HOUS|80|
BA|BUDG|D0BB8186-0C57-F40B-39CE-0DCF4BA583C4|2.0|BL|BL|80|
BA|BUFE|969DBB4E-CA62-2D63-D67F-BB23984100DA|2.0|BA|CAFE|80|
BA|BUSS|B5A262B2-7E23-1AA8-D1BB-401F346FDD0A|2.0|BA|TRAN|80|
BA|BWAC|56C1170E-E81F-FA80-8D4E-67AE34FDBAD7|2.0|BA|ACAC|80|
BA|CAFE|814BB396-B6A2-1D71-24D3-29EEF96A332C|2.0|BA|HALL|80|
BA|CAGE|877DA2C6-78E1-41E0-C264-379B94F7CE30|2.0|BA|CENT|80|
BA|CAMD|D8C7DB69-A947-3C27-3390-3BFDA406DF6E|2.0|BA|PHYP|82|
BA|CARD|4F30BBBF-605D-87D6-3BF7-4DAA8396A835|2.0|BA|ACSS|80|
BA|CARS|A00514F7-A39C-DE09-519A-D7944C1CF2CA|2.0|BA|MISC|80|
BA|CCCC|9AD598F7-87A3-AE7C-A314-6707DDA7C395|2.0|BA|CAGE|80|
BA|CENT|D5472696-8E07-28E1-7B4E-D2C6097257DD|2.0|BA|RPAS|80|
BA|CLER|2B50C911-031B-BE4B-2034-466BD04FC4DF|2.0|BL|BL|80|
BA|CLSH|1708B3EC-315D-1AAB-2D3F-6DD4701FA489|2.0|BA|HOUS|80|
BA|CMIC|D742B1E5-FDC4-1570-8DA3-9A51D0B17B6F|2.0|BA|CODS|80|
BA|CMOR|DE758166-B353-3A04-66E2-EB45346B27DB|2.0|BA|CODS|80|
BA|CMST|8670F33B-04AB-AB67-0E5A-4CF9CAE8FFBD|2.0|BL|CHEM|04|
BA|CNFD|31904400-BA5B-4D44-A042-AFF7897BBDD9|2.0|BA|RPAS|80|
BA|CNFS|AA9FAA8B-077F-59EE-B165-AB20A229C538|2.0|BA|CAGE|80|
BA|COBR|3A7BD458-D697-BDC9-D827-B570B5A29399|2.0|BA|HALL|80|
BA|CODR|39AA1F2E-FB33-B543-9491-C30B9007247E|2.0|BA|CAFE|80|
BA|CODS|F67FB20B-10A1-4899-82DC-E7AFCB13ACF0|2.0|BA|BKST|80|
