univ_fiscal_yr|fin_coa_cd|fin_object_cd|finobj_bene_typ_cd|obj_id|ver_nbr|actv_ind|lbr_ben_rt_cat_cd|
2009.0|BA|2000|F|3ED7BBE4-0474-9D9A-D0AA-DF1FDF7F0391|1.0|Y||
2009.0|BA|2000|G|844A52B1-79A0-0E57-AFEA-350FC3158F77|1.0|Y||
2009.0|BA|2000|R|9290B6E4-AC90-06A9-2264-7EB9C6DFADA6|1.0|Y||
2009.0|BA|2001|F|B736340D-926D-ECDD-2D47-1C5F5450AAC1|1.0|Y||
2009.0|BA|2001|G|BF66FB0E-34A5-35AA-19E4-8E73D8426DC3|1.0|Y||
2009.0|BA|2001|R|7A0A1052-74DA-AFBB-AD81-898E18E0CCC9|1.0|Y||
2009.0|BA|2002|E|E36D0234-B3CA-7F1D-AA20-D1EBFE104E6D|1.0|Y||
2009.0|BA|2002|F|0714B0C4-1A74-A4F0-948E-B1C1A2377709|1.0|Y||
2009.0|BA|2002|G|7A309668-8A60-9FF7-A1A9-B33841ABD1AA|1.0|Y||
2009.0|BA|2003|F|7CC60912-78C1-9A5C-ECC4-FDAA63A78A19|1.0|Y||
2009.0|BA|2003|G|1FB463CD-4B1D-DFEB-29FA-250020DD9AD5|1.0|Y||
2009.0|BA|2003|R|FDD8E43B-0917-460D-7628-8A1B82A8BA8D|1.0|Y||
2009.0|BA|2004|E|E0B4C9D0-9F8D-B688-86C7-7C6AB6DE9D25|1.0|Y||
2009.0|BA|2004|F|33C29D3D-DE92-281E-D617-28705CDA2FC1|1.0|Y||
2009.0|BA|2004|G|53D83068-C679-307C-A05D-EE369035E41D|1.0|Y||
2009.0|BA|2005|F|60CBA1B1-58EC-19F3-3770-974A4CF0862C|1.0|Y||
2009.0|BA|2005|G|1F8F2FAF-B6C6-A023-231B-B71EE5246540|1.0|Y||
2009.0|BA|2005|R|FDA1D25A-493F-A94E-1F34-C80B110AC8F2|1.0|Y||
2009.0|BA|2010|F|6DE2CA72-2847-5695-32B3-1C8C8D02F026|1.0|Y||
2009.0|BA|2010|G|395CED5C-A140-5B0B-4ACF-8C487193471D|1.0|Y||
2009.0|BA|2170|F|23ECDCA8-39DA-2140-33D5-E542F16C8AA7|1.0|Y||
2009.0|BA|2175|F|E4B936C2-B421-C049-8523-FBF76F3D4746|1.0|Y||
2009.0|BA|2200|F|2B664FF2-6FD6-270A-342F-EFD070C9F0BB|1.0|Y||
2009.0|BA|2205|F|E2D33B9F-6153-F9C4-AEF6-C209827D4F35|1.0|Y||
2009.0|BA|2280|F|8B05A03C-D516-1603-018A-670B0E7B700F|1.0|Y||
2009.0|BA|2280|G|5870AA14-312C-59FE-A81C-95FA5E954A67|1.0|Y||
2009.0|BA|2280|R|71D89556-9F85-E861-BEA4-BC3033322407|1.0|Y||
2009.0|BA|2288|E|C2207550-6AC9-6ADC-7B9C-E6FF7F6C5D94|1.0|Y||
2009.0|BA|2288|F|3A3E1041-A788-0071-0748-7E2DA78CBEA1|1.0|Y||
2009.0|BA|2288|G|4EA24113-5E12-1B91-E058-81D3370E46B7|1.0|Y||
2009.0|BA|2290|F|069F2DB3-F1CA-C741-6B98-BB32B6392CDA|1.0|Y||
2009.0|BA|2300|F|C0E230E4-0A6A-6904-D79B-6009523020DE|1.0|Y||
2009.0|BA|2310|F|D133982D-7A3C-8B60-63E5-60364F3C9FA0|1.0|Y||
2009.0|BA|2331|N|A5AFA82E-27CB-6FB9-58AA-227C62B7D7CF|1.0|Y||
2009.0|BA|2332|N|9608E7BF-D2F6-3E77-3516-431DFE8B9299|1.0|Y||
2009.0|BA|2340|N|373A3A48-6AA4-5CDE-82CB-8903E49DCC39|1.0|Y||
